작성자,내용,추천수
user-1251onoff,판사는 언제나 가해자편입니다 빨리 모두 끌어내리고 AI로 대체해야합니다 반성문 대필업체에서 반성문을 돈을주고 사와도 반성한다고 감형해주는게 대한민국 판사입니다,16
user-gj9ep7ui4j,사형제도없으니 사람죽일놈들 어차피 1명 이든 무한으로 죽어도 어차피 무기징역인데 그러니 죄책감없이 마구죽이는거지 씁씁하네요 무고하게 죽은사람만 불쌍함,5
channel0421,이쯤되면.. 판사의 존재 이유를 모르겠다..,3
user-ze2ng1mf3p,이제부터 판결내린 판사 얼굴도 공개하자,5
user-zf7ed8lh9p,이런 개같은 나라가 또 오딧노...,5
chamisuli,"울나라는 그지같은 판새랑 범죄자랑 유착, 공생, 협력관계인게 확실. 200프로 확신한다",2
user-vc2jv9dn1v,신고한 인간이 문제네요 불쾌하면 쳐다보지을말던지 ㅠㅠ,0
scl4902,판사를 빨리 AI로 대체하는게 나을듯~....... 항상 하는 이야기지만 이런 판사의 가족이 줄줄 연쇄살인 당해보면 그때 느끼려나 공포감을......,2
user-qw9od8nq6y,판사는 증거능력만 판단하고 양형은 국민투표로 정하자,1
user-sw7xc7gs7i,판사님은 죄만 미워하나보다 17년 모범수로 살다 가석방 하라신다 이일을 어쩌지,0
user-hf1rl4sv6u,판사의 공감능력이 의심되죠 가장 빨리 ai로 대체해야합니다,0
user-rh7xn4jp6l,이런건 그냥 판검사들 월급받는일 늘릴려고 일부러 저렇게 형량 주는것 같음 ㅋㅋ,1
user-hl8fk7tr7r,할게없어 아들 며느리를 질투합니까? 서로 챙겨주며 사는모습! 예쁘지않나요?,0
deborahwolcott2152,반장님이 외국에선 웃통벗고 조깅할수있다 하셨는데요~ 외국에서도 조깅하는사람들이나~레퍼들도 ~무대에서 웃통을 벗어도~목걸이가 있으면 괞찮은걸로 알고있읍니다~,0
user-rb5ii6fc3i,사형이없는 나라에서 무기면 어떠리~~어차피 깜빵서 죽을 인간인데,0
user-co7mc4yd6h,사형 -- 종신형 -- 무기징역 이 맞겠죠,1
user-bg7hq9hg3l,감형은 왜 해주냐,1
jijddong-2853,무기징역이면 20년 교도소 생활하다가 가석방심사 대상되네,1
clarajang904,더럽다. 미국가서 해라!! 누가 니 웃통깐거 보고싶대냐?? ㅉㅉ 경찰 와도 저 난리냐~ 제정신이 아니네,0
dacondi7374,10명죽여도 계획살인 토막살인 아니면 사형선고안나옴 그리고2심가서 무기징역임 보석금 으로 징역 줄일수도있음,0
Feeldog105,힙찔이들 수준이 저렇지. ㅉㅉㅉ 미국가서 경찰한테 저래봐라,1
scl4902,레퍼도 꼴때린놈이네..ㅋ 노이즈 마케팅인가?..ㅋ,1
user-eu7fk9im7n,이럴줄알았다 염병,0
user-ib5lr8gn3y,"아픔,고통,슬픔을 모르고 귀하게 공부만 하고 자라신 귀한신분들~ 정말 머리가 꽃밭입니다~",0
twa7989,우발적 이면 다 감형 내려주냐 이게 나라 법이냐 무슨,0
Power-ys4qk,판사/변호사 돈.묵었다에 100퍼,6
user-if6ue9bd4e,대한민국 판사 견찰 항상 응원합니다 젓도 법이조카트니 ㅋㅋㅋ,1
sagesmith1353,대낮에 사람을 죽여서 계획 살인이 아니구나 ㅉㅉㅉ,0
sagesmith1353,얼굴공개 해라 진짜 병산같은 나라,0
