작성자,내용,추천수
jariamaria116,아쉽군...,5
yonace7742,전세계가 기대했는데 ~ 허무하네~,11
TV-ob9yr,하루만에 모스크바 진격할정도면 세계 최고군대네,1
user-oh3zx2wm3p,돈으로 회유했구만.. 이거 해서 너희에게 남는게 뭐가 있냐고 돈 얼마 줄테니 협상하면 바로 넘어가지,5
user-ip3od1qz3w,결국 나중엔 암살 및 숙청하것지,14
choi6012,머지않아 프리고진은 쥐도세도 모르게 죽겠네 칼을 뺏으면 오이라도 잘랏어야 됬는데 프리고진이 대가 약하구만 아쉽네 전쟁판도를 바꿀수 있었는데 프리고진 생명이 얼마 안남았네,4
user-uk1xl2nt1u,2만5000에서 지금은 25만 정도고 원폭 1000개을 확보 했는데 다 포기 하고 갈까요? 이 정도면 나라를 세울 기세인데~,1
user-jc1bm7xi1l,전쟁 끝나나 했디만... 드론 암살 당하긋다 !!,3
user-SojuJoA5893,저놈들 그냥 짜고 우크라 동북쪽으로 다시 들어가서 대반격? 하려하는 우크라 군의 후방을 잡고 싶어하는것 같은데...,3
user-li6wt6qf2v,이렇게 쉽게 모스크바 까지 뚫리면 우크라인탱크 소련제 T탱크에 Z 표식하고 러시아 진격해 박살내지..ㅋㅋㅋ,0
user-tp5yz2ou3x,프리고진이 푸틴보다. 똑똑하네~^^ 실리,0
TV-ho7lv,우리나라는 찢봉고차 조심해야하고 프리고진은 홍차 조심해야할듯ㅋㅋ,1
user-ud1ns5jw4x,처벌한다고 하면 그냥 공격해버리면 끝~~,2
user-op4lx4pe8d,2:25:25 천사가 나타났다!!,1
youngdukseo-bt1yq,이상하지? 쿠태타? 벨라로스로 프리고진 가다,0
banpooppa_456,역시 용병 돈에 넘어간거지머,0
GLee-pj8wt,푸딩 실패인가...,1
user-zq9pw8cx4d,프리고진 어느날 차 마시다 사망한다,1
user-dm9ic2ms4t,조만간에 댓글을 적는사람들 정지먹어야 정신좀 차릴려나,0
gotomytv,반역 코스프레,3
youngkim9662,삼국지에 나오는 고육지계 같아 보인다.,1
remixbyfeeladam9254,푸틴.프리고진 누가 먼저 죽을까??,1
user-lg7wm5jm7i,프리고진이 꼬랑지 말았구먼 ᆢ,0
lmp4733,으샤 으샤 하다 죽은놈들만 조~옷뎃네 ^^,0
nuevo_go,프리고진 지 혼자 도망간건가 전과자 답다,0
user-mr1qt7uy5y,ㅋㅋㅋㅋ조만간 사망했다구 나오겠네,0
user-fy1vr7sm3b,핵전 가자~!,0
user-ll1qc3zc4x,저빱 요리사,0
gunanbotv,머냐? 미쳤나 편집자,0
sugunlee3286,Korean media. All russian government show WAGNER go Belarusian border 100km kiev kadorov army go donnbass all russian government show Korean media no1,0
May5th921,프리고진을 대한민국으로 모시냐. 모스크바도 휘두르는데 용산 개머리 정도야 하룻잠이면 제거할수 있을듯.,6
user-gf4us6ii9r,쫄보... 얼굴은 빡시게 생겨갖고...,0
