작성자,내용,추천수
sun4756,"푸틴이 사라진다면.,제2의 푸틴탄생될것제대로된 정권이 나와야할텐데..",2
hy5031,나쁜 짓 하는 것들은 그대로 돌려 받을 것이다 천벌 급살이 답 니네 능력으로 벌어 쳐먹고 사는 게 사람이다 꼭 나쁜 놈들이 지돈 인냥 국민혈세 마구마구 쓰는 놈이나 다를 게 없다 반드시 천벌 급살 내리소서,1
Js-sz5vr,이번 용병 진통으로ㅡ푸틴도 의식전환이 필요해요ㅡ계속 이렇게 나간다면ᆢ제2의진통도 예상해봄ㅡ,1
user-ud1ns5jw4x,말만 하지말고 혼줄을 네줘야지~~,1
user-po6fj4qz5q,프리고진 용병장 영웅 이십니다 앞으로 러시아 군부의 반푸틴 군사혁명이 일어나 푸틴을 감옥으로 보낼 것입니다,0
aspirating4594,와그너그룹과 프리고진은 목따일날만 남았다. 반란의 실패에대한 댓가는 죽음뿐,0
user-pr9pi5gl6b,폴란드와 키에프에 아주 근접한 벨루루시로 갔어요....,0
sinnanya,체첸도 러시아 뒤통수 갈길것 같은데..,0
sun4756,제2의푸틴일듯하다.,0
youngkim9662,삼국지에 나오는 고육지계 같아 보인다.,0
user-si6gi4en6q,🇰🇷러시아 체첸부대는 러시아 국민들을 위해 러시아의 국민들을 자유민주주의 만들어 자원개발과 생명을 지키고 부강하게 살아라 푸틴의 독재는 러시아를 부강하게 만들 머리가 없다.,1
user-ul1zh5lj1r,정신차려 핵이란무엇인가?전쟁ㅇ일어나는걸 막아야돼 정신...,1
user-ul1zh5lj1r,MBC 가짜뉴스퍼뜨면 MBC 토막이 날텐데..,0
user-ul1zh5lj1r,공중파는 보면 안됨 ㆍ전부가짜뉴스 ᆢ,0
user-ul1zh5lj1r,가짜뉴스그만 ᆢ,0
mhfsygb97543bgf,"후쿠시마 원전수 괴담, 사드괴담, 광우병괴담, 주사파 공산주의자 개들의 선전선동 누룩 바이러스 좀비들로부터 자유대한민국을 수호하시는 민족의 영웅 윤석열대통령, 진정 나라를 수호하시는 윤석열대통령은 충무공 이순신장군보더 더 영웅이자 대한민국의 표상입니다. 66666",0
