작성자,내용,추천수
user-yd9rt6fm3w,푸틴도 안 죽은 것에 감사하며 프리고진의 은혜를 결초보은하겠다고 맹서했다고 본다.,2
gatekling,"당신들의 일상이 중요한 것처럼, 우크라이나인들의 일상도 중요합니다. 둘이서 만나 머리싸매고 협의를 하든 뭘하든 더 이상의 살상은 이제 끝나길 기원합니다.",12
ybp3798,세상의 관심이 시들해지면 곧 제거하겠지. 그걸 살려두겠나,22
eonk5703,"깨끗한 퇴장으로 대다수 러시아 국민들에게 강렬한 인상을 남긴, 어쩌면 푸틴대체제 프리고진은, 정적에게 극도로 잔인한 푸틴에게 가까운 미래에 살해당할 가능성이 90프로 이상이라 예상됩니다",2
loveis347,"자기들은 평온했으면 하고, 우크라이나는 전쟁 중에 있는 것이 정당하고?",14
user-xe8rl5js1z,반역자를 처벌 없이 그냥 넘겼다는 것은 애초 반역이 아니라는 말이다.,0
user-jt5ui9ck4q,이걸 이틀전에 미리 알았던 미국은 정말 대단하다...,4
user-sy9op3wg9t,러시아 국민들아 너희가 모스크바의 평온함을 원하듯 우크라이나의 국민들도 그 평온함을 바라고 있다,22
user-yd9rt6fm3w,리고진이 푸틴을 살려주었구나!! 세상 일이 그런 것이지~,2
user-zu8fj8gm5s,"솔직히 푸틴이 이번 기회에 제거되기를 바라는 쪽에서 보니 굴욕이지 사실상 ""찾잔 속의 태풍""으로 끝난 무장반란 아닌가 지도력에 타격을 입었니 굴욕이니 서방세계의 희망을 얘기하지만 팩트는 여전히 푸틴의 군을 비롯한 권력 장악력은 건재하다는 사실 같은데",1
user-wu3fr7jk9e,러시아국민들아 우크라이나도 자유롭고 평온했답니다 푸틴이 전쟁을 시작하기전까지는....,8
Kim_Jeon_il,푸틴이 절대 살려 줄 사람이 아님ㅋㅋ,2
dongwonkim1223,"푸틴이 늙어서 판단력이 예전같지 않지... 예전에도 테러범 잡는다고 무고한 인질들 수백명 희생시킨 넘인데, 사실 그때 실각했어야 정상인데, 공산국가라 시민들이 얌전히 당에 충성하는게 체질화되서 생각을 못해서 그냥 당하고 삼.",2
user-sj3sx9mq2r,실패 유무 떠나서 이제 푸틴은 아무도 믿지 않을듯 합니다 과거 스탈린이 그랬듯이 ㅡㅡ,1
johnkim2735,"프리고진 승, 푸틴 패. 프리고진이 암살되지 않는다면 전장으로 돌아가 싸우다가 영웅으로 돌아 올 수도...",0
zziksa,"프리고진은 우크라의 대반격에 최전방에서 밀리더니 도망가는 비책이 이거였지 푸틴도 본토 공격을 안 당할려면 침략을 그만하고 몸 사려야 한다,",1
ipman2444,프리고진이 암살당할 수 있겠다 생각했는데 바그너그룹 수장이고 영향력이 큰데 푸틴이 그런 사람을 암살했을 때 용병들이 어떻게 행동할지..,0
netsamsam,고진프리: 고생끝에 자유온다. 프리고진: 제못대로 행동하면 나중에 개고생한다.,0
user-by2jg8rx3h,ㅋㅋㅋ프리고진 벨라루스랑손잡고 러시아 치는건아닌지 ㅋㅋㅋㅋ그럼대박인데 ㅋㅋ,2
