작성자,내용,추천수
user-mj2yo7fc1q,굴뚝에서 연기가 날 때는 이유가 있는 것 아닐까… 무조건 법적 대응한다는 소속사의 한결같은 겁박스런 대응은 더 이상 새롭지도 않다. 대한민국은 이미 세계 최고의 ‘몰카공화국’ 이라는 명예?를 갖고 있다. 역시나 그 명성을 과시하듯 대한민국 사회 곳곳에서 끊임없이 드러내고 있다. 그럼에도 정작 자기 얼굴에 똥 묻은 줄 모르고 남의 나라를 ‘성진국’이라고 비아냥 대는…,2
MrBrianJung,"성폭력범죄처벌특례법 14조에 따라 1. 촬영자는 7년이하의 징역, 5천만원 이하의 벌금 2. 영리를 목적으로 배포하면 3년이상의 징역 3. 해당 영상을 소지, 구입, 저장하면 3년이하의 징역 혹은 3천만원이하의 벌금입니다. 법적대응하겠다를 뭐 얼마나 대단하겠어 하시다가 정말 수갑차니 관심 안가지시기 바랍니다.",0
user-vy1ez6wd2x,"소속사도 정밀조사후 고발조치하라,,이 모든것이 사실이면 반성하고 사죄하라,,당장 경찰서가서 수사받아라,,,국가대표,태극기가 아깝다,,,",6
ENTP_ENO,굳이 여자만나지 말고 잘난 남자들 끼리 만나서 즐기는게 좋지,3
user-qu1wl8kf2f,"도난인지 아닌지 모르겠지만, 도난 당했든 악용했든 왜 영상을 보관해? 그게 정상이냐 헤어졌으면 깨끗이 지웠으면 문제 생겼겠냐?",18
user-ou3mt6yp1p,국대에서 제일친한 선수 손흥민,3
sukteya,둘중 누가되었든 죄가있다면 남자던 여자던 유명인이던 일반인이던 죄값 치르길,12
tt743,의자왕으로 유명한 의조인데 존심 상하겠다. 영상이 겨우 3천원이라니,6
2614wlgk,이번에 역으로 여자가 성범죄 영상물 처벌 대상이 되는 모범사례가 되길 기원한다,12
qewoohyuk,영상이 없으면 모를까 있다는 것 자체로 사회생활 박살난 거지... 뭐 지 무덤 지가 판 거니...,0
Cartier4885,기량저하가 여자들때문이었고만.....,4
firestarter2077,헤어진 뒤에 삭제안하고 가지고 있어도 상관없나. 동의하면.. 법률상 문제가 궁금하네,6
user-zr7go6wp2m,ㅋㅋㅋㅋㅋ 변명이라고 하냐 ㅋㅋㅋ,5
soheehan1748,불법 촬영인지 확인해야 하지 않나? 그리고 그걸 유포한 사람도 죄값 물어야 함,0
