작성자,내용,추천수
user-il1rh4tj6f,너무 당연한걸;; 이 사람들은 인정을 못하네;; 이게 되면 그러면 사생활은 전혀 존중받지 못하는거냐? 너무 당연하잖아;;,1
user-io8wr6kp6b,참 재판도 개판이구나,1
moment6348,한가발이처럼 휴대폰 비번 걸어놓고 아무한테나 절대 알려주지마,3
user-vl2uc1jy8e,바람핀 상대의 증거를 알아내도 형사처벌되겠네,4
user-zx9un8ux2v,하필 한동훈이 휴대전화 잃어버려서 경찰부르고 난리친 기사가 뜸과 동시에 휴대전화 몰래보면 형사처벌이라는 기사가 우수수 올라오는건 우연일까요?,1
user-fb6lf6ix7l,한뚜껑법?,0
wpoijwelifongewqth2775,해어질때 형사처벌 각,1
user-ij1eg3me1x,"진지하게 만나는 사이에 남여간에 비밀은 일체 없는거다. 뭐? 사생활? 좃,.,까는 소리지 아닌건 아닌거다 남여 서로간에 비밀은 없는거다 둘다 투명하게 서로 오픈해서 핸드폰 서로 확인해야 한다는거 좃,.같은 소리로 징징거리는거는 뒷구린게 있는거다",1
user-tp3rs5ry3o,대부분 여자들이 저런짓 많이 하는디....,2
user-ti9py9mi5v,여자들이 저런거 잘함 자기가하면 검사고 당하면 위법이고,4
