작성자,내용,추천수
wansuckou9859,제발 구속을 원칙으로 해라.! 저러다 무고한 사람들이 죽어나가야 또 정신 차릴거냐.?,0
naksu12,판사가 공범이네 판사도 같이 처벌해야된다,1
user-vv4zy3ti7k,판사야 너도 술먹고 사형때려 그리고 기억 안난다 해라~,1
user-pt3lk5fk6o,국회의원들은 도대체 일은 안하고 뭣 하면서 시간을 보내는지 개탄스럽지 않을 수 없다. 제발 좀 이런 사회적인 문제들의 법 좀 더 강화하고 만들어라. 국회의원들이 일을 안하니까 나라 꼴이 개판으로 돌아간다.,0
josepguardiola2676,저 나이때에 제일 힘들게 할수있는게 자식한테 무시당하게 만드는거지 구속이 안된다면 매일 경찰서가서 자식보는 앞에서 반성문쓰게하면 아마 자살도 가능할걸 ㅋ 손안대고 코푸는격이지 ㅋ 이런방법도 고려를 했으면 좋겠네,0
user-yd4tx9qt6h,가해자가 기억 날때 까지 폭행할수 있는 법은 없나,0
user-cz9cx3lo2j,기억이 없으면 기사님 치료비용 다 물어줘.... 1억 정도야.. 코 뼈...갈비뼈...다 박살나고 반신 불수가 되었어....ㅜㅜ,0
user-uk7lh5vn3w,나이도 ㅇ먹을만큼 된인간들이 짬저런인간들 술 ㅇ먹으면. 집에서도 술주정 마찬가지일건데 가족들도 힘든삶이였겠네 기억이 안난다고 웃기고있네 징역백년 때려라,0
living_in_my_life,기억 안나면 가중처벌 정신병원 30년 수감... 다 기억날텐데...,0
user-dw2je8ym3s,기억이 안난다고하면 다냐? 누가 기억안날때까지 쳐먹으래?? 남자고여자고 술먹는것들 술고래 들 저러고나서 기억안난다는건 한결같냐???!!와.....,0
leemanlee709,조온나 이래서 사람은 피지컬 키워야한다 못덤비게,0
KKKKKKK-le6ou,음주 만취는 더 엄벌에 쳐해야지 만취한건 범죄를 저질르겠다는 자신감이다 그러니 술에 취해 쓰러질정도로 마시지음주폭행이던지 음주운전 음주사고는 더강력해야지,0
user-bg1zf1fb1l,구속 되는 것도 기억에 없을 거니까 걱정하지 말고 감옥으로 가,0
ims6847,술취해서 기억이안나는데요 상황 끝,0
user-pq9fi3go8y,땍시 기사들은. 로또라고 생각할듯,0
taxidriver_noah,택시기사들에게 전기충전기를배급해야한다,0
