작성자,내용,추천수
user-ry1sg7cg5t,사형해야한다,7
user-lf4fq1us6k,법이 개판이라서 엄연히 살인인데 저딴 판결을 하니,7
ncenc,아기들 진심으로 힘내렴,1
user-wt1vb9kf6l,아...심각하다..사법부들아 미쳐가니..,6
user-qs7st9zi3t,그러니 앞으로 영아살해범이 늘어 날 게 불보듯 뻔하다... 음주운전하는 놈들이 줄어 들기는 커녕 더 늘어나는 것처럼...,6
user-iw8xo3qw4r,대한민국 영유아인권은 동물이랑 비슷한듯 이이를 죽였는데 집행유예가 많다니 동물학대살해죄랑 별반 차이가없다는게 너무 충격이다,1
user-op3mv7ir5f,사법부들은 정신머리가 어찌된거임????,3
ncenc,여자 아기들 진심으로 힘내렴,0
lcg892,애를 낳으면 얼마준다 뭐 준다 보다도 애를 맘 편히 기를수 있는 환경이 필요하다,0
user-ry1sg7cg5t,법이개판이네,8
user-ng3rl9zt7h,역시 우리나라 판사님들 대단 ㅋㅋ,2
cts2654,공식적으로 조사된 것만큼 저출산율이 심각한게 아닐지도 모르겠는데...,0
atecbak5368,대단하네,2
user-si5rg7kl3g,100세시대..최소 70ㅡ100년 형때려라,1
mottipark3138,나라 잘돌아간다~,4
user-xg3qm4vd3o,나라법 꼬라지 좋다.,3
user-yp6ow9nf6i,영아는 인간이 아닌가? 정말 최악의 법후진국!,0
kineunwoo282,돌려차기 한번 했다고 20년 주면서 이게 최대 5년 ㅋㅋㅋㅋㅋ 진짜 어질어질하다 ㅋㅋ,5
uozbm4788,이런것들은무기진역,1
user-qj7cd6nv8b,판새 지옥에서 보자,2
Chamchikim,저출산~? 어휴 법부터 쳐 바꿔라. 누가 이나라에서 애낳고 싶냐?,0
user-po4fn8yo2x,신체의 자유는 법의 기준이다. 체계적 입양을 허용하는 이유이다. 의미있는 보상을 친모에게 주면서 자유롭게 입양을 허용하는 이유이다. 유령 아기가 왜 생기는가? (편견),1
ncenc,저도 지적 장애인 학생 입니다 그리고 지적 장애인 학생은 만약에 너무 목소리을 안나요,0
TIME-ml4xs,나라법이 졎까튼데 기대하지마라,0
ikyong1110,키울줄 몰라? 낳지마,1
pjw10044,콘돔. 끼고 약도 먹고 그래,1
user-iu9xn2et6f,이래놓고 무슨저출산타령이야? 영아살해하면 사형시켜야 되는거아니야?아기가 살려면 질병 사고가 아닌이상 거의100살까지 살텐데 얖으로는 저출산타령하지마라,0
user-xt3fm4wh4e,저출산이라 애기들 귀한데 저런놈 5년이말이되냐,0
