작성자,내용,추천수
user-jr6uu1et8d,형이 맨날 이거 증말 맛있다고 하니까 살을 뺄 수가 없잖아,5
ssn4643,간단자취요리로 채널 시작해서 슬금슬금 조리법은 복잡해지고 재료는 무거워지는 채널들 보다보면 뚝심있게 찐 자취요리만 고집하는 이 채널이 더 좋아짐.,0
SierraYankee00,이 채널을 구독한 후로 돼새지끼의 길에서 벗어난 적이 없습니다 다이어트 식단도 해주이소,42
user-wu7rc9on3f,화면상으로만 봐도 존맛일듯~ 꼭 하구싶네요ㅎ,2
user-cd8ue3su7q,된장 한스푼~~ 어떤 맛이 나올지 궁금합니다. 꼭 한번 만들어봐야겠네요.,3
user-ij2jm8su5i,해먹어볼게 또 생겼네요 감사합니다,0
l1009914,여기에 참치캔이 들어 가야되는데,0
Lime_This,간단하다!,0
user-qi7qp3lk9z,면 사리 넣어도 괜찮을듯 내 기준 요리 유튜브 1위,0
user-pv2ko5sz5y,최고네요,0
user-eu6xi7ep3j,,0
happychild4460,허파볶음 소취..,0
user-ic7fp7fo8o,다요트 식단도 함 부탁드려유,0
user-wg6xf2uy4p,,1
user-jn5ru2je3w,대패말고 그냥 삼겹살도 가능한가요?,0
user-vg5wf7xe8r,박무땡님의 최대 강점은 바로 간단 이라..... 초초초초 간단........ 흠~~~,0
user-wi1op1ko6o,남포동인가여? 반갑네용,0
user-es3gv8yx6e,굿,0
Pinkorca-gg6eb,오늘도 다지고온 다진마늘 안들어감미꺼?,0
ShanghaimanTV,흔한 식자재를 이용해 다양한 음식을 만든다는 점에서 대한민국 요리 유튜버 중에는 최고라고 생각합니다~ 하지만 늘 그러하듯 후라이팬에 식용유를 넣고 조리하는 것이 90% 이상이라는 것이 맹점이긴 하네요 ㅎ,0
