작성자,내용,추천수
user-up8gg4gu1o,저런거는 더 가중 처벌 사형 시켜라 악질이다.,5
enigma7782,저래도 판사님이 봐주실꺼에요. 집행유예 하겠죠.. 그럼 또다시 음주운전 할꺼에요.. 판사님은 관대하니까요. 그러니까 강력하게 처벌 안한 판사도 공범입니다.,5
user-vb6wu9in4f,사형해라 음주운전 상습이네 잠재적 살인자지,3
user-nm2rd6bc9u,집행유에 시켜놔서 다시 무면허에 음주운전하다가 그 판사가 사고를 심하게 당하면 어쩔것인가???????????,2
user-wj2pt9vo7y,이런애들 면허좀 주지마라 제발,0
user-sy3qo8wd5x,의원이나 상위층 들이 당해야 법적 강화할거냐?...,0
user-hu4gz8wy3v,도로변에 있었던 여자도 정상이 아니구만,1
user-gt6wv1wh2p,와 부산 30대 회사 회장 부럽다,0
user-vr4wt1jz6p,도로변에 너무 나와있었네요 ㅠㅠ 저운전자는 사람이아니고,0
user-uw5ri6rk9j,정말 도망간 사람 너무 싫다,0
user-xg7nx9vq2o,음주+ 무면허 + 뺑소니+ 교사 행위 = 돈좀 날아가네 변호사비 합의금 = 최하 5억이상 망했다 망했어~! 시커먼스 / 교도소 특급 입하 100%,0
user-tm6it1ir8p,위키피디아보면 연예인 권모x는 경찰차까지 들이박고 도망가서 음주혐의 벗은걸로 아는데 이렇게 하고도 팬들이 많이 좋아해준다.,0
DokRib,"저건 살인죄나 살인미수로 처벌해야 하는거 아닌가? 직원에게 떠넘길 정도 였다면 사고를 인지 했고, 처벌수위까지 걱정을 했으니깐 이건 죄질이 일반 음주운전으로 처벌하면 안된다고 본다. 더군다나 차에서 내려서 사고자를 보고 구호조치도 안하고 뺑소니까지 했으니, 만일 외곽도로나 인적이 드믄 새벽시간이었다면, 사고 당한사람은 어떻게 됬을지 모른다. 가능하다면.... 차량 핸들이나 변속기 같은데나 지문인식 같은거 가능하게해서 무면허나 음주운전 전과자들은 운전을 못하게 해야함. 단순히 시동이 안걸리게 하거나, 차량구매 못하게 하면 다른 사람명의로 사거나, 다른사람이 시동만걸어줄수도 있는 편법이 생기게될지도 모른다.",0
user-ou8sc5ot2n,어차피 집행유예 입니다~~~음주운전 마음껏 하세요...ㅋ,0
blue1570k,여성음주운전 심각하지....,0
user-ip6ek3cv5e,노엘은 잘만 다니는데 모 잘못됬나 장재원 노엘은 언론은 장난하냐,0
jillneleson2466,경상도...,0
