작성자,내용,추천수
Gao932,오랜만에 속이다 시원한 판결이네요!! 각 지자체마다 현수막걸고 모든국민이 인지하도록 알렸으면 좋겟네요~ 더이상 개수작 부리지 못하도록,7
zwzd,인간이길 포기한놈들인데 그냥 사형시켜라 엄한데 세금낭비하지말고,15
user-no9fl8vn6f,교도소에서 수감자들은 교도소안에서 일시켜서 자기콩밥은 자기가 벌어서 먹도록해라~,11
changmin6577,"이런일을 겪으면서 상처를 입은 저분.... 기자들 무리속에서, 저놈들의 질의에 대답해야 하는 마음을 어느 누가 이해를 할까?",3
user-xx1ju1cv1g,이슈화 됐고 국민이 다 아는 사건이니 무기징역이지 안그랬음 무기 징역 줬을까? 라는 의문이 든다,14
user-dh3xj2yw3r,직접살인하고 훼손유기한것보다 무겁게 때린이유는?,0
user-of9ko8dt2d,저것들도 천천히고통을주면서 사형시켜야한다. 무슨무기징이야. 사형시켜라,7
user-rc9rd2eg3o,멋지게 성장하였구나,0
kilyuenhwang2661,30년 세금으로 밥줄필요없다. 즉시 단두대에 올려서 처단해야한다.,15
princeog55,30년동안 국민세금으로 악마를 먹여살린다고 생각하니 화가나네요,12
user-ky8cq3nx1s,진짜 착한 남편만 불쌍하네... ㅠㅠ이런일이 생각보다 많을껄?,5
oaktree1585,매형분 정말 좋은 분,0
user-hv2rl5dp7u,아니 저런인간을 항소하는 변호사는 어떤넘이냐? 하여간 돈밖에 모르는 변호사들도 좀 없어졋으면 좋겟다. ㅅㅂ ㅋㅋㅋ,7
user-jv7xk2gj1q,사형을 부활시키는것이 가장 기본적인 인권을 존중 하는것이다,3
user-ub1mx8ss4n,강력한 처벌 원합니다,3
identity3710,"진짜 교도소에도 티비가 있어서 모두 봤겠지, 부디 반만 죽여주이소. 그냥 사형 당하기애는 죄악이 너무 크다",8
hmy7456,오랜만에 맘에 드네요 저런 쓰레기들은 사회에 있으면 누군가가 또 피해를 보겠죠 죽은 패해자가 안타갑갑네요,3
comfortablechair6703,이딴 판결 짜증난다 무기징역 없애고 사형해라,0
TV-op6uq,감옥에서도 죽인 남편 보험금 달라고 소송 걸었다면서,6
user-il2mx2td1d,이런것들은 평생못나오게해야한다 3명씩이나 살인을한거다 그 수법으로 안잡혀서 반복살인자다,1
jkc0424,"이걸 간접살인으로 해버리네...결국은 봐준 것....원통하다....무기징역은 결국은 종신형이 아닌데, 뭐 유족이 괜찮다고 하니 더 뭐라 하진 못하겠지만 이번 일뿐만 아니라 앞으로 있을 가스라이팅 범죄를 대비해 경종을 울리는 판결이 되지 않아 개인적으론 많이 아쉽습니다",1
user-gp4jn2nl2t,사형 가석방 없는 무기징역을 줬어야지,2
user-lh5yg4ph7k,그래 이렇게 판결이 나와야 맞는거지...!,0
user-uz1sj5fs5r,영구격리..올바른 판단입니다 인간쓰레기~반성이나 할까요 감옥에서 푹~~있어야함!,0
luckyj6281,무기징역인데 남편 보험금8억 달라고 하는 이은해 클라스.......,1
user-tn9dg6tn7t,더 때려야지..사형과 무기징역으로,0
user-nq4rn2qg1y,사형시켜라. ㅡㆍㅡ,1
user-ls7nn2hm2s,"조건만남 소년범으로 범죄의 길로 들어선 은해는 팜므프탈의 전형, 남자를 조종하고 지배하여 결국 파멸과 죽음으로 이끄는 범죄기계.",1
bartkim6448,30년 유지도 다행이다 감형 받는줄 알았다 이번에도,1
user-nt6by8gr7g,가석방없는 종신형 도입해라 무기징역은 개뿔 허울좋은 솜방망이징역이다 가석방되서 쳐나와서 또다른 피해자 생기겠지 이참에 대한민국 꽃뱀들 싹다 잡아쳐넣자,0
tailofmoon,세금으로 평생 밥먹여 줄일 있나요?,3
wnsdud6593,항소한 변호사도 같이 무기징역 주자,0
user-xu8le1ci2g,아이고 내세금 먹여주고 재워주고 입혀주고,2
user-hb7nb6ty4m,변호사가 항소한데... 이름이 궁금하네,6
user-vy2fh6kj6y,이은해 청주교도소 고유정 엄여인 있는데 가는구나,5
dstrykr386,근데 사형수도 몇십년 살다 모범수로 몰래 나오지 않나?,3
user-oq1sd8ur7v,근데 이은해한테당하는거처럼 가스라이팅당해서 자기자식죽이는인간은 뭐지,1
user-qo4kb1qi1y,둘다 무기징역 해야지 30년 살다 나오면 조두순처럼 세금으로 돈줄건데 가둬놓고 만두만 먹여라.,0
