작성자,내용,추천수
dwqeqe103,살면서 가장 충격받은 사건중 하나였는데 무기징역 받아서 참 통쾌합니다. 다시는 이런일이 나오면 안됩니다,534
axe6245,"검사님, 판사님 고생하셨습니다",708
user-hl3dg5xb4r,간만에 판결 조금 맘에 드네. 진짜 저런 것들이 세상에 다시 풀린다는 상상 자체가 끔찍하다,81
user-qe6tg1zb3c,"속이 시원하다. 고생하면서 반성하고 착한사람, 바른 사람 되렴.",68
user-kw5vo2pz4b,뭔가 부족하네 무기. 사형 때려도 죽은 사람은 돌아오지 않아 누군가에겐 엄청 아끼던 아들들이였을텐데. 너무 맘이 아픕니다,23
jiyeon19,진짜 판사님 고생하셨고 앞으로도 엄중한 처벌 받아야할 사람은 이렇게 처벌받아야 한다고 생각합니다.,135
badredrose,다행입니다. 대법원까지 제발 이 형량 지켜지길 바랍니다. 고인의 명복을 빕니다,4
user-lo4yp5me5l,제발 모범수 이딴거 인정해주지 마세요 검사 판사님 뿐 아니라 교도관님들까지 바르신 분들이길..,54
user-sh4xf3uj4c,선량한윤씨가너무불쌍한다 고인의명복을빕니다,166
serfhh1004,피해자가 너무 착한 사람이라 가슴이 더 아팠음ㅜㅜ,3
francoarmani4352,고인과 가족에게 미안한 마음이 1이라도 님아 있다면 항소하지 말고 평생 참회하며 살길 바란다.,81
user-rx5vy4eu3k,징역 15년 이상 장기수들은 제약회사 임상 테스터로 쓸 수 있게 법을 추진해야 한다. 어차피 죄짓고 들어가서 세금으로 먹고 사는 것들이 사회에 공헌이라도 해야지.,147
user-ic7mx9jv1w,그냥 사형 집행해라.세금으로 저런것들 먹여주고 입혀주고 재워줘야돼?,263
user-ic4bs8cu6l,형량으로 끝이아니라 각자 교도소에서 갈굼받으며 하루하루 고통스럽게 살길 바란다... 진심!,15
user-yj7us4pc2m,"판,검사님 정말 고생하셨습니다. 둘다 무기징역 처벌을 바랬지만 그래도 저정도 죄값을 물을수 있어 다행입니다. 저악마들은 30년 동안 반성도 안하겠지만 사회와 격리 할 수 있다는데 안도합니다.",10
issueOn,사형까진 부족했나 보구만 절대 감형 없는 무기징역으로 평생 살아라,559
chu8,"악마를 심판하는 법은 따로 없으니까, 아쉽지만 인간으로서 받을수 있는 가장 엄한 형벌 받아야 한다.",0
user-jd1xe5ph7w,사형도 사형이지만....사형이 실제로 집행되지않으니 내 세금으로 저인간들 죽을때까지 밥먹여야된다는건 정말 개탄스럽다. 즉결처형제도 도입하라!! 판결즉시 참수형 도입하라!!,10
user-nj4il8ns8r,밥값 아깝다....저 썩을것들,257
user-kc7gc8ft5j,대법원까지 감형없이 무기징역/ 30년 쭈욱 가서 정의는 살아있다는걸 보여주세요,33
user-pp7dz2vw7z,판사님. 현명한 판결 감사합니다.수고하셨습니다.,1
user-iv2cl7pg7u,30년 뒤 어느 동네에서 거주할지도 미리 정하자. 그냥 범죄 특별구를 만들자 그들만의 자웅을 겨룰 킬링필드,257
sukjunpapa1472,아직 1심이네요. 무조건 항소할테고 대법원까지가면 감형될까 벌써부터 맘이 쓰리네요. 부디 우리 모두의 관심에서 멀어지기 전에 확정 판결 받았으면 좋겠습니다.,3
user-bx8fm8ei2d,재판부의 현명한 판단이네요,68
user-ri3cg3xu5s,감사합니다 수고하셨습니다 이게 법이고 법이기전에 사람을 먼저 생각하신 판결이십니다.,1
nn_de,역시 전국민이 주목하는 사건이니 세게 때리는군 아직 1심이지만 이 형량 그대로 살길,14
doge7_7,"대한민국 법이라는게 참 아이러니하다 , 꼭 국민들에게 조명을 받아야만 제대로 판결을 하나?",5
user-gg9fw7io8v,형량 개시원하네 스토커들도 많이 때리면 좋겠다,61
ohgamdo4114,이것도 약하다! 저것들은 둘 다 사형이 마땅한 인간들이다!!,2
user-ht6yc6ux4i,사형집행 다시 부활시켜야 된다. 남의 목숨 빼앗은것들을 세금으로 밥먹여 살린다는게 말이되냐고!!!!,7
user-nt7fp9ri1e,마음이 차분해지는 영상이로군.,7
angler_sigi,속 시원 합니다~^^ 감사합니다 판사님️,6
vintage4177,응당한 판경이라고 봅니다. 사실 사형이 적합한데. 착한 사람의 심성을 이용하는 저 악독한 무리들은 처벌이 이것이 끝이 아니란걸 알아야 합니다. 최책감이라도 시달려 자결하기를 기대해 봅니다.,2
user-ou4wt2gx9r,살아도 사는것같지않는 고통속에서 깜빵생활 해라 끔찍한 것들!!,1
