작성자,내용,추천수
Itwontbesolong,정말 현명한 판단을 내리셨네,7
user-dz5oz6wv9x,끝까지 무기가되길 바랍니다.,4
k.678,"오랜시간의 끈질긴 범행계획과 고혈을 빨아먹는 거머리! 들통나고 결국엔 죽음까지..,끝까지 뉘우치질 않네요,영원히 격리시켜야 합니다,",0
user-ke1po1fs1m,생각하기도 싫은 무서운사람들 같네요 세상은 돈 보다 더 중요하건 건강하고 아름다운마음으로 이웃과 더불어 마음편안하게 웃으면서 사는거랍니다. 이 무서운사람들은 반성도없이 나오면 또 나쁜짓 하지 않을까 싶네요.,2
user-dv9lg4zn4u,재판이고 자시고 공개재판해서 개쪽이나 줘라 그리고 개목줄하고 서울시내 한바퀴 돌자 그럼 앞으로 이런애들 한명도 안나온다,2
user-fr6xq3wh1i,"현명한 판단은 사형구형이고, 사형집행이지. 국민들 세금으로 더이상 콩밥으로 호의호식하는 인간들이 없으면. ㅡ",1
Awesome-im1sf,직접적으로 죽이진 않았지 그래 죽게 만들었자너 계곡전에도 어딘가 물에 들어가서 붙잡고 있기도하고 말이지 그때 죽었으면 진짜 살인죄인데,0
user-ew9vj1ii3b,무기징형 나와야지 저런거한텐,2
user-pr3ql4ru9g,구형일분이지 최종선고는 몃년안떨어질듯 ;; 대한민국법이그럼 구형은 아무것도아님 2심 선고까지가봐야 확실한거지,0
user-it1tb4mg1o,이 둘이는 무기징역인데 같은 감방 사용하나? 이 둘이가 가짜 부부로 3년 넘었다면서?,3
_vlog113,은해너는아닥! 왠일로사이다구형,3
user-jw7ml4xy3b,당연하지.,1
user-uu2si4iu7i,여러분~ 평생 살인사건 안당할수 있는 방법은 없나요? 누구나 당할수 있어서ㅜ 이런건 예방법두 없구 이글 보시는 님들도 당할수 있어요. 인생은 복볼복 ㅠ 참ㅜ 사는게 뭔지 참 불행 하네요 이러더라구요 더 나은 내일을 위해서 산다구요 말도 안되는 소리 하지마세요 잘 살다 가면 좋지만.. 억울하게 죽으면 끝입니다 다들 이런 생각 한번씩들 해봤나요? 내가 언제 어떻게 될지 모르니까...이런거요.. 그런데 그냥 그런 생각 없이 자기 인생을 사는 걸까요? 길을 가다가도 당 할 수 있는게 사람이고 정남규 같은 연쇄 살인범들은 모르는 여성을 밤에 살인을 몇번이나 했는데 솔직히 이런 거는 예방법이 없는게 맞잖아요 밤늦게 돌아다니지 마라 이런 말들을 하는데 어쩔 수 없이 늦게 귀가를 하는 경우가 많잖아요 밤에만 사건이 일어나나요 ?낮에도 충분히 일어납니다 뭐 히키코리처럼 살 수도 없는 거고 여러분들은 어떻게 생각하는지 궁금하네요? 사람이 살다보면 당연히 늦게 귀가하는 경우가 많잖아요 수원 토막살인 같은경우 여자 혼자 밤늦게 귀가 하다가 연쇄살인범이 토막낸 사건이잖아요.... 운 안 좋으면 당하고 .. 여러분들은 이런 생각하면 무섭고 경각심도 생길텐데 그래도 늦게 다닐수 밖에 없지 않나요? 무서운데 어쩔수 없다 그래서 그냥 인생을 살아가는건가요?. 무의식으로 살아가나요?? 사람 일은 어찌 될지 모르는데 이런 경각심이 있으면 애도 안 낳지 않을까요,0
user-xb4lc6ei2x,ㅋㅋㅋ 웃고간다잉,0
