작성자,내용,추천수
user-hm7sq5cg2r,대한민국의 정의가 실현되기를 간절히 바랍니다.,41
user-qs8lo4cq2n,판사님 피해자만 유가족만 생각해주세요 피해자도 유가족도 국민입니다 만약 재판부가 이은혜와 조현수에 인권을 생각한다면 이는 피해자와 유가족에 대한 2번에 살인 입니다 그들은 그져 나라법 지키면서 그져 그렇게 평범하게 살다가 피해를 당한겁니다대다수에 선량한 시민을 사법부에서 외면하지 말아주세요 외면한다면 이역시 공정성에 위배되는 내용입니다,21
vaughansung,사람이 아니다. 저런것을 사형시키지 않으면 누가 사형되는가? 반듯이 사형이 답이다.,28
user-pc9vh9ls8x,사형선고 나오는게 파워볼복권 당첨보다 어렵다는 사실인디?,20
user-ss9yh1qh6e,죽은남편을 생각하면 사형이 답이다 광화문 사거리에서 만인이 보는 사람 앞에서 본보기로 사형시켜야 한다 죽은 착한 남편은 넘 불쌍한다,31
user-oc3sw5po1w,러브하우스가 키운 최고의 유명인,10
win3085,필요와 이득에 따라 한국인였다가 미국인였다가 중국인도 되고..이젠 재미교포가 될려하는 스티붕유의 마인드는 존경받아 마땅함 ㅅㅂ...,1
user-xt1fj9nk8u,교도소에서 먹여주고재워주고 그럴필요가 없다 판사님들 그냥 혈세 로 교도소에 있게하지말고 그냥 없애요 사형이답입니다 판결나는적시 1개월내 보내세요! 교도소에 사형수로 두지말고,11
user-yt6vs3wn5e,동엽이성이 제2의 고유정을 키웠넹!ㄷㄷ,2
user-qw9qe3iy4g,판사님 고인과 유가족의 고통을조금이라마 아시다면 사형에서 무기징역을꼭 내려주세영 제발영,12
Lr-wc2mk,잔인해도 너무 인간으로서 넘어섰다 사형이지..,15
user-uu2kt7uk1w,판사 본인이 갑자기 살해되서 죽었는데 그 살인자가 18~20년 구형 길어야 무기징역 받으면 무슨 기분일까?,11
sky6807743,사형이 왜 강한거지? 사람을 몇명을 죽였는데 사형 까지가 강한거? 유가족을 생각하고 고인을 생각 한다면 사형 선고가 불가피 한데 왜이렇게 법원은 연쇄 살인마들 에게 관대한지 모르겠네. 이은해 조현수 보다 더 잔인한게 법원임.,12
user-mt4oj5we3z,일반적인 사형으로도 모자라요...화형이나 태형의 형태로 사형을 집행해야 해요,19
user-lc5on8uj3r,단체로 공모인데 본보기로 강력한 처벌 해야합니다 사이코패스 검사도 높고요,6
user-zg6yu8qh2s,사형시켜라 쫌!!! 그리고 그 부모 나라에서 돈 받던데 돈 주지 마랏!!!!,6
user-gj6fy3xh3m,넌 교도소 밥 주는것도 아깝다!!! 노역은 열심이 해 밥값하고 이생을 마감하길...,19
user-tm7jh1qy3e,저런 인간은 사형이 답이지만 우리나라는 사형을 집행하지 않으니 사형이 구형되여 죽을때까지 교도소에서 있어야지 사회로 나와봐야 도움이 안되는 인간~,4
seonkim4478,당연하지 사형안하면 그런일이 또일어납니다 악질들이예요 사형해요,3
