작성자,내용,추천수
priselop4878,가석방 없는 무기징역으로 갑시다. 제발 판사님들 부탁드립니다.,392
behappy12250,돌아가신분의 한이 조금이나마 풀리셨으면 이제 편히 쉬세요 ㅠㅠㅠ 피해자 가족분들도 힘내시길 기도합니다,177
Riyoo_Komorebi,검사님들 피해자분을 위해 마지막까지 꼭 힘내주세요!,361
user-of3ys1wg6s,"필히, 가석방 없는 무기징역이 꼭 되기를 바랍니다.",507
user-ut1xw6ub9l,그동안 고통받았던 유족분들도 조금이나마 위로가 되셨으면 좋겠습니다..,137
user-qg7pg7vi3v,돌아가신 분이 이제라도 편히 쉬시길 바랍니다,258
user-bx8xx6eg2p,자신을 사랑해주는 사람의 마음을 이용해서 금전적으로 다 뜯어가고 결국엔 목숨까지 빼앗아 놓고 넌 잘 살 수 있을꺼라고 생각했어? 고인이 마지막으로 사랑한게 너 같은 인간이라는게 너무 슬프다. 좋은 사람들을 만났다면 생명 가득히 살 수 있었을텐데... 너희는 죽을때까지 빛도 못보고 살았으면 좋겠다. 귀신 같은거 믿지 않지만 고인이 죽어서라도 저 가해자들을 괴롭혔으면 좋겠다.,230
you-ji8pb,영원히 이런것 들을 먹여 살려야하는구나 착한 분은 살아보지도 못하고 물속에서 돌아가셨는데 얼마나 무서웠을까,81
thegreenapartment4750,정말 간만에 정의구현이 되었군요. 다시 한 번 삼가 고인의 명복을 빕니다. 고인께서는 그 곳에서 편히 잠드실 수 있기를 바랍니다. 고인분의 가족분들도 마음이 평안해 지실 수 있으시기를...,16
kumiko6628,사형은 너무 자비롭다 영원한 고통을 안겨줘야한다,47
user-nx2lq5jl2x,김원님 고생많으셨고 진실 파헤쳐줘서 감사합니다. 고인분 이번생에 마음이 아프고 아쉬운부분 크시겠지만 이제 다 잊고 하늘에서 편안하셨으면 좋겠습니다 고인 가족분들 마음아프시겠지만 힘내서 살아가주세요... 저 두악마들한테 할말은 없습니다 법이 심판하고 뒈져서도 심판받을것입니다,5
SMKim-kx7ir,우리나라도 단순한 무기징역이 아니라 종신형을 추가해야한다. 실제 사형이 없는지라 사회와 영원히 격리할 필요가 있는 범죄자는 석방없이 죽을 때까지 격리해야한다.,26
user-so2fq2yw4c,사형제와 간통죄부활해야합니다.,216
user-uh4de3no2e,한 사람의 목숨이 죽을때 가져가지도 못 할 돈 때문에 죽음을 당했다는 사실이 정말 맘이 아프네요.,3
24th_dec,공판이 14차까지 갔던 만큼 법원이 그대로 받아들여주길...........,85
user-bq9ch1it4c,사람이 아닌것들이다. 사형에 처해라..,73
user-wg6wf9jn7l,아쉽지만 정의는 살아있다,106
user-nq6wi4jr2n,사형을 집행하라,119
bongbong2845,검찰에서 무기징역 나오면 최종은 거의 무기징역 안나올 확률이 큰데 .... 우리나라 중대한 범죄 저질러도 무기징역 안나오니 참 좋은 나라네 정말 자랑스러워서 쪽팔릴정도다 ... 국민이 보고 있다 최종판결 똑바로 내라 법이 얼마나 무서운지 보여주라 말이다,59
storyaki,판사님 부디 저 둘은 세상의 빛을 더이상 보여주지 마시길 바랍니다.,12
kissong2950,"판새 선고가 아닌 판사님 선고가 꼭 이루어지길,,,,,",1
user-uh3ls5qz4d,아이고 삼가고인의 명복을빕니다. ㅠㅠ,0
user-fm8ey9te2c,일다운 일을하셧네요 공정한 사회를 위해 노력하신 재판부 모든분들 항상 수고하십니다.,6
user-nq8jb1mm1s,무기징역 이들은 사형을 집행이 마땅하다,204
sweet_bear712,부디 피의자에게 공감성 부족한 판사가 판결해서 다시는 세상으로 못나오게 했으면...,3
user-xz7qj8re3q,수사기관이 유능해야 한다. 경찰이 수사를 잘해서 증거를 잘 채집하고 검사가 법정가서 화려한 언변과 전문적 법학지식으로 판사의 판결을 이끌어내는 아주 중요한 자리지,21
user-fy1mf5eg2u,판사님들 억울하게 죽음을 맞이한 고인의 마음을 알아주셨으면 합니다~ 마지막까지 힘내시기 바랍니다,1
pino9579,사형이 아니고요?????쓰레기들 먹이는 세금이 너무 아깝다,18
user-dk5bg4xk3o,검사님들 감사합니다,24
sanggregory3606,사형 시켜라 악마들,32
user-vl6or9jj4r,이런 죄질이 나쁜 사람들은 반드시 사형에 처해야 한다. 사형제도 부활해야 한다. 악의 근절을 위해...,5
sunme802,죽은고인이죽기전까지얼마나힘들고비참하게살았나요..진짜감사합니다,1
user-tq7bc4hr1p,오~~요즘 진짜 답답했는데 간만에 속 후련한 일이 벌어졌네요! 그분은 진짜 맘이 라도 편해지셨겠네요,3
user-bl7if6ir3c,"검찰이 구형 해도 법원이 판결을 제대로 내려야 하나, 법원이 과연…",195
user-rf2gr5dz8j,도와줫던 관련자들도 처벌하는거 보도해주세요!!꼭!!,6
user-uz8qd8tk1i,저런 악마같은 인간들의 죄값을 치르게 하기 위해서 여론전이 필요하다면 해야지!!!!,18
BlueRabbit87,사형을 시켜버려야지 사형제도 부활시켜라 진짜 무기징역 동안 입는 옷 쓰는 물 먹는 밥 값 노역으로 스스로 벌게해라 중노동을 시켜야한다,9
user-hn7zc7gn7s,판사가 누군지 몰라도 가해자의 인격존중 따위는 절대 생각하지마세요.이 변호사들은 이 발언을 후회하게 될꺼야.,1
