작성자,내용,추천수
yodanet84,보험금 달라고 소송한거보니 죄를 뉘우칠 생각 1도 없으므로 사형!,6
user-zv5iv1jy2g,사형제도부활시켜라,4
bigmuscle8728,사형아닌게 다행인줄 알아라. 밖에 나올 생각하지마라. 30년있다가 환갑돼서 나오면 되겠네.,2
lagnala6389,항소하면 더 무거죄로 다스리길바란다 사형,2
user-zo5cb3nl3r,그나마 다행히넹 나쁜넘들 달게 받어라,2
user-jb6bn3ib2k,2심 판사 잘해~ 욕먹기 싫으면~,2
user-yb2tk3oe2n,세간에 이목이 많은 사건은 형이 좀 높게 나옵니다,0
secretgardensr,당연,2
user-bb3bv5en5m,젊음이 아깝네,0
user-lr4hc1mm4p,8억받아서17년후가석방으로나오면그때쓰려고하는거지,0
user-lr4hc1mm4p,저때5억이면지금으로치면얼마되는지,0
user-mc7bg2zz5b,너희들은 하나님이 벌 하실거다 지금 받는 형은 세발의 피다 ㅉㅉ 머리카락 백발돼면 세상에 나와,1
user-oc3dq5nj7q,그냥 둘다 생식기 잘라내고 내보내죠,1
