작성자,내용,추천수
akida416,구해야할 의무가 없다면 그게 사람이냐? 그럼 소방관은 왜 목숨걸고 사람구하냐? 진짜 요새 세상이 거꾸로간다,9
nojamBOT7,구하지 않으면 죽을거라는걸 알면서도 그걸 행했고 그로인해 사람이 죽었으니 미필적고의의 의한 살인죄가 무조건 적용됨. 그리고 사람이라면 최소한 수영을 못하지 않는 이상 물에 빠져 나오지 못한 상황을 맞이하면 구해야 하는게 정상적이다.,2
user-cp5kl5gs5n,남자 흉악범은 포토라인에서 적나라하게 얼굴 다 비춰주드만 여자 흉악범은 마스크에 모자도 허용해주고 손으로 얼굴 가리게도 해주네??? 우리나라는 여성에게 참 관대해.,4
user-ny5wi5qp6v,"인천 지방법원은 오늘(23일) 낮 열린 공판에서, 배우자 관계에 있다고 해서 구조해야 할 의무가 있는 것은 아니라면서, 피고인들이 어떤 구조의 의무를 했어야 했는지, 방어권 행사를 위해서 관련 자료를 제출해달라고 검찰에 요청했습니다. 이게 뭔 개소리냐?? 사람이 사람을 구하는게 당연한거아니냐?? 그럼 방관죄는 뭐냐??",6
user-hy5,참나 말이안나오네ㅡㅡ,0
user-mp3gm2rf2f,고의로 물속에 밀어넣었는데 구해야 할 의무가 아니라 이유가 없는거지....,6
Gloria_Aria,나라가 망조에 들고 있다.,0
user-to2iv6mj8x,"아,뺀기 쓰네.. 사헝은 나와있는건데 머 바끼길 바라는거야.? 이 걸뱅이들아?",2
user-rg1nq8wm9b,...네?,0
secoed475,돈 얼마받음??,0
user-jg1yv2lt5o,"지하철 여직원 사건이 여혐이면, 이건 남혐이냐?",4
