작성자,내용,추천수
peterlim2006,사형이 답이다. 사형을 다시 되살려야한다.,1.4천
user-qs4hq6zx1n,무기징역 감형없이 그대로 선고 해주시길 판사님께 부탁드려요,1천
user-mw7xb2wt5u,저악마들에게 같은방쓰시는분들게 부탁 합니다 매일 사는게 지옥으로 만들어 주세요 불쌍한 고인의 명복을 빕니다,973
qkrwoals413,사형제도....살려야 합니다....! 죽음을 당한 고인을 위해서도요... 살아있는 부모를 위해서도요..... 그래야 저런 어처구니없는 범죄가 줄어들것입니다...!,58
user-dc8sx1bm4o,자신의 목숨을 걸고 모든걸 바친 남편이 눈물 나는거 같다......날 죽일지 알았지만 끝까지 믿어준 남편 생활고에 친구에게 만원을 빌려야 했을때의 심정 이 시대를 살아오는 남편으로서 눈물난다.나만 믿고 살아가는 아내가 너무 고맙고 미안하다.,353
balletrino,다시는 이런 흉악한 범죄가 절대 일어나지않도록 무기징역을 꼭 내려주세요,54
user-cg8vk6tp8y,사형제도를 부활 시켜야만 한다 인간이기를 거부하는 자들에게 자비를 베풀 필요가 있을까,141
kimeunjee,검사님까지는 훌륭했다 판사님까지 훌륭한 판단잘하길바란다 제발..,416
user-mt1qr7ot8o,현명한 판사님의 최종판결을 기대합니다. 죄값에 합당한 극형이기를 바랍니다. 공개처형의 첫 사례가 된다면 대한민국은 희망의 땅으로 거듭나겠지요.,716
user-rr4tm7qf4c,너무 가슴아픈 사건입니다.ㅜㅜ 소시오패스에 희생된 일반인의 삶에 공분이 일어나네요.. 고인의 명복을 빕니다.,27
user-rv4ml4ph3p,판사니 제발 합당한 벌을 주셔야 해요 그래야 돌아가신 분도 편히 눈을 감을 거에요,68
misoohan182,인간이기를 포기한 아주 사악한 악질이네요. 국민들이 피땀흘려 낸 세금을 왜??? 저것들이 죽을 때까지 먹이고 재우고 하나요??? 사형이 답 입니다!!!,50
user-kl3gn2dp1d,제발 사형해라! 우리나라는 왜 저런인간들에게 세금을 낭비하냐?,457
Maria-pp4ze,고인의 명복을 빕니다 가족분들 힘내세요!!!,8
christylucky,판사님에 능력을 믿습니다🇰🇷 무기징역 판결을 내려주세요🇰🇷.사회로부터 영원한 격리을 시켜주세요.🇰🇷,530
user-dy7og2xn3d,한명의 고귀한 생명이 헛되이 되지 않도록 판사님의 현명한 판단이 있기를 학수고대 하겠습니다 이러한 괴물들이 다시 사회에 나와 활보한다면 얼마나 큰 민폐일까요 헤아릴수가 없네요 가슴속이 시큰둥 합니다 속시원한 명판결 기대합니다,41
user-zm3ct3cx9i,옳은판결에 박수를보냄니다,414
ethan6474,삼가 고인의 명복을 빕니다 그 곳에서는 편히 쉬시고 행복 하셨으면 좋겠습니다..,19
user-hz3kv3in2o,제발 감형 없는 무기징역 '판결' 나오길 기대해 봅니다.,422
axe6245,승재현님 말씀에 깊이 공감합니다. 부작위를 따질 필요가 없죠. 차고넘치는 정황증거와 증인들의 증언을 종합해봤을때 이 사건은 무조건 계획된 작위에 의한 살인입니다. 근데 부작위를 따지던 이규훈 부장판새가 영 쌔하네요,414
user-fs6eh7ks8s,사형이 아니라면 종신형 제도가 급 필요한 부분이다. 또한 일반수들과 함께 수용하는것이 아닌 개별적인 수용과 제한된 일상생활속에서 수용생활을 하면서도 죄의식을 느끼면서 지낼수있게 해야 할것이다.,82
user-du4sr4cq8r,고통속에 살다간 고인을 위해서라도 하루하루가 얼마나 괴롭고 고통스러운지 뼈저리게 느끼게 해줘야함,19
user-qq6pb8bg8w,판결중에 진짜 짱입니다 무슨 말이 필요할까요 소름 끼처요 진짜 이 세상에서 별일이 많치만 진짜 가슴 아픈 사건입니다 ᆢ,176
liney7437,세상에 저런 사악한 인간들 많이 있으니 조심해서 살아야 합니다. 가깝다고 생각한 사람이 아니다 싶은 행동을 반복적으로 하면 친구나 이웃에게 상황을 구체적으로 말하고 소통해야 합니다. 가족 친지의 악의적인 목적 의식은 객관적으로 발견하고 파악하기 힘들어요~,18
user-im7sm3vj3r,"계곡살인사건 가해자, 사형을 구형해주시지 왜 살려줍니까요..왜요?? 우리나라 법은 개같은 법이야...더러운 나라다",162
jujju7426,"지난 5년간 무너졌던 사법이 조금씩 회복되는거 같아 좋습니다. 검사는 이런 흉악범과, 강력범죄자들을 잡기 위해, 꼭 필요합니다. 검수완박법은 악법입니다",165
kocuzang,"이은해는 정신적으로 문제가 너무 심하기때문에 저런 부인을 하는 말 자체가 자신의 범죄를 부정하기 위해 하는 것이 아니라 자신도 무기나 사형을 선고함에 있을수도 있다고 이미 인식하고 있는 지능이며, 저런 말을 하는 것 자체는 전 국민이 집중되있고 남은 유족마저 그들의 마음을 끝까지 헤집어 놓고 싶은 사이코라서 자신의 범행을 인정하지 않으며, 반성을 일부러 하지 않는 것입니다. 이미 사람이길 포기하고 사탄을 선택한 사람들이죠.",120
user-ei6zy1bz7k,제발 가석방없는. 무기징역. 받길바랍니다 저런악마는. 사회에서 살아가면. 절때로 안됩니다,1
user-xw5pq9rm6c,그 어떤 사람도 남의 도구 이용 과 허드렛을 책임지려고 태어난 사람은 없습니다 양형기준은 국회가 만들었기에 어쩔수없이 적용되어 판결이 어떻게 적용될지 모르겠지만 부디 가석방없는 무기로 사회 와 완전 격리가 나오길 바랍니다,43
user-uw5uf5bv1q,사형이 답이다..인간을 포기한것들~~ 최악인들~~,1
user-k1004,무기징역 감옥살이 세금도 아깝다 사형을 시켜야 이런일이 안생기지,233
user-vg7po1pd9q,조금이라도 동정심을 얻어내 무죄를받고야말겠다는 집념이이길지 판사가이길지 지켜봅시다.,77
