작성자,내용,추천수
koreashort,검사분들 감사합니다..!,17
user-vc3sy1hi8h,유죄 판결은 아주 당연합니다. 영원히 바깥 세상으로 못 나오게 해 주세요.,53
user-sr8ke5li6o,진짜 범죄자들 얼굴가리고 존중해주는거 1도 이해안간다 인권위 해체해라 사람죽여놓고 꼴에 사람대접 해주고싶은가?,41
fcpark954,저런 악마를 그냥 무기징역? 적당히 10-20년 감방에 살다가 풀어주려고?? 이런 개같은 법이 어딨나? 그냥 당장 사형에 처하라..,41
emilychoi934,무기징역 확정되길 정말 기대합니다. 다행히 두사람이 똑똑하질 못해서 변명도 참 앞뒤가 안맞게 잘하네요. 제발 계속 저렇게 말도안되는 변명 계속하길 바랍니다 그래야 감형안되겠지 스스로 무덤파서 잘 들어가 사세요,8
rij384,저여자 그냥 놔뒀으면 어떤 사람 걸려서 또 죽을 수도 있다 .. 남 등쳐 먹고 사는데 직업인 여자 …,15
good-ww8ux,인간이라고 할수는 없다,17
user-pg4je2tk6m,이은혜 당신도 느껴보세요 혼자 죽는 게 어떤건지 거기가 얼마나 답답한지 당신이 저지른 죄는 다 당신에게 돌아갈겁니다 거기선 밥잘주고 잘 재워주고 할수 있을 지는 몰라도 거기에 대가가 반드시 다르게 될겁니다 꼭 외롭게 가시길,8
user-ce3fp4ug6k,인간 악마들~영원히 사라져야 하는데~,16
user-of4ne6fn6g,사형 집행 안 하더라도 선고 돼야 절대 못나올텐데.. 무기징역은 좀 아쉽네.. 판사가 잘 해야겠네 ㅠㅠ,5
user-ub2wi7wq1r,법적 남편두고 내연남과 그짓 하고 니가 인간이니 짐승이지,10
upox6942,대체 이나라는 누구를 위한 나라인지 모르겠다.. 국민들이 납득할게 이리도 없는가… 안걸리면 모르지만 걸렸을땐 좀 확실히 처리하자.. 걸려도 뻔뻔한모습좀 그만 보자…..,6
user-sl4zg5qp9y,저건 인간이 아닌 악마다,12
puregold2284,저 두 악마를 변호하는 변호사와 가족에게 똑같은 일이 생기길 두 손모아 기도합니다,7
luansen0,모든 증거가 가리키고 있는데 아니긴 뭐가 아냐? 진짜 억울하면 십원한푼까지 유가족들에게 다 주고 머리깍고 산으로 들어가 보시던가 지금 안잡혔으면 해외도피 했거나 계속 피해자가 나왔겠지 법원이 느낌으로 판결을 했겠냐? 범죄의 증거가 입증되었으니까 처벌을 받는거다 아니라는 증거라도 보여줘야 억울하겠구나라고 하지 아몰랑 억울해 하면 잘도 속아주겠다,6
user-km1pm5gr9h,저 변호한 변호인한테 나도 되묻고싶다 변호하면서 양심의가책안느꼈는지 변호인도 변호하다가 죗값 치를 수 있다는 법조문있으면 변호할 마음 있었는지,10
ej8002,악질적인 인간들에게 맞는 판결 입니다..,5
user-gv9dm5is6y,유가족 말대로 라면 하나 겨우 사먹으며 견뎠는데 무기징역이 아니라 사형을 내려야함 무기징역이면 공짜로 끼니 때우게되기때문에 평생을 공짜로 누리게 되는 꼴임,8
user-hz3kv3in2o,아주 좋은 구형이다. 감형 없는 무기징역이 확정 되었으면 좋깄다.,7
namki17,여름에는 계곡에 한번씩이라도 경찰단속이 필요하다,7
user-nu7kb2nt7b,석방없는 무기징역도 아니고 선고떄 낮아질꺼고 몇년살다 나오겠네 뭣같은 시대다 정말,3
user-zc4pq2gt7g,사형이 아니야? 모자에 마스크에 법은 가해자만 보호하는 구나,17
Factcheckes,쟤네 아직도 구라치는거에요? ㅋㅋㅋ 그냥 패면서 진실을 말할때까지 고문시키세요. 자기가 한짓들을 부인한다는건 솔직히 폭력이 답임.,13
gu_gu_99,무기징역자들은 독방에서만 살게 했음 좋겠다. 다른 사람들이랑 섞이면서 왕처럼 군림하는꼴 보는게 너무 싫었는데 이들은 왕처럼 군림할까 두렵다.,5
user-hh2dh2qo9n,사형제도 부활 시켜라 !!!,2
user-dz6td6lh1b,사형선고 답이다,2
user-zz7so7ql8r,무기징역 폐지하고 유기징역을 무한대로 구형 가능하게 법을 바꿔라 항소에 대법가고 나중에 모범수 감형 받아도 늙어 죽어서 나오게끔 해야한다,1
biohajad2,좀 판결에 있어서 형평성 있게 살인은 전부다 무기 때리던지 하지 얘는 무기고 얘는 몇년이고 장난치나 그냥 살인은 다 무기 때려라,3
user-of4ne6fn6g,이번에 못 집어넣으면 나와서 또 다른 사람을 해할 것이다..,5
UragilWorld,구형이라 아무 의미 없음. 판사가 ㅈ같은 판결내리면 끝임,6
user-vq7fi1ry8m,쓰레기 처리해야지 사형제 부활하자,2
user-fl2et3zu2p,생긴건 멀쩡한게 어떻게 저런 짓을 하냐..,4
user-cw7oe8vt4q,거짓말 가중법 같은거 없나.. 아니라고 우기다가 거짓말이면 가중처벌 하는..,4
user-qb2zd9no6f,진짜 구치소 있을때 지들끼리 모범수해서 가석방까지 생각했다는게 인간이 아닌거 같다,0
joontakeda2475,몇년살고 나오게하면 안돼요!!!!!,4
user-ls3oq4pq7u,국민세금으로 저런 쓰레기들을 밥을줘야되는거임?,2
rich3305ify,아니 근데 얘네들 변호인들은 계획적 범행이 진짜 아니라고 생각할까?,10
seonwookjung7355,사람을 죽였으면 똑 같은 사형이 상식 아닌가? 이에는 이. 눈에는 눈.,2
user-pe1yz2es9w,감방 무기징역 말고 독방 무기징역으로 넣어 주세요,1
miho5917,반성을 끝까지 안하는,2
sunchan.k8325,웃기네 저 무기징역이 특사 사면 불가 조항을 받아야하는데 그런 내용 있나??,7
user-zj4gw8rd5f,검사가 무기 때리면 뭐하나 최종 판결은 판사가 하는데 요즘 무기 때리는 판사 드물어서 어찌 될지?...,2
user-ft9pm1ck9w,어떤 판결이 나오든 항소하고 또 항소하겠지?..,2
user-zr6rl8oz8r,저런걸 변호하는 변호사도 문제네,1
yangjoseph3524,사건을 봤을땐 그리 큰죄를 지은건 아닌거 같은데 판사가 사진보다 실물보고 빡쳐서 무기징역 준듯 ...,0
user-iu6hn8mr7r,구형과 선고는 다릅니다,1
laemt325,은해야 걱정하지마 검사측은 무기징역을 구형했지만 너그러우신 판새님이 징역20년이하로 때려주실거야.,0
koddakji83,내가 피해자 가족이었으면 빵에 갈 각오하고 이은해 부모 죽여서 죗값 받아냈다,1
user-qv6hw4uo5t,남편이란 호칭은 죽어도 입밖으로 안나오나보네,2
jsbae1386,50년 징역이다 본보기로 삼아라,0
user-nl8dy1wg2w,"그알에 제보 안했더라면 이은해,조현수는 지금도 새로운남자 작업했겠지..",2
jhsywafqge26dh2,구형은 구형일뿐,1
user-ht4ls7hd6r,구형이 무기면 판결은 이십년 나오겠내,0
user-ex1sg5wm7p,가스라이팅은 멈추지 않는다! 깜빵에 가서도 호구 교도관 몰색해서 라이팅 치겄네.,2
greenangel4665,젊은나이에 무기징역이라.. 참 인생 지대로 죠졌내.. ㅉㅉ,0
user-pw3vz1cf7m,국정원이진섭팀장(방위산업보호.방위산업기술&전략물자) 22년전(99년때) 고등학생 미성년자 성폭행함.부인도 국정원 대북관련쪽. 알면서도 결혼함.(건대?강남구청 래미안?현대? 아파트) 산다고함. 아들 이찬영도 다알고있다고함! 역시 공무원 국정원 가족 짱입니다!! 그런데 어떻게 국정원이란 사람이..아들까지...,0
user-hv2rz2gh9d,이제 남성인권 유린 너무 심각합니다 ~~,0
user-nw9fu3ne8x,구형이 무기징역이면 15 20년받겄네,0
user-si5gp6mm4c,뱀상,5
user-go7kx9ox7j,문제는 판사구만...웬만하면 구형되로 때려,0
user-qe1yy4ij4t,간만에 무기징역이네 좋댜,0
user-kn7fe8pp4t,3년징역할줄 알았는데,0
user-vs1pj2vk9h,"대한민국 법치를 수호중인 윤석열,한동훈 법치위의 권력과 방탄을 위해 검수완박한 민주당. 법치가 민주당식이 되면 이은해,조씨는 무죄가 될수도?",0
user-gi1ki3wj9i,인과응보다,0
user-os1cv9hp5x,과연 주범이 누구일까?,0
user-ln4qf2go4e,종신형은 뭐에요?,3
ever_skyblue8113,나치하고 일본제국한테도 배울점은 있다고봄,0
user-redpill,딱 저게 한국 페미 수준이다. 꼴 좋다~~,0
user-cf4dz4wh4j,대기업 다니는 사람이 라면 하나 생수 하나 사먹을 돈이 없었다....,0
