작성자,내용,추천수
user-go2uo7vq3j,잘했다 판사님들.,89
user-cz1xp5pi5f,잊혀지지 않게 밝혀준 그알 제작진에게 박수를,101
ckghgo2051,"근데 1심이 만족했을지언정 가해자들이 항소하는 한 2심과 대법원 판결이 남아있습니다. 부디 2심과 대법원 판결도 무기징역, 징역30년 형이 계속 유지되거나 그 이상의 형벌로 판결받길 기도하며 더 이상 피해자와 유가족들의 눈물과 원통함으로 점칠된 대한민국이 되지 않기를 바라며 법치주의와 권선징악의 판결이 많이 나오길 바랍니다. 🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷",72
koreamvp4699,즉시 항소한다는 말에 소름돋고 갑니다..,33
user-sd4vp7ui8n,유족분들 건강챙기셔요ㅜ,6
user-kc2ff1vk1r,최고의 판결이십니다 ᆢ 맞아요 죽을때까지 시도했을게 분명합니다,11
Citrus_Juice,법원에서 정말 공정한 판결이다.,5
brunello7,사형제 부활시켜라 살인마들은 징역도 아깝다,5
SGolds-qh1ch,자유민주주의 국가에서도 이런 어이없는 판결을 하는 후진성을 지닌 국가가 존재한다고는 상상도 하지 못할 일이라고 생각합니다.,4
user-fu3dd4uy8o,인간이기를 포기한자 무기징역도 가벼운 형량이다,44
user-jl3kc6vd8q,대법까지 무기그리고30년 유지되기를,5
user-lc5on8uj3r,정확합니다 죽을때까지 살인시도했을것이 팩트죠 그래도 법이 가벼운 한국판결 치곤 이번 판결결과는 매우 만족할 결과입니다 조금이나마 고인과 유가족에 고통과 슬픔이 치유되길 빕니다,6
heyjoehandrix4182,가족들 준법정신 투철하네... 악법도 법이라고 존중하는,4
user-cc8fy7wx1v,"악랄한 짓을 또한, 살인까지 하고도 반성도 없는 이은해와 조현수 감헝없는 무기징역에 처해지길 바랍니다",6
spawncanada1,역시 힘없는 사람에게는 공정한 판결이 나오는 구나,24
user-pc9vh9ls8x,검찰출신 윤석열 하나 잘 뽑아서 이리 좋은 판결이 나온겁니다. 윤석열 대통령에게 항상 감사하는 마음을 가지십시오. 이래서 대통령을 잘 뽑아야한다는 걸 새삼 느끼게 된 판결이었습니다.,11
user-sp7zd8zr2u,할배 대서 나오겠너... 한명은 할매 돼도 못나오겠다. 유족의 그 아픔 심정을...재판부가 확실히 해줬네..유족의 아픔이 조금 이라도 덜수 있는..판결에 만족합니다.,28
Megadeth-cc4zc,은해야 사랑해,0
user-ek7ds2fz1i,다른 살인은 10년도 안받던데. 나머지 판사들 반성 좀 하고 피해자 가족들에게 공감 좀 하고 살아요,7
baegmr715,사람벌레잡듯이 죽여도 사형안당하는구나..,16
user-uh8yu2go3s,징역 끝나도 제2의 피해자가없게 전자발찌 차게 해야됩니다,8
