작성자,내용,추천수
Kim-yq6ku,저희친척도 이은해같은여자있는데 수사해주면 정말좋겠네... 에휴....,11
user-wq1th4on9t,조력자들은 왜 처벌 못하나요,1
onefineday6202,사형이 아니라고? 시바 대한민국 법치주의는 죽었다.,5
seunggeunpark8986,사형제도가 부활하지않는이상 사형선고는 나오지말아야한다 사형수들이 지금 미결수안에서 얼마나 편하게사는지 알면 유족들은 두번죽는다. 아무것도 모르고 사형안나왔다고 난리치지마라. 집행없는 사형은 그들에게 자유나다름없다.,0
soon0532,검사들이 없어으면 이일을 어떻해 밝혀졌겠냐,0
duekhoakuu-si1gw,감옥에서 국민들의 세금으로 밥먹고 잠자고 할꺼잖아 평생? 공짜로 ? 짜증나네,1
user-ud3mj9sz9m,할머니되면 기어 나오겠네 ㅋㅋ,6
user-cj4jl3wg7s,고인의 가족에게는 보험금줘야되는거 아닌가? 이은혜는 해당사항없는거고~,0
ParkGeon,사형 제발 사형 사형 제발 사형,0
jey4751,진정한 악마를 보았다,2
user-jq9jo5rd1z,은해야 너무 축하해!! 무기징역이라면서? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
user-zo8kj4wx8f,"버스는않되나요,마스크를해야되나요,전쳘은되는데,버스는않되나요,",0
user-yi6qc7jb6g,은해야 너도 보험 탄압이라 우겨라,0
tlsehdwnek,징역 30년,0
soulmaker9901,나왔어요?? 죽었으면 하는디,1
user-dp6kc7qz5b,사형,2
user-ri5bt4eh6m,무기징역?,0
user-rs3dy1ve3g,다 필요없고.최소30년이상 판결안나고 후한판결을내린 그 판사를 저격하실분들 좋아요.눌러보세요,1
user-qi4yo6di1e,이은해 감옥에서 하루에 밥 한끼만주세요 가장 맛이 없는걸루요,0
user-qb2gg2kl5l,실망인데 사형인데,1
user-lr4hc1mm4p,남자도참비참하네살아도죽어도저렇게비참한삶이있어까치라리혼자살는게답이다,0
jprealcubo8044,우리 은혜는 이쁘니까 봐주지…ㅠㅠ사랑해 은혜야-!!! 많은사람들이 널 응원하고있다는거만 알아줘-!!! 검찰과 경찰이 사건을 조작은폐했다고 지금 다들 그러는데 한쪽의견에만 편향되게 생각하는 사람들은 집안 수준이 보인다~~,1
kk095431,왜살어,0
