작성자,내용,추천수
user-mq5rw1gh2w,"친척 오빠든 할애비든 관심은 없다만, ""피는 못속인다""는 말 정말 명언 같다.",684
user-zk9rk7zx4u,악마가 따로 있나 이것이 살아있는 악마 입니다. 다시는 사회에 나오지 못하게 해야합니다. 평생 그짓만 했는데 할줄 아는게 뭐가 있겠습니까? 피해자 가족 생각하면 가슴이 아픔니다.,961
sin5042,악마를 악마라고 못 부르는 이 더러운세상 ㅠㅠ,208
Ryankim1231,악마도 울고갈 짓거릴 해놓고 표현이 과해?? 돌았나?? 고통받을 피해자분들을 위해서라도 반드시 극형선고해 주세요!!!,204
user-hb9tq8le5d,죽은 사람만 불쌍한 대한민국 삼가고인의명복을빕니다,238
cheolong,사람을 죽여놓고도 저리 뻔뻔히 나오는태도를 보아하니 친척오빠라는 인간도 어떤인간인지 그리고 그집안자체가 문제가 있다는게 여실히 보여진다,60
user-ld1gg8zp4p,친척이라는 놈에게 한마디 한다. 피해자 가족들에게 한번이라도 용서와 사죄를 한 적이 있는가? 없으면서 말꼬투리를 잡아 피해자 권리만을 주장한다면 너도 똑같은 악마야!!,213
user-hh6dq5up7y,악마의 가족은 악마가 아니지만 악마를 동조 두둔하는건 악마의 일족이 맞습니다,55
user-cg6ns2jt7t,친척 오빠라고 말한 남성은 정말 대단한 사람이네.,791
user-so5hb4iq3h,친척오빠라는 놈도 같은 싸이코패스인가! 저지른 죄를 생각해야지 어디 이은해편을 드냐! 같은 가족이라는것도 창피하고 미안한 마음에 숨어야할판에 어디 저런 쓰레기편에 서서 항의질이냐!! 저 집안 피가 원래 저런가보네!!,31
cookieguru9532,친척오빠도 대~단하네ㅎㅎㅎ 친척오빠의 발언이야말로 피해자 유가족들을 두 번 죽이는 언사가 아닌가싶다,502
fjdhkhyuy5883,저 집구석에는 저런 DNA가 있는가 봅니다. 부끄러운줄도 모르고 법정에서 저런 헛소리 찌끌이다니 참으로 한심 합니다. 지금은 진심어린 사과와 반성이 필요할때 입니다,22
pupupu2605,저는 그 이은해의 친척 오빠가 공판서 항의한 장면을 모자이크 없이 보고 싶습니다.,59
RK-db9bj,친척 오빠의 말이 맞습니다. 재판하는곳에서 악마라고 말하는것은 잘못된 것입니다. 그러니 이제 그분이 밖에 언급되는 일이 없도록 교도소 안쪽 깜깜한곳에 무기징역으로 넣어두는게 좋을듯 합니다.,36
jwsre6765,아무리 친척이라도 저런짓을 한 인간을 보고도 감싸고싶은 생각이들까.. 에휴,62
user-uk3ix5xc4n,악마를 악마라고 하지ㅋㅋ 검사님 잘하셨습니다,139
user-xz3mf8go5m,사람을 죽여놓고 도망다니다가 잡혔는데 검사나 피해자가족이 그런말도 못한다고? 내가족이 죽었다면 입을 찢어놔버렸다... 지금도 자기는 잘못없다고하는데 저런것들이 날뛰는걸보니 아직도 세상이 미쳐돌아가는것같네,5
user-ic9cx2vk9y,두번죽이기는 친척이라고? 저인간도 조사해봐야겠네 저런 범죄를 저지른 것들이 악마지 뭐냐? 악마보다도 더한것들이지,81
louluol87,검사님..담부터는 팩트에 기반해서 살인마라고 해주십쇼,401
user-ef1zb7td8f,악마보단 더심한 말이 있으면 쓰고 싶은데 피해자가족을 생각하면 그런말이 나오냐? 피는 물보다진하다지만 악마의 피가 흐르고있네요. 왕소름이네요 친첵오빠님!!,8
allwholething,악마를 두둔하는것도 신기하네.,32
Gaonashi,정말 뻔뻔하다 집안 자체가 그냥 아주 인간들이 아니구만~ 뭐 전부 지옥에서 기어올라왔냐?,64
user-fc3xm4yr9n,친척오빠가 악마네 악마가 악마? 일 잘하시는 검사님 굿,227
user-xm9lv1hn4b,두번죽이는게 아니고 세번죽여도 할말업다 친척오빠는 자기동생이 한짖은 돌아가신분들을 몇번 죽였는지 모르고 하는 소린지 어이가업네요 진짜,5
rulrastar,저런 말을 할수있는 그 친척오빠도 악마랑 다르지않네,4
user-lu7rg8pm6d,판사나 변호사가 악마라고 한것도 아닌데 친척 오빠의 저녀가 저런 여자나 남자를 만난다면????? 뭔 욕을 해도 달게 받아야지… 검사는 더한것도 알고 있을텐데 증거가 없어서 말 못하는게 한두개겠냐??? 정말 악마를 본거지,3
