작성자,내용,추천수
user-zk9rk7zx4u,사회에서 영원히 경리 시켜야 또 다른 피해자가 생기지 않도록 해야 합니다.,11
plus6811,이호영 변호사 최고 라이더 화이팅,29
user-yu8kd6sl8r,무기징역이라도 감형없는 무기징역을 줘야되지않나 지금도 잘못을 인정안하고 부인하는 악마들 영원히 사회에빛을 보게해선 안된다,81
lovelyp902,전주환이 겨우 9년이라구요? 와 진짜 머리가 띵하다..,5
user-be9jb1bg2f,법원에서 감영하는거좀 없애야지 진짜 지들이 무슨 신이라도 된거마냥 깍아주고 지롤이야 피해자 가족들은 절대 용서하지않고 피해자들은 오만고통 가지고 남은 평생을 살아야하는데 그런점음 절대 저 법원 쌕히들은 포함안시켜 법관되려 공부만 쳐해가지고 개념 엿바꺼 먹어가지고 에휴,13
user-xj3kw2ye6m,저런 경악할것들 빨리 구치장에 처넣어야 한다,20
stombbabba,고인이 살아 있을때도 사골우려먹듯 빼먹었는데 목숨까지 빼앗고 보험료까지 털어갈 계획이면 죄질 말할께 없다. 악마지 저런것들 다시 사회나와서 할 수 있는게 없으면 또 저짓거리한다.,9
QAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,영원히 감옥에 가두는게 단 한순간 뿐인 사형보다 낫다.,41
geunii5418,사형집행을 다시 시작만해도 사형선고 많이내릴텐데 집행을 안하니깐 판사들도 어쩔수없이 무기주는거같아 씁쓸합니다.,17
user-hk2ht7np1w,감형없는 무기징역이여야 합니다,14
user-kc2ff1vk1r,저런 악마들은 사회에서 격리시켜야 한다ᆢ 또 다른 피해자가 안나오게 하려면 정말 악질들이다,3
rndrmaghrltla1946,"첫번째 , 두번째도 살인을 밝히지 못해 또 살인으로 이어졌음에도 누가봐도 살인임에도, 그 놈의 증거나 따져가면서 또 풀어준다면 또 다른 피해자는 물론, 피해자가 저승에서 피 눈물 흘릴 것..",28
rlatjswls882,무기징역 아니라 사형을 구형해야지.,19
