작성자,내용,추천수
yellowgogo8006,무기징역으로 감옥가면 한 50년은 국민세금으로 먹여주고 재워줘야 하기때문에 그냥 시신으로 발견 됬으면 한다.,2.5천
hongkang2789,4개월 신용카드 폰사용 안한다는 뜻은 도피에 엄청난 의지가 있는 것이라고 생각한다. 구속될 것 같다고 문자받은 사람은 의지하거나 믿을 만한 또는 조력자라고 생각하기에 보낸 것 같다. 그 사람을 중심으로 수사를 해야할 것 같다.,1.4천
afreshoony0707,조력자가 있다고 확신해도 무방함. 아무리 현금인출을 하고 도피했다고 해도 4개월은 버티기 힘들다고 봐야지 현실적으로.. 전국적으로 현상수배에다가 돈을 떨어져갈테고 무엇보다 제일 중요한건 옥죄어 올수록 심리적인 불안감이 커지고 “포기”에 이르는게 보통인데 조력자가 있다면 은신처가 있을테고 돈에 대해서도 상대적으로 자유로워지니 지금처럼 장시간 도피하는게 가능해지는거지..,700
user-250,제발 구속되어서 큰죄를 받기를 ..죽은 남편의 한이 좀 풀렸으면 좋겠네요,362
heek1099,가정환경 중요하다 하지만 피나는 노력으로 극복하고 의연하게 살아가는 사람이 더 많다,655
user-nb5de2rq9p,이건 인간이 아니다 인간의 탈을쓴 악마다 사람이면 사람이가 사람이 사람다워야 사람이지 이말이 정말 절실하네,198
user-kz5pe2cg9z,사형제도는 다시 부활해야 합니다. 국민의 세금은 꼭 필요한 곳에만 써야 됩니다.,615
scv7830,도주우려가 충분했는데도 구속수사를 안했네 ㅎㄷㄷ 경찰도 대단하다.,106
GSChoe-rq9ev,행복은 부끄럼없는 삶에서 나온다는 글이 떠오르네요~ 행복은 마음의 평온함에서~,384
user-by7fh7vm2g,사람을 죽이면 자신도 죽는다는 인식이 있어야 살인충동을 예방하고 모든 사람들이 보호받게된다,225
user-jy3tt7yv4g,진짜로 사람의 목숨을 돈으로보고 만난다니.. 세상 소름돋아 덕분에 결혼 포기했어 갈사람도없어서 안전하겠지만 주륵...ㅜ,169
user-bm1si3os7c,"댓글 보다가 드는 생각인데 , 가난과 가정환경 탓은 아니라고 생각합니다. 범죄를 저지르는건 그냥 그 범죄자의 윤리 의식과 정신머리가 이상한겁니다. 그 사람이 이상한 원인을 굳이 다른 환경 탓으로 돌리지 마세요. 힘들게 살아가시는 분들 도와주지는 못할 망정 ,괜히 가난과 엮어낸 편견을 만들지맙시다.",42
bagusclgns,"고인 윤상엽씨가(서강대 졸업, CJ그룹 계열사 직원) 생전에 모범생이고 대기업을 다녀서 부모님이 참 자랑스럽게 여겼을 자식이었을텐데 참 안타까운 사건이네요 하루빨리 범인들이 잡혀서 제대로 심판받았으면 하네요",133
user-ru3gf4uj4q,"거짓과 손을 잡고, 진실을 적으로 돌린다면 결국, 그 끝에는 진실에게 패배하는 결과만이 남게 될 뿐!!",244
user-ke3kd4op3w,검경은 언론에 도피조력자도 엄벌에 처할것과 두인간 모두 직접 검거하거나 검거에 도움을 줄시 큰 금액의 현상금 지급을 약속해라!! 그러면 조만간에 잡을수있다!!,522
dura1369,보험 효력 잃을까봐 돈을 빌려서 보험비 납부하고 사람 죽이는 게 ;; 소름돋는다,87
user-jq4gc3qv3e,이은해는 욕심많은 성격에 비해 가난하다보니 가진자들은 편하게 교육받고 좋은환경에서 커서 이룬게 있으니 뽑아먹어도 되는 것. 어찌보면 사람을 이용하면서 오히려 통쾌하면서 본인의 비참했던 과거에 대한 복수심도 있었을거다. 가난한 이들의 마인드는 사실 들여다보면 상상그이상이다. 가난하니 착할거란 생각은 큰 착각이다 가난한 사람은 왠만하면 피해라,127
user-qf1zn3ky5f,조력자도 같이 처벌해야됩니다,0
user-rz7mn4gx2c,"여러명의 남자 목숨 집안까지 풍비박산내고 연쇄살인마랑 다름없습니다 엄청난 악질인데 100년 무기징역,사형 해야합니다.",190
liquidfire6051,이와중에 현상금 안거는 경찰도 참 대단혀,103
joonhopark2018,근데 복어독으로 왜안죽냐고 이런문자가 나왔는데 현장구속은 왜안하신거죠 그똑똑하신 검사님들이,67
ok533,희대의 악질살인마~ 꼭 잡혀서 댓가를 치루길 !!,0
hss8090,죽은남편 대기업 다녔다면서 결혼생활을 어찌했기에 안타까운일이일어날수 있을까요 제일중요한것은 인성입니다,18
user-jm2fr6bi7z,저는 사형제도가 나쁘다고만 생각하지 않아요 우선 범죄자들이 공포감이 없다는것 그게 젤 큰문제고 사람을 죽였는데 본인들은 몇년 살다 나오면 그뿐이지라는 생각만 있다고 보는데 애초에 과실이 아니라 고의적이고 악날하고 잔인성이 다분하다는 조건하에 철저히 따져보고 사형제도를 집행하는 것 그게 법질서를 바로 세운다고 봅니다 저들이 과연 죽을때까지 반성 할까요 절때 안합니다 인간이 아니니까,23
user-ht4ls7hd6r,구속이 아니라 무기징역....평생 사회와 격리 되야 됨..... 사형시커야 되는데....,354
user-theruleof72,잡히면 판도라의 상자가 열릴것 같은데 여러명이 직 간접적으로 연결된 연쇄살인 가능성도 배제 할 수 없음,2.3천
