작성자,내용,추천수
user-lt3tu1no2w,"항소 했다는데, 가석방없는 무기징역 2심에도 판결나길 간절히 바랍니다. 이 인간들은 반성도 없는 인귄도 없는 악질입니다.",64
minsookpark1676,판사님. 감사드립니다. 이런범죄는 정말사형에처해야된다고 생각했는데. 그래도. 돌아신분에. 한을. 판사님이. 풀어주신것같네요. 돌아가신분이. 감사드릴거라생각되네요 앞으로 또 이런범죄는. 다시는. 일나지않았으면. 좋겠네요. 법을 좀 강하게 만들주었음하네요.,52
user-hj3sv1rz3p,"저 사악한 여자한테 걸려서 아까운 인생을 송두리째 잃어버린 남자 …고인의 명복을 빕니다,이은해 !! 너는 감옥에서 철저히 반성하지 않으면 안될것이야",70
user-fe3sc9zq3w,검사님 판사님 존경합니다 저 악마들은 선처가 1도 필요없고 남편이 지를만나 지옥을경험하고 죽음까지 가게한것에 비해 .본인이 지옥을 경험한다는 말자체가 이기적인것입니다. 항소하고 2심도 원심과 똑같길 바랍니다 대한민국 법이 무서워야 같은 범죄가 안일어납니다,59
user-sr9ls9eo3i,끝까지 아니라고하네.이들을 꼭 그에 맞는 벌을 받게 해주세요,45
user-pd3dg3wj6u,와. 법이살아있다는 걸 보여주는것같아서 속이훈련합니다 판사님검사님 감사합니다 정인이 건도 기대합니다.,53
lucylee3755,아직도 반성하지 않은 저것들은 진짜 사람이 아니다!!! 피해자 가족들한테 반드시 사죄해라!!!,9
danielt8443,사랑하지 않은데 결혼한것부터가 이상하네요 고인의 명복을 빕니다.,49
user-dc7ui9wz4l,삼척동자도 다 아는사실인데 끝까지아니라니 어떤 구형이나오나했는데 정말 감사합니다. 악랄한인간들 그렇고도 살아남길바라나! 이런쓰레기같은인간들은지구상에서없어져야합니다.,9
user-fx1pg8xq4o,최대한의 고문끝에 사형시키세요 고인의 상처를 생각하면 이것들은 당장이라도 죽이고싶지만 서서히 스스로 자살할때까지 고문좀 해주세요,19
Mia-re3oe,대한민국 사법은 피의자에 인권을 보호 하는 나라라고 하지않게 죽은 피해자를 보호 하는 사법부가 되게해야 합니다 돈때문에 생명을 뺏은 인간들을 보호 하지말고 불쌍하게 이용만당하다 죽임을당한 피해자 를 위한 사법부가 되어야한다,10
user-ov8fe9mn4e,와 진짜 갑만에 사이다 형량 나왔네,71
user-xg1rx2tf4j,끔찍한 거머리들. 한 사람의 인생을 ㅜㅜ,31
jzl7613,이 판사님은 좀 괜찮은 분이시네요,9
user-li3if7dt4k,무기징역 아라도 죽은사람의 억울함이 풀랄까 악마,35
user-ku5yd5oi6x,지혜로운 판사님에 형에 박수보냅니다,2
wonsk6560,판사님 사실의 요체를 정확하게 파악하시고 정의가 승리 한다는거 진실은 감추려 해도 감춰지지 않는 다는거 보여주셔서 국민으로서 감사드립니다,0
chunjoo02,"그래, 사형보다 디지는 그날까정, 구속된 인생이 더 어울리겠다.",48
user-ze1fm5nn4u,검사님 판사님 ..정의로운 판결 부탁드립니다 죄질 안좋은 반성없는 뻔뻔한 악마악녀 강력처벌 해주세요.. 본보기로 더더욱 강력처벌 보여 주셔야합니다 절대 선처 해주시면 안됩니다 부디 다시는 이런 사건들이 일어나지 않도록 부탁 드리겠습니다,6
user-sr4ye8sy3q,구형도 꼭 그대로 때려주세요. 구형이 중요합니다. 전국민이 이해 하질 못할 형을 내리지 않을것을 전 기대해 봅니다.,13
Lauraaa6666,악마들을 끝까지 발뺌 유족들은 힘내세요,3
user-hd8ku5ik3z,끝까지재대로된판결보여주시길바랍니다 지금봐도화나네요,1
challo9427,판사가 구형 낮추면.. 평생먹을 욕 한꺼번에 먹을거다.,22
user-fx1og1oj8j,와 속이 다후련하내요,4
susankim7419,너무너무 착한남편을... 악마에게 사용당하고 살았네 감옥에서 새 삶을 만나고 봉사하는 사람들 되길를...,10
user-jw7ls3nb6r,이런 ㄴㄴ을 살려두다니️️,7
user-dq8sx8fe5c,두분~~~축하드립니다!,15
gjo1542,"무기징역 구형이 아니라, 사형을 구형해서 사형 성고되면, 사형을 실행해야...",15
user-fd8vg8km4e,지옥에나 갈것임 .. 삼가고인에 명복을 빕니다 ㅜ,19
user-qm4mv9nz1s,일단 할머니급 나이까지 확정 좀더 더 기간이 연장되면 좋겠네요,1
ellenchoi5815,그냥 잠들게하는게 어떠한지 악마가 그영혼을잠식했다,5
psasa1004,제발 이은혜 몇년후 무기징역에서 나중에 형량 줄어주지 말길...,11
user-dd6pn9yp2u,국민의 혈세로 악귀들을 먹여주고 재워주고 입혀주는 유토피아,2
SGolds-qh1ch,이은해님이 무척이나 억울하리라 생각을 해야 자유민주주의 국가에서 살고 계신 분들이라고 생각합니다. 저 판사는 중공에서 모셔오신 분입니까?,6
user-fw4dw1ge6h,언어폭력도 이젠 살인급이 인정되어지네 너무 좋다. 범죄자들 피해자괴롭힌죄 법원에 반성문 제출한 죄 달게 받아져라 차곡차곡 쌓여서 무너질수없이 본인들 반성문수준처럼,6
yhji1756,저런 쓰레기들이 훌륭한 인재를 사망케 하는것은 우리 사회적으로도 엄청난 손해이기도 하다.,7
user-in7dk4ih6k,정말 나쁜인간들 죽을때까지 감방에 있거라,2
ApexGolem,이게 바로 정의지.,12
bongseoklee4006,왜 사형 사키지 않는지? 참 세태가 무섭다.,15
jung-yj1co,당연한 판결입니다 악마는 악마법으로 ~,4
user-zh2vy5ee7b,"아직 확판된거 아닙니다.1심이니까 2심에서는 형량이 줄겠군요. 직접살인이 아니다, 살인 방조다, 심신미약 등등으로 감형될듯 ㅡㅡ 나라밥 오래오래 먹게 해주세요. 제발....",6
pcahxj,저렇게 젊은 분이 평생을 감옥에서 썩어야한다니. 기쁘네요.,3
sandylee4528,참 ! 양심이 마비된 인간 정말 무섭다. 이런 인간들은 사형처리 해도 무리가 없다. 왜냐하면 양심이 죽은 인간은 이미 죽은 자나 다름없다. 시체 들이다.,2
user-lm3im8xe9z,진짜 정인이 사건도 두사람다 다시 재판 제대로해주세요 두죄인다 무기받아야하는거아닌가요 상상만해도 그어린것이 얼마나 아프고 배가고팟을까요 부디 그두것들 무기내려주세요,2
onfamily86,제발 항소심때 그대로가라 줄이지말고ㅜㅜ,13
user-mh3vl3tf7f,사회정의실천을 위해 무기. 사형 . 선고해 주세요 가석방도 없는,4
user-eg2yi3td9v,참 세상...너희같은것들과 같이숨쉬고살았다는게 참담하다...금수만도못한 공공의곰팡이들,16
user-rd2rv4bl6o,이들은 사회에 나오면 안됩니다. 사형제도가 없어진게 안타깝네요.,1
user-zk7dr3wm2c,인간탈을 쓰고난 악마들아 세상에 나오지마라,3
user-is4ow7fp7s,우리나라는 살인하고 사람이라 부르기 어려운 저것들을 인권이라는 프레임을 씌워주고 내 세금 깍아 먹으며 보호하는 나라~ 이게 맞나요? 앉아서 컴퓨터 타자나 두드리지 어디 한번 착하게 살아가는 사람들의인권은 재대로 살피는지~~~기가 차서 말이 안나오네요. 대한민국은 그러믄 안돼~~좀더 가면 이젠 진짜사람이 없는 그런 세상이 된다니까?,4
Vince-ob8vz,정말... 사형제도는 없는건가요?,7
user-jq8mf3jp5n,아니 이건 억울한것도없는건데 진짜 사형좀시켜라!!! 악마를 왜 살려놓냐? 살인자는 편하게 살게하고 죽은사람은 억울하게 죽어야하냐? 진짜 사형좀시켜라!! 진짜!!!,0
user-rw4kd1zf2r,저 얼굴두꺼운 살인자들 진짜 극혐이다 근데 1심이네 2심도 꼭 무기징역 되길바람,10
user-kj3om2jo9w,일단 항소했다는건 반성할 생각이 조금도 없고 그냥 억울하다는 뜻임,3
user-mw7xb2wt5u,악마 커풀 천벌 받았다 고인의 명복을 빕니다,1
