작성자,내용,추천수
user-li6je3cv6d,진짜 결혼 신중하게 해야한다..,44
wyeuibfhjg3649,판사아들이 돌싱이면 조금 희망이 보인다...,1
user-if6xp5kq7b,"사람은 고쳐 쓰지 않는다는 말...진리다. 이런 사악한 마녀, 마귀는 사형 선고와 빠른 집행이 필요하다.",32
user-md1ip4ps7u,이런 인간들에게는 천벌을 내려야합니다. 하늘이 두렵지도 않으냐. 손바닥으로 하늘 가려진다더냐.,7
user-kh7yn7uo5i,사람은 고쳐 쓰는거 아닌데 감옥에서 세금으로 먹여주고 재워줄 필요가 있을까? 그냥 사형제도 부활이 더 좋아 보인다,26
user-tg8oy8uu8k,아~이고 무기 속이 텅 뚤립니다. 악마들 울긴왜울어 .,25
hgil8180,진짜 가석방없는 무기징역 판결 부탁드립니다.사회악은 사회로 나오면 안됩니다.평생 격리~,8
user-dl5qb8tv1z,검사님 감사합니다 판사님 무기징역 선고 부탁드립니다 구형이라 끝난게 아니라 이제 시작일 수 있지만 ..난 이 사건 뉴스만 보면 남편 신발 한 켤레 사돌라는 그 카톡이 생각나서 가슴이 저림 짐승보다 못한것들,2
user-uj8wd3gk2x,사형제도 부활해라 그래야 나라 바로 선다,10
user-wv2ct8gz7f,사회의 악이다 너무 죄질이 나쁨,4
Mkamw18,어휴 속이다 시원하네,7
Kan-su1li,어떻게 지 신랑을 그러냐,13
user-mm7tx3yc8f,사형제도 필요하다 생각됩니다,3
user-wx8pe8zh6b,저런 철면피는 지구상에서 가장 더럽고 추악 악의 축이다. 후아~저 뻔뻔함은~,2
user-qc7dv1wk5p,이거 자백 안 하면 입증 못한다 ㅠㅠ 진짜 천벌을 받아야 한다,0
ilikemissy,잊지말자 피해자가 판사였다면 사형이다,2
leejae9141,사람 목숨을 돈으로 환산한점 엄중히 처벌해주세요,1
dorigo8590,진짜... 반성을 일도 모르는 양심도 없는 사람들... 밖에 못 나오게 해주세[요!~,0
sky2799,강제노역포함 무기징역으로 해야지,27
huhu7766,저렇게 돈벌면 뭐하냐 쓰질 못하는데 ㅉㅉ,5
user-vf4hy2ts4u,얼굴에다 뭘 저리 뒤집어 썼대 온 국민이 다아는 악마 얼굴이구만 속이 시원하다,3
user-iq3qr4yv4z,인간에 탈쓰고 속은 괴물이다 이시대에 인간에모습이 정말 어디에있는걸가 ? 세상이 무섭?,2
user-nm8td7gz1s,사회 나가면 뭐하게 ..평생 깜방에서 반성이나 하자 ㅜㅜ,0
user-yy2rv7jb7t,악어의눈물은 안 흘리네 반성없는모습 보여줘서 무기징역 인듯,4
user-xh6lz4rx7d,쟤네 분명 끝까지갈텐데 아직...항소도있고 상고도있네요 이제 진짜시작이에요 피해자들은 끝날때까지 피가마르고 굳겠네요...,1
user-yu8kd6sl8r,끝까지 악독하네 울긴 형받은게 억울해서 우는거아냐결론은 잘못을 모르는 악마들,1
DogBarkingAtMoon,사형 구형해서 빨간명찰 달아줘야지… 무기징역 구형하면 나중에 가석방 가능하잖아… 시민들이 정의봉으로 처리해주라는 검찰의 빅픽쳐야?,6
user-oi7xr7yr3s,진짜 사람이 한테 죽고나서 못났다 ...,0
myongkim76,원래범죄자는 딱잡아땐다 민주당에도 그런사람있지만 본전이니까 안했다고 울먹이다 여러가지 증거가있잖슴니까 보험 4시가전엔 일을처리해야 보험금타야하니까....악랄한 두것들을 검사님 무기징역 감형엄는 무기로라도 처벌해주세요,0
user-qo1zh5rd1b,둘은 깜빵에서 오손도손 신혼살림 차리고 평생 행복하게 살았답니다,2
