작성자,내용,추천수
jaekim8383,사형에 처해야지 왜 무기징역이야,33
user-bc4nw6nn9r,악랄한것들 사형구형이 답이다 절대 세상구경 못하도록 해야한다,6
user-op5tn3qv9o,지옥에나 떨어질 것들. 사형제도를 재계하여 엄벌로 다스려야 한다.,14
user-ne4ui3vm9s,한사람은 무참히 조정하고 계흭적 살인인데 무기징역이라니~ 사형시켜야지요,4
user-hm3qg5uu4s,살인자는 사형 해야한다,18
Max-gt5gt,마스크 벗기고 모자 벗겨!!제발 초상권 따위 짓밟아주새요,14
user-fi9yw3dh6h,오래도 끈다 모 잘난것들이라고 ᆢ 다떨어진 운동화 뿌러진안경 라면 생수 살돈도 없이 완전그지로 만들어놓고 비참하게 죽음으로 내몰았던 저 악마들 ㅠ,9
user-goodtoday,무기징역 구형이니까 그대로 확정됐으면 좋겠다.,0
user-df2qs9ty9z,끝까지 반성을 안하네~~진짜 악마다~!!!,1
sontaekyeong,반성이 없구나,4
user-kj2st6ml2r,구치소에서 쪽지 주고받게 하는 무능한 경찰,1
shpark7080,검찰이 무기징역 구형하면 뭐하노... 판사가 감형 시켜줄껀데 ㅋㅋㅋ.,4
zultub,뭐하러 세금낭비하냐 누가 정했냐,3
vellkwan1,이은혜가 남편한테 조현수가 내연남이에도 불구하고 남사친이라고 가스라이팅 했다고…. 남사친 여사친 개념을 다시 정의해야 할 타이밍인듯.,0
castle_base7149,구형이지 판사 판결 안나옴 저거 무기 안해줄 듯,4
user-su5gl8pw4p,에혀 10년 20년 아닌게 어디에요,1
user-su5gl8pw4p,사형이다,3
user-eo4sl7vx7w,조사받는동안 담배 술 놀러댕기기 한판 졸라땡겼을듯ㅋㅋㅋ,2
msh5603,이야 좋겠다 너넨 돈한푼 안들이고 독방에서 영양가 고려한 교도소밥 먹으면서 거긴 매일 운동할시간도 준다던데 몸건강히 평생 살겠네,1
user-ts9rm9te6q,이은해 그거못해서 병나시겠다,2
controlmind177,끽해야10년살겠지 재판부 지켜본다,0
Lilycole.Supermodel,검찰이 무기징역이지,0
qweqw2001,죽을때까지 지옥을 살겠군,0
lubwiz,사형이 맞는데...,1
sunglee8608,훈남훈녀끼리 저런짓을..,0
user-wq6vk6wy4o,왜~ 얼굴을 밝히지않나요-???,0
ooii6452,재산몰수+사형,0
SUNGJIN03,구형이라 ... 무기 절대 안나올듯,0
user-gt7vz7ot9u,무기 구형이믄 15-20년 받것네 항소하믄 10-15년 전관예우 변호사 사라,0
user-bh9ij2wh8o,무서워 ㅎㅎ,1
user-pw3vz1cf7m,국정원이진섭팀장(방위산업보호.방위산업기술&전략물자) 22년전(99년때) 미성년자 성폭행함.부인도 국정원 대북관련쪽. 알면서도 결혼함.(건대?강남구청 래미안?현대? 아파트) 산다고함. 아들 이찬영도 다알고있다고함! 역시 공무원 국정원 가족 짱입니다!! 그런데 어떻게 국정원이란 사람이..아들까지...,0
user-hk6gd4us3y,왜?마스크를 쓰고 나오는가야?,0
user-rh7xn4jp6l,이은해 목소리 너무 섹시하당 ㅋㅋㅋ,0
silvertree51,낮짝좀 까라,1
jeswood4172,석렬스럽노,4
