작성자,내용,추천수
letsgooska,가석방없는 무기징역 현명한 판결해주세요,34
user-rz5jb4et2x,검찰이 무기징역을 구형했다고하더라도 판사가 무기징역을 선고하는게 아닙니다. 대부분 30~40년 나옵니다 매우 안타깝지만 현실적으로 말씀드렸습니다,6
hellodream4284,사형을 시켜라 세금 아깝다,39
user-kq5gk8ow5k,이은해 를 위해 또 새집을 마련해주는군요 이번집에선 오래오래 행복해라~,17
user-zk1xo2mr5h,법원은 사형을 집행하라.,32
user-gb2qh2fz2b,나이스....판사 이번엔 일 제대로햇네,5
grooveheart,무기징역은 그냥 감빵에서 사는 거 잖아 혈세로 밥먹여가며...잘하면 나갈수도 있는 희망도 있고...사형이라도 때려라. 형집행은 없지만 적어도 사형 구형해라 진짜..희망없는 나날이라도 살게..,17
xpn2568,결심공판에서 모든 혐의 끝까지 부인??? 후....진짜 욕도 아깝다....,6
user-bf1ez9in1n,사형제도 부활 시켜라!!!!,31
user-pi1tt6of7r,반성을 안하고 뻔뻔하게 부인하니 더 엄벌로 다스려야함.,5
user-yn9bh2nw4g,우리나라는 사형이 없나? 반성도 안하는데 아직까지도 죄를 축소 할려고만 하는 살인마들.. 니들이 살아야 하는 이유 하나만 좀 말해봐라.,5
user-vp1nw9kb7g,감방들어가더라도 남들이 하기힘든일만 평생 시켜라. 먹는것도아깝고 고인이 힘들게 고생한거생각하면... 눈물이나온다,2
user-bu9rh7zs9x,최소 가석방 없는 무기징역 나와야 할텐데,13
horolulu,구라를 날리려면 뻔뻔하게! 얼굴 들이밀고! 하는거라고 안 배우셨읍니까? 도대체 뭔 혀놀림으로 구속 풀어서 얼굴을 꽁꽁 가림?,10
user-bi7rl7hp1z,"생명은 존엄하고 고귀한 것임을 잘알지만, 사형이라는 제도로 엄히 다스렸으면 좋겠다.",5
semirohon2584,받은 만큼 되돌려 줘라,17
user-wh3fg9jd4j,우와 사람을 죽여도 겨우 무기징역이구나... 재판부에서는 과연.... 집유 선고하지 않겠지?,19
chachakim448,뚫린입이라고 매일이 지옥은 무슨..지옥같은 세월로 죽음 문턱에 들어설때까지 살아야지..진짜 이여자로인해 고인이 되신분과 유족이 너무 안타깝다,2
user-qy9lt7ny2v,반성이 없는데 왜 살려주지 사형 때려라 법 바뀌면 사형 집행하게,3
gdgreen1345,아직도 범행을 부인하고있으니 무기말고 사형때려주세요,4
s0s427,드디어.... 저런놈들은 죽어도 싸요 ㅠ,10
user-yg7dn1bo8k,무기징역 구형이니 뻘짓 안하고 반성하면 징역형 정도나 받을텐데 그냥 계속 부정하다 괘씸죄로 무기징역 받길 바래봅니다,3
user-uj8wd3gk2x,사형제도 부활해라,15
user-qo1mv2hf4e,정말 무서운 세상이네요 ...,1
user-ni3ti6jh2q,광화문 사거리에 죽을 때까지 매달아 놓는 그런 형벌이 있었으면 좋겠다!!,3
bosuck689,사형을 시켜야지 먼 무기징역!,3
user-ub2wi7wq1r,인간이면 오빠가 저랑 돈 많이 쓰고 마음고생 했다고 솔직하게 말한후 보험료도 가족들에게 주려고 노력하려한게 맞지않나? 어디서 보험을 탈려고 그알에 제보하냐 ㅠ 양심이 있음 못하지! 무슨 양심으로 보통여자람 미안해서라도 제보못함 손이 떨리고 심장이 떨려서 ㅠ,0
iuzzang798,사형 구형해야지 무기징역이 뭐냐,4
sosin8922,적어도 환갑때까지는 나오지말길 근데 환갑때 나오면 뭐해 돈도 없고 일시켜줄 사람도없고 할 줄 아는것도 없잖아 그러니까 걍 오래 거기 있는것도 나쁘지는 않을듯 오히려 나오는게 쟤들한테는 더 지옥일걸?! 굳이 나와서 뭐할라고?! 길가다 안맞아 죽으면 다행,2
inchullee9515,내 세금이 아깝다...,2
m..7531,내가 낸 세금으로 저런것들 밥 먹이니..ㅠㅠ 하루에 한끼만 먹이고 고통속에 살아가길 빈다.,1
user-nj1kw6qx9k,근데 왜 저런인간을 변호를 할까 진심궁금하다,0
user-qw2em2mq6h,은해야 현수야 나와도 니가 이 바닥에서 살수 있을거같냐?,4
dndhk20,아오 저런것들 멕이라고 내는 세금이 아닌데 쩝,5
user-vl3qb7ks1x,거짓과 연극으로 기만하지 마라 유족들은 눈물과 니네 선고결과를 기다리느라 하루하루가 지옥이다,5
timothytaeohkim,즉결처형!,6
user-ew9vj1ii3b,저런ㄴ을 왜 좋아해서 죽은ㅅㄲ도 참 불쌍타,1
plzdbr5826,후속보도 기대합니다.,1
user-gj6fy3xh3m,살려는 줄께!!! 교도소에 찡 박혀 살길~~~,1
user-mr2cx3bh3i,싹수 없이 악랄하게 굴면 다 지들 뜻대로 되는줄 알고 세상을 졸로 본거지,1
user-zw4of8pq7f,북한에태어났음바로공개처형인데.... 북한에태어나지않은게아쉽다,3
user-hh4wv7vc1c,하루하루가 지옥이라는게 피해자가 아니라 본인이 지옥같다는 거임?,0
user-nn9jp4zg7s,검찰이 구형해봤자 판사가 조지면 답없지뭐...,0
wngod237,현재 모습 얼굴 공개햇으면 범죄자들을 얼굴 공개해라 머가두려워서 공개를안하는건지..???,0
user-mz4gk2uf4o,최소징역20선고되길,3
user-si4mv1nd2h,진짜 궁금한게 증거가 있나요?,1
Lr-wc2mk,직접 안죽였지... 들어가게 유도하고 방치해서 ... 간접적살인,2
ymw136,아 구형이네 무기수로 확정선고 받아야 하는데,0
user-xp9qo2mh2q,저게 되겠냐 ㅋㅋ,3
user-eg8li6hp1u,오우야~~~~~들어갈땐 아가씨랑청년이 출소할땐 할매할배되서나오겠네 좋은징조야,2
user-ex1ye8ld4q,사형이나 무기나 어차피 세금축내고 살려둘뿐,0
user-ld2mv2hr6r,사형 판결하고... 윤씨는 결제해라!!!,1
user-nl6qs1yj5r,검찰,0
liet1610,전자발찌 좀 절대 안끊어지고 마스터 키인식못하면 안풀리는 합금 철같은걸로 만들어라 다 끊고 도망치잖아...,1
user-zl5vn1rb2e,15년 이상 절대ㅠ안나온다 그게 자랑스러운 우리니라 대한민국 법이다 ㅋ,0
user-um5we3yr8x,끝까지 거짓말을 하네 이야~~~대단하다,0
user-yn9gq1ux5j,무기징역이 더 ㅈ같을거같은데 사형보다,0
user-jz4ni8jd5i,10월26일판결 기다립니다,0
user-sl1wm9rg3z,구형이다! 구형!!!! ㅈㄹ!,1
secret2485,굿뜨,0
icewolf51084,퇴비가 되는걸 추천,2
user-nw7wp4rc5t,굿,3
user-bf7cv2ip6g,본보기로 걸리먼 끝장이옄,2
user-nd6bw8xz2v,변호사 ㅋㅋ,0
user-cd1zn4yu5c,영상은 왜 지웠어 ?......발뺌 할려고..,0
user-vm7fn8ki9h,검찰 구형,0
user-pw1wo5xb6w,강제노동 시키면 안되나,0
user-px1ch5di4s,하루하루가 지옥같은소리 하고있네 네가 죽인 그사람은 너보다 더긴시간 하루하루가 지옥이었을 것이다 사형이 답인데 무기징역이라니,0
gusqlsoh,개이득ㅋㅋㅋㅋㅋㅋㅋ,2
user-bz1pp7eb9t,무기징역인데.무슨 전자팔지고 .모범수로 내보네주게 ㅋ,0
user-ve9hq4fx6g,내주위에도 가스라이팅 연애 한커풀있음,0
I.have.no_idea,ㅋㅋㅋㅋ,1
user-kp5ck4pw9q,난 왜 이은해 측 이야기가 더 설득력 있을까??? 검찰이 증거로 가져온 건 모두 다 정황증거일 뿐 직접 증거가 되는 거는 없지 않나?? 가스라이팅 역시 검찰 주장일 뿐 증거가 되기에는 턱 없이 부족한데.. 중립적인 입장으로 사건을 바라보면 이래서 이럴 것이다 하는 건 추측에 불과할 뿐 증거로는 많이 부족해 보이네,1
user-wr6wh4us2e,폴어줘라~ 살다보면 잘못을 저지를 때도 있는거다.,0
TaiwanNo.1-,1,1
