작성자,내용,추천수
detect5020,선고가 아니라 구형입니다. 구형은 검사가 재판부에 이렇게 선고 해주세요 라고 요청하는 겁니다. 선고 결과가 나와야 확실해지는 겁니다.,14
user-gc7ky2wg3i,난 이 사건 재판부 선고 어떻게 할지 너무 불안함. 정황증거만 있지 직접적인 증거가 없어서 재판부 도라이 들이 또 무죄 때릴지도 모르지.,6
mjkimharryamma,고작 무기징역 구형하면 쓰나? 사형 구형해야 무기징역 가는거 아녀? 접대 억지끼워맞춤백만원미만 검사가 무죄받는 현실도 열받는데 사람 죽이고 겨우 몇년 살다나오는게 말이됨? 진정 무기징역을 때릴 맘 있었다면 사형구형했어야지 뭐하는짓임,3
junchoi294,사형 좀 부활하자..인간은 고쳐 쓰는거 아니다..,1
cry_st.4604,죽을때까지 세금으로 밥주는건 좀 그런데 세금 아까우니까 그냥 가둬놓고 밥안주면 굶어죽겠지 그렇게하자,19
user-xg1dt1tn2x,"세금으로 콩밥 주는것도 아깝지만, 무기징역이 옳다! 다신 세상밖으로 나오지 말고 감옥 안에서 섞어라",1
parkm1868,죄명의 각항목 마다 형을 때려라 100년은 나오지 싶다!!!,5
user-wx8pe8zh6b,저 울먹이는것에 속지 말아야 합니다. 사기꾼들은 가짜울음 언제나 가능합니다.,1
feelmy3179,왜 100만원 안넘은 술접대받은 검사들은 무죄인가요?,8
MrBYUN-zx6cs,"룸싸롱 접대 계산 조작으로 강제로 100만원 미만으로 낮추고, 무죄 선고 받았는데 이건 좀 아니잖아? 접대받은 검사들 한 3년씩은 빵에 가야하는거 아냐?",10
commenter6951,유능한 변호새가 알려주는대로 반성문을 잘 써서 판새를 감동시키면 무기징역은 면할 수 있지. 반성하는척 하면서 눈물을 펑펑 흘려. 그러면 절반 살고 나와서 또 누구하나 잡을 수 있다. 나라 법이 그래.,5
user-kj2xt8jh4f,어자피 재네들은 징역 살아도 그안에서도 꼽살고 병신취급 당할거야.사는게 지옥이겠지. 명을 달리한 고인은 천국에서 편히 쉬셔요,0
jinyilin89,무기징역 구형이면 한 20년에서 30년형 받으려나,9
user-yy8ko4ey6h,제발...,0
user-cg2iy5bl9b,밥은 하루한번 안죽을만큼만 주고... 매일 물에 빠지는 훈련도 좀시키고..,1
user-po4fn8yo2x,가스라이딩을 법원이 인정하게 된다면 치매나 금치산자 남편이라 해야 하는데 부족한 헌법에 대한 이해를 가진 검찰이 전체적으로 헌법13조는 내다 버리나??,1
user-ln4fn6xf7n,? 무기징역? 사형이 아니라?,2
user-vl3qb7ks1x,아직도 거짓말과 연극으로 기만하더라 괘씸해,7
ryans658,"무기징혁 은 너무했다. 사람을 직접 살인한것도 아닌데, 어떻게 보면 간통죄(?) 플러스 사기죄, 횡령죄 에 더 가까운거니까 그냥 사형으로 가는게 맞는듯",2
user-bz3oq8mq6q,검찰 오랜만에 잘했네,1
darkdeadwalker7857,"이런면에서 왜 미국 법이 좋은 이유가 한국 같은 경우 집행유예, 유기징역, 무기징역, 사형, 4가지 잖여~ 근데 법정 최고 구형인 사형만 빼면 무기징역인데 무기징역 같은 경우 죄수가 빵안에서 깊이 반성하고 눈물 콧물 찍하면서 판사한테 매일 신파극 편지를 보낸다고~ 그럼 판사가 또 사르륵~ 녹아서 유기징역으로 봐꿔준다고~ 근데 대한민국에서는 사실상 유기징역도 많아봐야 20~30년이라고, 근데 죄수가 또 빵안에서 졸라 착하게 모범수 되고 또 판사한테 신파극 편지를 보낸다고~ 빨리 사회에 나가 적응하고 애도 낳고 싶다고 눈물 콧! 콧물 찍! 하면 판사가 또 사르륵~ 녹는다고, 그렇게 감형해준다고~ 그럼 10년~20년안에 나온다고~ 당연히~ 쥐도 새도 모르게 이뤄진다는거지, 괜히 언론에 보도되면 국민들이 분노할테니까, 그러니~ 예를 들어 오늘 선고 판결 나고, 10~20년 후에 죄수가 출소한다고, 그럼 세월도 많히 지났고 세대교체되서 지금의 우리는 10년~20년 후라고 거의 다 잊혀졌고, 그때의 세대 사람들은 관심도 없겠지~ 조~옥두순도 봐봐~ 12년 전에는 솔직히 아는 사람도 없었고 언론에도 보도가 잘 안됬다고 근데 두순이가 출소하기 몇달 전 부터 갑자기 이슈화 되서 전국민들이 난리가 났다고, 죽이러 가겠다 떠들어 대는 사람들이 대부분 40~50대들이라고 근데 젊은 20~30대 애들은 관심도 없다고, 현장에 가 있는 젊은 애들이라곤 유튜버, BJ들이겠지, 진짜로 정의감에 불타올라 가겠냐고, 시청률, 조회수 빨려고 가는거지~ 근데 지금 봐봐 아무도 더이상 두순이에 대해 언급을 안하잖아~ 벌써 잊혀졌다고~ 그리고 하나 더 말하자면 조~옥두순 사건이 누군가 이슈화 시켜서 알려진거지, 조~옥두순과 같은 사례, 또는 더 극악무도 잔인한 놈들도 있을거라고~ 단지 이슈화가 안된거라~ 자~ 반대로 미국 법을 논하자면 일단 법조인이 아니라서 잘은 모르겠지만 미국 같은 경우 1급 살인, 2급 살인, 3급 살인이 있다고, 그럼 이은해 같은 경우 의도적, 계획적 살인이니 1급 살인범이라고 왠만해서는 사형이라~ 근데 미국 주마다 판결도 다를고 판사 마다 마인드가 다를면 판결도 달라지겠지 하지만 미국 판사들의 공통점은 왠만해서는 무기징역 판결을 안해~ 왜? 이유는 앞서 말한 한국의 경우지~ 무기징역인데 죄수가 울고 불고 반성한다고 하면 유기징역이 된다고, 그러니 판사들은 자기 감정 컨트롤이 잘 안되 그렇게 될까봐 아싸리 무기징역 보다는 유기징역을 선고 한다고 근데 한국은 귀차니즘 때문에 사건을 통합해서 본다고 미국은 졸라게 분할해서 본다고, 일단 은해쒸~ 같은 경우면 의도적, 계획적, 그리고 한~두번도 아니고 여러번의 시도! 또한 피해자가 협박을 당하고 있다고 판단! 또는 인간으로써 비인륜적인 가스라이팅! 그리고 피해자가 물속에서 고통스럽게 익사 당하는 과정! 구하지 않고 조롱하면서 방조! 피해자가 느꼈을 공포와 고통! 판사도 졸라게 빡친다고~ 그러니 이런 죄목들을 모두 쪼개서 하나하나 판결한다고~ 뭐 예를 들어 의도적, 계획적 20년 구형 + 여러번의 시도 10년 + 협박 및 가스라이팅 30년 + 구하지 않고 방조 10년 + 피해자가 받았을 공포 30년 + 익사 당하는 고통스러운 과정 30년 그럼 기본이 130년! 여기서 끝이면 미국 판사가 아니지~ 판사가 보기에도 졸라게 열 받아~ 너무나 반인륜적이라! 판사 개인 역량으로 70년 추가해서 200년 채우자! 그럼~ 아무리 죄수가 눈물 콧! 콧물 찍! 반성한다고 감성팔이 편지 보낸다 해도 판사가 아무리 감정이 흔들려서 그래! 감형해주자! 인심 썼다! 50년 깍아줄게! 해도 150년은 채워야 돼~ 그래! 조속히 사회에 적응해야지~ 그리고 애도 낳아야지! 50년 더 깍아줄게! 그래서 판사의 후한 인심 덕분에 100년 깎아주고 100년은 채우고 나와야 돼~",0
user-nl9zt1vt8c,솔직히 15년 내외로 나올 같은데 국민 정서 감안한다고 개소리 하고 구형이라 판결시 감형될거 같음,0
Bazokun,한 30년 받을라나...,1
user-nj5zs7pm1f,사형ㅡㅡㅡ,2
Lee_Kwang-Suck_1990,나는 결혼하면 내 배우자를 죽이겠다!,0
user-ll6sy2zh7e,또 밑밥까는거 같은데,0
user-qy9lt7ny2v,사형인데,2
eky4331,김건희 주가조작은 언제 할래?,2
user-rm4xz7rj5e,경찰이 했으면 단순 사고사다.mbc 댓글러들아 ㅋㅋ,0
user-wr6wh4us2e,10년쯤이면 비슷해 무기징역은 너무 심하다.,0
