작성자,내용,추천수
user-qm9oh6zu9k,아직 우리에겐 판새들의 넓은아량이 남아있다 ..,65
user-hd6cn7tf8s,한국 판사들은 엽기적이라서 저 것들을 풀어줄수도 있다,43
towins2,"무기징역은 가석방 제도가 있기 때문에, 가석방 없는 무기징역이 되어야 합니다.",190
hya521,무기 나쁘지않네 반사님 아시죠 ?,27
doublejs9174,나라에 인간도 넘치는데 제발 이런 악질들은 사형때리고 집행 합시다.,99
user-ed9pm9qx9x,왠지 교도소 생활 씩씩하게 잘할것 같다,17
user-pv6ib6bf7x,사형을 부활 시켜라 세금이 아깝다,67
user-sr4ek6mo7q,사형이지왜무기징역이야 저런것들은없애버려야되는거아냐,57
user-og7xz9tf6w,저런 흉악한 범죄자들을 먹이고 재우고 한다는게 아쉽다. 차라리 사형 집행을 하는게 여러모로 좋은게 아닌가? 그러니 사형 집행 법안을 통과 시켜야 한다.,17
silver_Sunshine,이은해 돈쓰는거좋아하고 노는거좋아하는데 감방에서 무기징역.. 니먹이구재울 세금이 아깝지만 젊은청춘 감빵에서 죗값받으며 평생 죄인으로 살아라,5
fcpark954,악마들을 지옥으로 보내지 않으려는 엿같은 대한민국 법...석방을 시켜라..잡아다가 사지를 잘라버리게,6
user-yj4bq2vn7e,저렇게 구형해도 법은 결코 평등하지도 않고 형평성도 않거니와 판사들의 권력제도이기 때문에 어떻게 판결이 날지 모릅니다. 판사들의 역량과 성격에따라 법이 바뀌는게 대한민국 썩은 정치판이자 법치국가니까요.,5
user-ft1gv6rv5p,형량이 너무 싸네요 억울하게 죽어간 고인은 다시는 돌아올수 없는데 형평성에 어늣납니다 똑같이 죽어야죠 다시한번 삼가 고인의 명복을 빕니다,1
user-dt2rr3xd3b,이러고도 사형을 집행안한다는 것이 말이 되나 ...이 정도는 구형이 사형도 안된다... 사형이 선고될려면 어떤 죄를 지어야 하나???,14
mac1318,사형제도 부활시켜 복어독으로 사형시켜라. 주사비용도 아깝다!!!!,4
user-yp2nn3ux1m,선고가 아니라 구형이구나...,11
Solicitor_KR,이럴 땐 진짜 사형제도 좀 부활했으면 좋겠다 사형집행관들이나 범죄 입증을 해야하는 검사나 구형을 해야 하는 판사나 실로 여러 사람 피곤하긴 하겠지만서도…,1
user-rm3on8sf6g,국민들이 똑똑히 지켜보고 있다 사형이 답이다,2
user-kp2ku7jc9n,우리가내는세금이 저두놈들 감빵에쓰인다는게 너무짜증난다,4
user-dd4ue7pn8s,사형답이지 무기징역도 아깝다,3
user-bp6nl5lw8h,무기징역이 제일 좋은겁니다. 사형이 없는 우리나라에서 사형수는 미결수라 노동을 안하는데 무기징역은 죽을때까지 매일 노동해야되서 저 년놈들한테는 그나마 최고의 형벌입니다.,18
kks6955,"검사가 ,무기징멱 구형해도 판사가 적게 선고할수도 있음ᆞ",15
user-kl8wx3cc2k,사형시켜랏 ~!!!!!!!!!!!!,20
user-iy1ce9uo9m,중국처럼 사형제도 부활시킴 좋겠다. 저런것들은 세금으로 밥먹는것도 아깝다!,1
kimkyungsoo1656,물고문부터 시키고 감옥으로 보내야 함 피해자의 고통을 생각한다면,1
user-hs2le3ny6e,눈물이난다,4
user-hy4ys9ic8w,저ㅅㄲ들에게 진짜 무기쓰면 안되나… ㅡㅡ,3
user-ep9ui8nu3s,저런거 뭐더러 살려두는겨 갈아서 퇴비로 쓰자,18
user-queen-33-doW2-hoW,저둘이 세상에 드러나기까지 저들의 가혹함에 상처입고 외면 받고 모멸감에 치를 떤 피해자들이 더 있지 않을까 어느날 갑자기 피해자를 생산 했다고 보기에는 범죄에 도구로 사용된 인명경시마음이 너무도 짙기 때문이다,0
firepower5134,사형이ㅜ아닌건 아쉽지만 살아있는 동안 자신의 죄를 인식하게 되길,0
user-hb6cw4lx3b,선고 확정까지 봐야지... 검찰이 구형해봤자 가해자지킴이 판사들이 뭔 짓을 할 지 모른다.,1
user-yu8kd6sl8r,구형이 무기면 실형은 얼마나 나올까?실형받고 살다가 감형받고 몇년살고 나오는거 아닌지 사형을 받아야 되는거 아닌가?죄질이 너무 악독하것만 너무약하게 형을 내렸네,1
user-tu6ix6jm7k,악질들 사형이 맞을거 같네요 인간이 무섭다,0
user-jm2ji8ro1v,남의 인생. 망치고. 간접살이 해놓고. 사형시키야지 왜. 무기징역이라니. 남의 돈까지. 빼았고. 살인까지 해놓고. 사형시키라,0
changmin6577,"사형이 판결되길 기대했는데.... 직접 살인은 아니니깐, 무기징역을 구형한듯. 검찰에서 현명하게 판단한듯 하네요. 대신 가석방 없는 무기징역이길.....",1
twinklemashiro5925,"무기징역이 엄벌인가? 언제 풀려날지도 모르는일인데,종신형도 아니고 무기징역? 법이 이리 물러 터졌으니 강력범죄를 저질러도 두려움이 없는거지.여러분 누구 죽이고 싶은 사람 있으면 그냥 죽여버리세요.법이 알아서 선처를 해줄것이오~ ~~젠장!!!!!!!!",0
bigbear8216,정의실현 잘 하셨습니다.,0
user-wajaqhqu,여자 잔인하게 살인한 남자는 무기징역 안주면서 여자가 남자 죽였다고 무기징역 주냐? 판사 미팃나,4
Eum-Eng,"세금이 아까워서 사형이 좋을 것 같기는 한데 이전에 살인자들, 성폭행범들도 무기징역이나 살인 다시 내려주기를",0
user-ft2cv3ni3o,먼일로 대한민국에서 정의가 실현된거지?,0
diefa5367,판결이 아니라 구형이네요~,0
user-ye4hj9pj8j,사형이여야하는데~ 죽은남편 부모는 얼마나 억울할까,0
user-ur3jo1hf2x,구형(求刑)이지 선고가 아니다.,0
user-tc7ri7tk7b,판결이 아니라 구형이네 판결은 어찌 날라나,0
user-yh7wl3ty4t,이나라는 왜 사형을안시키나? 밥먹여주고 재워주고 이해불가다,1
L00k8Me,사형해야지 내 세금 왜 저런거한테 써야돼?,1
theghst5147,판사 가족이 당했으면 즉결처형,0
user-lu2to4fe2v,과연 재판부는 어떻게 선고 할까요. 혹시 이런적 있나요. 검찰이 무기징역 구형했는데 재판부에서는 더 높게 사형을 선고하거나. 이런사례는 없나요?,0
user-df2qs9ty9z,감형은 진심으로 반성할때 가능하다.~지금처럼 끝까지 우기면 무기징역이지~!!!,0
freedomeye369,사이코패스 검사결과 굼굼하네... 판결에 대해관심없어.. 어짜피 뻔한팔결이니까.. 그냥무줘로 풀어줘도 놀랄일은아니지 .. 대한민국판사 그럴만도하니까..,0
user-nz7qb7qo7m,판사는 어떤 구형할까 판사앞에 오면 망하던데 깎아주느라 구슬땀 흘림,2
