작성자,내용,추천수
pupupu2605,"인생을 어떻케 살아왔으면, 저런 생각을 가지게 되는거지??",100
user-qu7be8xp6i,보험사는 오히려 저런애들 좋아하겠다 안줘도 되는 명분이 확실해서,121
xSolz,"저 상황에서 8억 받을 생각을 한다는거에 화나기보단, 나가서 8억을 쓸 수 있을 거라는 생각이 있으니까 저렇게 요구하는거 같다는 점이 더 화난다. 법을 ㅈ으로 보는거지",86
user-tw8dt8sc4u,영치금을 위한 사투인가.. 대단하다,33
jjjun2906,아직도 저 악마를 대신해 보험금 재판을 진행하고 있는 변호사들은 뭐냐?,107
youngholee5481,산산히 부서진 이름이여..허공속에 헤어진 이름이여..불러도 주인없는 이름이여..부모님이 지어주신 그 이름을 다시한번 되새겨보시길 바래요.이 정도면 당신에게는 무척 은혜로운 세상이랍니다..,3
leejaemyungusokkambbang,대한민국 남성들이 살아가기에 더욱 안전한 사회가 되었으면 좋겠습니다 더 이상 이땅의 남성들이 희생되어선 안됩니다..고유정 이은해 같은 범죄자들 강력 처벌 해야 합니다,0
Joel-qz2xi,사형선고 했어야 저런 말이 안나오지 ㅉㅉ,80
user-jy2yv8bx1d,퐁퐁남들이 이은해같은 애 만나 보험금 주고 세상뜸. 복어 독을 음료안에 타서 퐁퐁남 즉사 후 보험금타냄...,25
minkim6814,"서로 의견차이가 있다면 충분히 소통하고 대화를 통해 오해가 있다면 풀고, 협의점이 있다면 함께 찾아가는것이 옳다고 생각합니다. 무조건 한쪽을 비난하고, 마녀사냥하듯 일방의 의견을 보도하는건 잘못된게 아닐지요. 돈에 집착한다고 돌팔매질하기이전에 이런 자본주의사회를 만든 이 사회, 그리고 물질 중심의 자본주의 사회를 당연시하면 살아가고 있는 우리모두가 책임이 있다고 생각합니다.",2
ztzeros,저런 사람에게도 관대했던 우리 사회. 관용은 답이 될 수 없다. 신상필벌이다.,11
user-wf1xi9qm5q,이런경우 보험법 이딴거 다 집어치우고 보험금 전부 유가족에게 지급한다 라는 법이 있거나 보험사에서 그렇게 해주면 정말 멋질꺼 같다 쟤들은 인간도 아니다!!!!!!!,12
user-lx4io7ug1q,"형사재판 결과가 민사소송 본안판단에 영향을 미칠 수 있는데 , 죽었으니 달라니 ,,,,, ㅠ",17
user-vk6mv3mv5u,고작 돈 때문에 사람을 갖고 놀다가 갈취 할 돈이 없으니깐 사람을 죽여 보험금 타 낼려고 하다니 진짜 대단하다.,2
user-gg2yx1tr2c,죽으면 아사지옥가서 배고픔의 형벌을 받기를,8
user-ub5fd9uu8o,8억대 죽빵 날리고 싶네... 이제는 미쳐가는구나...,34
user-sk3or4tx1m,보험금? 돈이 그리 필요하더냐? 그 돈으로 뭐하려고 그러냐? 받을 자격없다,13
hedis777,그 돈으로 변호사비와 나오면 그돈으로 호화스럽게 살고 싶은 꿈을 꾸네~~ 미친~,9
ehs3863,자기꾀에 자기가 넘어간거지...이 인간은 절대 교화가 안될거다...,3
user-ig4gz1hr4z,어떻게 저런 악마가 인간의 배속에서 낳을까!,0
mr.cremoso,니들이 떳떳하면 그 손으로 얼굴 가리지 말아야지 않겠니?,14
add133cho5,어릴때 가난하게 살더니 돈에 환장했구나....돈에 환장해서 사람 죽이는 것은 아무것도 아니지. 돈만 벌 수 있다면.,18
user-it4fv8pf8n,와..진짜 악마의끝이다 너무무섭다 진짜,15
user-lu6ue3xy6m,이미 예전부터 소송중이었고 옥중에서도 이어진거겠지 옥중에서도 이렇게 내보내면 오해의 요지가 있다. 그리고 사실상 소송중이지만 지네 판결을 저렇게 받았으면 소송을 빨리 접었어야지. 뭐한다고 붙잡고 있나... 이미 판결이 난거나 마찬가지지,4
user-ct5kz6jg3s,참.. 법도 할일없네,1
asdx88,보험사가 보험금을 지급해야 하는 것은 맞지만 남편 부모님에게 드려야지 죽게 한 사람에게 주면 안되지.,0
parkjg1336,자기는 못쓰더라도 엄마아빠랑 딸이라도 쓰게할려고 소송건거같은데..에라이 악마야~,0
user-bn2mc7gi9o,돈이 필요없는곳에서 무슨 돈을원해 진짜 뇌뜯어봐야할듯,7
kkogaeng,주긴줘야지 너말고 남편 가족들한테,16
user-jq6ph1lz8i,보험금이라니..죽인것도 억울한데 보험금은 절대주면 안됨니다~몇년이나 살았다고 뻔뻔..,0
user-it1tb4mg1o,믜기징역인데 굳이 남편 사망보험금 8억을 받겠다고 악을 써네.보험사?만만하게 봤다간~절대 안준다.무기징역인데 8억 받아서 뭐하냐?애인 조현수는 30년이란다.,5
user-ir8ie4yg3y,"너는 돈 8억이 아니라, 8억년 이상 벌 받아도 니 죄는 용서 못해!그런x이 어디서 자꾸 돈 노래 부르고 난리야?소름 그 자체다.",2
user-yj8fi8qr8u,사형시켜야지 무기징역이 뭐냐?,5
SongSydney,보험금 받아서 지 딸 주려고 하는거 아닐까요? 그러면 할머니가 돼어 나와서 딸이 관리하고 있던 돈을 빼앗아 쓰려고 하는거 같습니다. 따라서 그 씨 다른 딸에 대한 입양도 무효화 해야 돼겠습니다.,0
user-rt1kd4fk1m,저게 자연사가 아니기때문에 보험금을 노린것이기 때문에 지급불가가 아닌가??,4
his9645,보험회사에서 퍽이나 주겠다 ㅁㅊ하네 진짜,8
user-to1bq6yl9g,"보험사에서 돈이 나온다면 피해자 부모님한테 가야지,,,,,",0
user-om9ks4mh3v,은해가 은혜를 원수로 갚는건 국민들은 아셔야 한다,10
kth4333,이래서 흉악범은 무기징역도 가석방 없는 무기징역을 때려야 한다.,1
joinsky2883,사형 시켜라!!,1
user-js6iv1hn9v,8억소송할생각 정도면 남편에게 전혀 미안한 마음이 없다는 뜻이네,5
