작성자,내용,추천수
user-ob6vk3ul6p,너무나 당연한 결과입니다. 보험금은 절대로 악마에게 주면 안된다.,14
user-id3lu8gf8q,살아서 밖에 빛을 못볼것이다 꼭 그래야 먼저가신분의 대한 최소한의 도리이지.,15
user-en9qc9xi3z,ㅁㅊ 살인범이 무슨.. 흉악범과 저런 범죄자에게 인권은 필요없다,28
user-kw5bt6dk1b,그동안 납부한 보험료 돌려주고 보험금은 않주는게 당연히 맞다고 봅니다 근데 보험료도 다받고 보험금도 않주느건 법률상 문제가 ...,7
user-cx8tn5mf4r,악녀가 따로없군. 대단한그녀,8
sandychoe5077,이은혜 는 답이없네요!!!! 이런자들 보험금 지급 중단해야합니다!!!,8
user-vx4vg3uz6w,사람 아니다 진짜....,19
user-fy1fr5ft8y,무기징역 확정 받으면 20년뒤면 가석방 심사가 가능하니까 그때를 위한 노린 거지...,16
ai-xs2bw,저런 미친X이니 그런짓을 할수있었겠지... 진짜 저거 감빵에 안갔으면 누굴 더 죽였을지 모른다,15
user-zq8fr4ll2s,옥중에서도 돈달라고? 미쳣네? 진짜? 어이가없다... 감옥에서 나오지마 그냥 저돈 만약준다면 진짜 이런나라에서 살기싫어진다.. 진짜로,1
choiabraham956,범죄자 인권 1위 대한민국! 가슴이 웅장해진다!,11
ethankim7702,"중요한건...가석방없는 실형을 살아야함. 성폭행, 성관련 범죄, 폐륜등은 무조건 가석방을 없애야함",3
user-ov7cn1cp9uu,사이코패스...사회격리 꼭 필요하다,6
minkim6814,"서로 의견차이가 있다면 충분히 소통하고 대화를 통해 오해가 있다면 풀고, 협의점이 있다면 함께 찾아가는것이 옳다고 생각합니다. 무조건 한쪽을 비난하고, 마녀사냥하듯 일방의 의견을 보도하는건 잘못된게 아닐지요. 또한 죄는 죄이고 계약에 의한 보험급 지급은 별개인것같은데요. 돈에 집착한다고 돌팔매질하기이전에 이런 자본주의사회를 만든 이 사회, 그리고 물질 중심의 자본주의 사회를 당연시하면 살아가고 있는 우리모두가 책임이 있다고 생각합니다.",1
suksmith6744,양심도없고 너무뻔뻔하네,9
user-zi9qv3wx9p,사형시켜야 합니다!!,1
user-ft4so6vd2h,나오지도 못할건디 돈은 받아서 뭐하게?,17
user-fi8cc1cu8z,반성문 제출하면 감형해주듯 반성없는 것들은 형벌을 더 높이 사형을 선고 해야 하는거 아닌가?,0
ofspring2003,걍 저런악마는 뭘해도 자기잘못모름. ㅡ.ㅡ,3
user-lo4ey6ho4x,정신병이네.... 인간이길포기...,4
user-wt1ug4nx2s,혼인 무효 소송도 못하게 살해해놓고 혼인 관계니 지가 아내라고 보험금을 달라? 유족들은 머하냐?,0
user-is8co9it4j,놀라운건.. 돈 받아서 출소 후 쓸 생각이라는게 느껴진다,2
user-dw2gc1gd7i,2심서도 무기 징역 뭘 잘못했는지 알겠나? ㅆ 목숨값 받아서 감방에서 편히 살려고 ?? 인간의 욕심은 끝이 없다ㅡ 이런 ㄴ은 사형 이 답 이다 !!,2
user-he4zb3jj2i,곤장 8억대를 처맞아야겠다,2
user-ch9wk5rq7n,보험금 땜에 살해한거 전부 아는데 보험회사가 바보 이냐??,2
gml1371,그놈의 8억에 목숨거네~수감전에도 거절당했는데 지금은 오죽할까...그러고 보면 참 멍청한 여자야~,0
user-xr3hj1yx8i,방송에서 본 어릴쩍 모습은 참으로 귀엽고 순진하고 착했는데 그런 모습은 사라지고 괴물이 된걸까 ?,0
user-qq9gr5xy4t,가석방 없는 무기징역,4
user-gn2cg4ky8s,사형ㄹ 시키라,5
user-su2zc7xq1b,어차피 무기징역인데 돈 받아서 뭣에 쓸라고 ㅋㅋ,13
user-ml6hs7kt9e,이 뱀같은것이 항소할까 안할까 그것이 궁금타,1
user-oi4pl2ld1h,요새무기징역40년기본하한선으로 수정된지오래임 결론은 칠순되서도못나온다는사실 그리고 옛날처럼가석방 심사만올라오면 무조건 되는시대가아님 많이바뀜,0
user-rc5fh2nf9w,죽을때까지 감옥에 있는데 8억이 뭔소용이야,0
happy_3881,어이가 없다.,0
user-jo7uc7lh4w,주면 안댄다..... 남편 붐ㅎ한테 줘라...,0
mf5305,보험금 받아서 형량 줄일려는 수작인가?,0
user-cr6rg5zp6l,세상은 요지경,0
user-sk9cj5no9l,참 대한민국 좋은 나라네 남편을 죽여놓고도 보험금을 달라니? 실성했군,4
user-eq8nz3zv5b,아무리 흉악범죄를 저질렀어도 여성의 얼굴을 저렇게 공개하다니... 한국은 정말 여성인권이 처참한 수준이네요 ㅠㅠ,0
Lauraaa6666,강빵에 있어도 돈만 생각했네 어쩌나 이은해야 이제는 성형못허고 옷도 못사입고 다 실패했네 평생 죄수복만 입어라 ㅎㅎ,0
3wave_surfer,8억ㅋㅋ 근데 어쩌냐... 옥 살다 나오면 그 8억의 가치는 휴지일텐데..,0
user-hk3ti5gs7j,8억 영치금으로 쓰고싶은갑네 ㅋㅋㅋ,0
user-gi1di5st4k,초지일관 끝판왕,0
moonster1632,8억 받으면 뭐 할려고 하나? 온라인 명품 쇼핑이라도 할려나? ㅋㅎㅎ,1
user-gk1en6ks6z,빵에서 죽을텐데 돈이 필요해?,0
700dye6,K- 항상 여자 조심,1
jhpark2122,사이코패스내 이분 거의 이재명같이 냉혈한이네,0
Brain_Damage,여성에게 너무 가혹한 한국.,3
user-jk4jb4ml7l,아무리 이은해가 미워도 이은해 무죄줘야 되는거 아닌가요 제가 알기로 이은해가 물리적으로 윤상엽씨를 빠뜨린거도아니고 물에 빠졌을때 구해주겟다라고 따로 말한적도 없는거로 알고있는데 그럼 이은해가 왜 유죄라는건지,0
Billerthan,조현수? 조씨는 걸러라,1
user-xs2eg5sx9s,외모차이 진짜 ㄱ심하던데 사귀면서 이은해도 진짜 힘들었겟더라. 가끔 데이트 해준 것도 감지덕지겠던데 그러게 누가 지보다 한참 어린 여자애 건드리랬냐? 술집 가서 만났다면 업소 다닌 지 잘못이지. 한남 범죄자들 지 여친한테 '직접' 폭력 휘둘러서 죽이는거 천지인데 저건 지가 물에 직접 들어가서 안 나온거 아님? 이은해가 뭐 때리긴 때렸냐? 뭐 쟤만 대단히 욕할 거리도 못 됌ㅎ,1
honeywindjung5155,뻔뻔함의 끝판왕!,1
ChubbyCat1990,무기징역범이 보험금 어디다 쓰게? ㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗ,0
user-pc9vh9ls8x,애가 어려서 그럴수도 있지..ㅠ,0
