작성자,내용,추천수
TV-ew6ld,국민이 지켜본다,9
user-bq6sr6dn8j,저럿 것들은 평생 고문시켜야지!,6
user-lk2vf1su9k,사형 구형이 당연하지 않나...사형 구형해도 무기징역 판결 확률 높은 물렁한 법...사형제 부활!,5
user-yt6id9jg7v,국민도보고 하늘이내려다본다 피해자의 한은 풀어줘야할거아닌가?,2
user-young0303,판사님~~제발이번에는빠져나가지않게해주세요ㅠ,2
user-qp4px8vk7g,내가슴이 아픈데가족은얼마나 원통하겟어요사형시켜야됩니다 소름끼쳐,0
user-hm2jk9tz2r,판사들은 지들 자식 가족이 똑같이 당해도 저런. 침착한 방어권 보장 가능할지,0
user-rw4kd1zf2r,얼굴두꺼운 범죄자들 진짜 소름끼치고 치가떨린다,0
bnmijlfrjill8397,"도대체 왜들 그래 하며,,, 생각할 시간을 가지려고 그랬던거야 뭐야,,,,",0
joeybadass3966,판새들 또 정신못차리네,1
j38h25,역쉬 증거 가. 없는게 팩트,1
user-tq2zj8hi7j,주식 잘할꺼면 이 세분 영상이면 끝! 장초단타-------기선제압 당일단타-------창원개미 마 인 드-------야손TV️,1
user-qj5jz1vv9j,근데 왜도망감? ㅡ ㅡ,1
kunmoo-yi7ky,무죄,1
user-nb2hl7vb8f,쌰스,0
