작성자,내용,추천수
user-lt6bw6nu9d,재판장님 부디 현명한 판단해주시어 무기징역 받을 수 있도록 다시는 절대 절대로 사회에 발 딛을 수 없도록 해주시기를 바랍니다. 몸도 마음도 억울하고 고통스럽게 죽어갔을 피해자를 가여이 여기시어 꼭 선처없는 판결 부탁드립니다.,317
user-lu2to4fe2v,검찰이 무기징역 구형했으면 이번에는 재판부에서 형량 낮추지말고 오히려 높혀서 사형선고 해주세요. 재판부 믿습니다. 꼭 사형선고 부탁드립니다. 한사람을 저렇게 오랜시간 처참하게 괴롭히다. 죽여 놓은 인간에게는 이 사회에 있을 권리도 없습니다.,200
user-zq3sb4xu6h,반성은 1도 없구나 ...징그럽고 협오스럽다...,201
user-yl5xc6qs1l,남은 모든날 모든 순간이 불행하고 고통스럽기를 바랍니다,74
user-se3ph7fl7l,천벌받아 뒤질것들 사형이 답이지 평생 감옥에서 나오지마라 자유없이 죽을때까지 살아라,281
user-dk3xc8eb5d,교화가 안될 인간은 사회로 돌아가선 안된다.!!! 재판부는 검찰의 구형을 받아들여야한다. 최대 사형까지도 생각해야한다. 따뜻한 빛은 이들에게 주어줘서도 안되며 받지도 못하게 해야한다. 이것이 죽은 고인에게 최대한 할수 있는 일이다. 꼭!! 이루어지길!!!,79
heavenland421,억울하게 죽은 자의 원한이 풀렸으면 좋겠네요.,290
user-iw5le3gq6z,왜 우리 세금으로? 무기징역? 우리들이 내는 세금으로 왜 저것들 먹이고 재워야하나요? 우리나라 사형 제도 다시 부활해서 사형 시켰으면 좋겠습니다. 피해자분 삼가고인의 명복을 빕니다. 피해자 유족분들 힘내세요.,99
love3217,변호사도 변호를 하는 직업이니까 어쩔수는 없다지만 진짜 말같지 않은걸로 변호는 하지말자 정말 변호하면서도 화가나겠지만 진짜 있는것만 이야기하자,74
user-fc8zr8pi4t,부디 범죄자의 인권을 생각하지 말고 피해자와 유족들의 인권을 생각해라,46
user-dg2mi2ru8u,잘못을 했으면 솔직하게 말하고 용서를 구해라 재판장님 엄벌 반드시 내려주세요,32
TomoBijin,"1심에 사형 나와도 무기가 되거나 가벼워지는데 1심부터 무기라면 또 터무니없는 형량 나오겠군요, 늘 뒤통수치는 아주 훌륭하신 판사들이 너무 많으셔서 . 여론땜에 할 수없이 무기, 잠잠해지면 가석방? 어느샌가 우리랑 또 섞여 살겠죠. 한 두번였어야죠. 미안하지만 신뢰감 제로네요..",40
user-er9vs2mf4i,진짜 저사건보고 인간이 제일무섭단생각 다시한번하게되네요 그남편은 그렇게 진심으로 잘해줬는데 다른남자랑 동거를하고 돈을죄다뺏어가는것도 모자라 결국은 목숨까지 ㅜㅜ 사람이 저렇게까지 악랄할수가있는게 소름끼치고 무섭다,71
user-xm9zl9yp9u,살인자는 가석방 없는 무기징역 바랍니다,44
user-zc9vx4qw6p,진짜 엄벌에 쳐해주세요. 검찰이 무기징역때려도 판사가 가볍게 때리면 아무소용 없는데. . . 요즘 판사들이 워낙 관대해서. . . . 걱정입니다.,82
user-oy2zy8ly9q,절망과 후회속에서 끊임없이 반성 하며거기서 생을마쳐라,3
user-dd6cp9rj8o,종교인에겐 율법과 계명이있고 일반인들은 양심이 있어서 도덕과 윤리에 어긋나는 일을 하지 않으려 합니다.양심의 가책이 없고 반성의 기미가 없으니 사회로부터 영구 격리되서 일반 국민들을 악마들로부터 지켜야할 필요성이 있다보여 집니다.,4
effie5530,피해자와 가족이 이제 편히 쉴수 있으면 좋겠습니다. 제발 모범수로 풀어주지 마세요 상습범들 입니다. 참 인생 편했지?! 살 가치도 없는 인간들..마지막 까지 사과 안하지! 그게 너희들이 괴물이란 증거다,26
dreamingprincess6967,사건반장에서꾸준히..다뤄준사건..★ 진짜궁금해한시청자들.. 애석하게애도한시청자들은.. 정말.. 감사한1인입니다ㅡ 끝까지함께해주세요,39
user-nq8jb1mm1s,저런 악마들이 무기징역이라니. 사형미 답인데,75
user-vz5nz4qp2f,정말 이런 악마가 사람의 탈을 쓰고 세상에 태어난것같아요,8
user-zm8jn5bs2p,재판장님!!!!!!!!!!!!!!!!!!!!!!!!! 현명한 판단 반드시 부탁 드립니다. 손이 떨리고 입이 떨리고 몸이 부르르 떨립니다.,2
user-tg2rg2pz4x,시실이면 절대 용서가 안되는 범죄다! 꼭 법의 심판을받아라!,42
myongkim76,나오면 머릿속에서 나쁜짓만 할것임니다 항상불평 .끝까지 반성안하는것으인성이나쁜인간. 검사님 듣지마시고 . 연기도잘하고 아주둘이짝.... 사형아니면 무기 로 회개하도록 감사함니다.,12
user-vn8rf6gz3f,가석방없는 무기징역이길,224
user-cq1br9cm3p,이은해 조현수 변호인...대단하네ㅋㅋ 구조한다고 최선을 다했다니;;;;;,46
bobjwo2,"가스라이팅은 했지만, 상대방이 죽은것은 절대 내가 살인을 한것이 아니다. 법정서도 끝까지 가스라이팅을 시전하는 저 인간은 아쿠마다!",12
ehs3863,사람 목숨을 끊어야 사망한건가. 목숨이 살아있었어도 죽음보다 더한 저 여자랑 살아있던 고통을 준건 살아있음보다 더한 고통인걸. 끝까지 뻔뻔한것들. 무기징역하고 나중에 풀어주지마라.,78
user-wb7gv4fj6e,너무 좋겠다 둘이 함깨해서~~축하해,81
user-kz9gl1gs7z,사형시켜라 사형이 답이다. 법이 너무 솜방망이 같다. 저런것들을 위해서 감옥에서 먹이고 재우는 세금이 너무도 아깝다.,11
user-qe9ud1ys5m,변호사도 힘든 직업이네,4
yhy7861,우리나라법이면 무적권 12년 나온다 아마 상고까지가면 7년까지 쌉가능,14
