작성자,내용,추천수
user-co2jz3ks2d,"사형이라는 제도가 없다면... 저들과 비슷한 피의자는 앞으로도 계속 반복될 것입니다. 어쩌면 인간이란 ""사형""이란 형벌이 있어야... 저런 극단적인 범죄행위에 스스로 브레이크를 걸 수 있다고 생각하고 있습니다. ""사형""이란... 인간이 악마가 될 수 있는 선택을 막을 수 있는... 인간의 가장 이상적이고 과학적이며 지혜로운 형법이라고 생각해봅니다.",32
llww373,부작위 살인 입증하기 상당히 힘들다고 들었는데 확실한 증거가 나와서 정의가 구현됐으면 좋겠네요..,12
user-fb7ev6po9o,100세시대에 50이면 세상을 또 시작할 수도있다. 앞으로 무기징역은 단 1년도 감형없는 평생징역으로 절대적으로 바뀌어야 한다. 이것들도 절대 다시는 세상에 나오지 않도록 해야한다.,36
CarBooom,"존경하는 재판장님 정말 제대로 된 무기징역이 나왔네요, 감사합니다.",60
user-bh9cr3jn6f,면죄부없는 무기징역이 되길...,69
momo-no8jb,힘내세요 유가족님,9
user-jm3id7ml7d,이사건이 무죄되면 판사는 법대로 판결한거고 검사가 입증을 못한거다(입증하기 힘든건 알지만 꼭 입증해서 이런 범죄가 또 일어나지 않도록 본보기가 됐으면 좋겠네요..),0
heback9,무기징역보단 능지처참을 부활하면 좋겠네.,50
user-yb8ho6ui6q,무기징역은 25년정도 지나면 출소될수 있다는데 사형을 판결 못할바엔 차라리 형량이 제일 높은 40년형으로 판결나길 바랍니다,1
user-fc8zr8pi4t,결혼만 해놓고 대놓고 다른남자랑 놀아나는걸 본 당사자는 얼마나 참담했을까...,19
user-po4fn8yo2x,가스라이딩을 판사가 인정하게 된다면.. 치열한 삶의 경쟁은 서서히 길을 잃고.. 부족한 헌법의삭으로 검사생활을 하는 전체주의 나라가 될수 있을 뿐이다.,16
user-rh3gi7rj7s,"구원 받는법 ""네가 만일 네 입으로 예수를 주로 시인하며 또 하나님께서 그를 죽은 자 가운데서 살리신 것을 네 마음 에 믿으면 구원을 받으리라"" (롬 10장9절)",3
user-lj3he3mz9q,반성도 없는 이 인간들 아니 짐승들 영원히 못 나오게 이런 인간들도 변호하나요 죽이려고 복어알도 먹였는데,12
skyline6542,사형에 처하라!!!!,8
user-fn1fb2gc6c,저런것도 사람이냐? 무기징역? 그냥 사형이 답이야 왜 국민세금으로 편안한 감옥에서 밥을 먹여줘?,3
KPOPKeeper,감형 안되길 간절히 기원합니다.,6
