작성자,내용,추천수
Gao932,오랜만에 속이다 시원한 판결이네요!! 각 지자체마다 현수막걸고 모든국민이 인지하도록 알렸으면 좋겟네요~ 더이상 개수작 부리지 못하도록,7
user-xx1ju1cv1g,이슈화 됐고 국민이 다 아는 사건이니 무기징역이지 안그랬음 무기 징역 줬을까? 라는 의문이 든다,14
comfortablechair6703,이딴 판결 짜증난다 무기징역 없애고 사형해라,0
jkc0424,"이걸 간접살인으로 해버리네...결국은 봐준 것....원통하다....무기징역은 결국은 종신형이 아닌데, 뭐 유족이 괜찮다고 하니 더 뭐라 하진 못하겠지만 이번 일뿐만 아니라 앞으로 있을 가스라이팅 범죄를 대비해 경종을 울리는 판결이 되지 않아 개인적으론 많이 아쉽습니다",1
user-gp4jn2nl2t,사형 가석방 없는 무기징역을 줬어야지,2
user-lh5yg4ph7k,그래 이렇게 판결이 나와야 맞는거지...!,0
luckyj6281,무기징역인데 남편 보험금8억 달라고 하는 이은해 클라스.......,1
user-tn9dg6tn7t,더 때려야지..사형과 무기징역으로,0
bartkim6448,30년 유지도 다행이다 감형 받는줄 알았다 이번에도,1
user-nt6by8gr7g,가석방없는 종신형 도입해라 무기징역은 개뿔 허울좋은 솜방망이징역이다 가석방되서 쳐나와서 또다른 피해자 생기겠지 이참에 대한민국 꽃뱀들 싹다 잡아쳐넣자,0
wnsdud6593,항소한 변호사도 같이 무기징역 주자,0
user-qo4kb1qi1y,둘다 무기징역 해야지 30년 살다 나오면 조두순처럼 세금으로 돈줄건데 가둬놓고 만두만 먹여라.,0
user-fh6js9mu6l,무기징역 전에 함대줘,3
