작성자,내용,추천수
dwqeqe103,살면서 가장 충격받은 사건중 하나였는데 무기징역 받아서 참 통쾌합니다. 다시는 이런일이 나오면 안됩니다,534
axe6245,"검사님, 판사님 고생하셨습니다",708
user-hl3dg5xb4r,간만에 판결 조금 맘에 드네. 진짜 저런 것들이 세상에 다시 풀린다는 상상 자체가 끔찍하다,81
jiyeon19,진짜 판사님 고생하셨고 앞으로도 엄중한 처벌 받아야할 사람은 이렇게 처벌받아야 한다고 생각합니다.,135
badredrose,다행입니다. 대법원까지 제발 이 형량 지켜지길 바랍니다. 고인의 명복을 빕니다,4
user-lo4yp5me5l,제발 모범수 이딴거 인정해주지 마세요 검사 판사님 뿐 아니라 교도관님들까지 바르신 분들이길..,54
user-rx5vy4eu3k,징역 15년 이상 장기수들은 제약회사 임상 테스터로 쓸 수 있게 법을 추진해야 한다. 어차피 죄짓고 들어가서 세금으로 먹고 사는 것들이 사회에 공헌이라도 해야지.,147
user-ic4bs8cu6l,형량으로 끝이아니라 각자 교도소에서 갈굼받으며 하루하루 고통스럽게 살길 바란다... 진심!,15
user-yj7us4pc2m,"판,검사님 정말 고생하셨습니다. 둘다 무기징역 처벌을 바랬지만 그래도 저정도 죄값을 물을수 있어 다행입니다. 저악마들은 30년 동안 반성도 안하겠지만 사회와 격리 할 수 있다는데 안도합니다.",10
issueOn,사형까진 부족했나 보구만 절대 감형 없는 무기징역으로 평생 살아라,559
user-jd1xe5ph7w,사형도 사형이지만....사형이 실제로 집행되지않으니 내 세금으로 저인간들 죽을때까지 밥먹여야된다는건 정말 개탄스럽다. 즉결처형제도 도입하라!! 판결즉시 참수형 도입하라!!,10
user-kc7gc8ft5j,대법원까지 감형없이 무기징역/ 30년 쭈욱 가서 정의는 살아있다는걸 보여주세요,33
user-pp7dz2vw7z,판사님. 현명한 판결 감사합니다.수고하셨습니다.,1
sukjunpapa1472,아직 1심이네요. 무조건 항소할테고 대법원까지가면 감형될까 벌써부터 맘이 쓰리네요. 부디 우리 모두의 관심에서 멀어지기 전에 확정 판결 받았으면 좋겠습니다.,3
user-ri3cg3xu5s,감사합니다 수고하셨습니다 이게 법이고 법이기전에 사람을 먼저 생각하신 판결이십니다.,1
nn_de,역시 전국민이 주목하는 사건이니 세게 때리는군 아직 1심이지만 이 형량 그대로 살길,14
doge7_7,"대한민국 법이라는게 참 아이러니하다 , 꼭 국민들에게 조명을 받아야만 제대로 판결을 하나?",5
user-gg9fw7io8v,형량 개시원하네 스토커들도 많이 때리면 좋겠다,61
angler_sigi,속 시원 합니다~^^ 감사합니다 판사님️,6
pikasonic1234,존경합니다 판검사님,2
user-un6ye5xo5k,이 번에야 말로 시원한 판결 정말 잘했어요....속이 시원하내....,0
sweedgood580,오랜만에 합리적인 판결이 난것 같네~ 최근 각종 범죄자들의 형이 너무 약하게 나와서 법좀 강화하자고 속으로 외쳤었는데......앞으로도 범죄자의 인권보다 피해자의 인권을 더 우선시하는 법조계가 되기를.....,1
user-wc2qm6tb6v,진짜 속시원한 판결이다 제발 강력범죄자 들한테 1~3년 이렇게 때리지 말고 최소 30년은 줘라,0
user-sh5wc3ff5j,오랜만에 정당한 법 집행한 판사님을 보네요,0
user-gl4tw6ww7y,누구는 죽여도 몇년이고 누구는 무기징역이네... 참 법이란.....,33
user-fz9cb2ij3v,정말 판사다운 판사의 판결이다 ^^,3
sweetenguy,판사님 검사님 고생하셨습니다.,0
user-yb1gx4md4q,판사님 검사님 고생하셨습니다 짱!!,1
oioi_,와 간만에 시원한 형량이네,116
kii2426,무기징역이 유지되길 바랍니다,0
jang9553,1심이네 대법원에서도 동일한 판결있길 바랍니다,2
-moneyflower7904,판사님 감사합니다,0
user-gf8or3gw1m,조주빈42년 이은해 공범 30년 승리 1년 요새 판결 아주 좋습니다,7
user-uu4ww2lo3z,판사가 이번엔 제대로 하셨네,0
Mio_JJANG,항소도 하고 대법원에 상고까지 할듯... 앞으로 2년가까이 지나야 완결된 판결 나오지 싶네요,4
21_sokonyun_gallery,간만에 시원한 판결,1
user-su5rt2dk8p,캬 편안하네 이거지 진짜 간만에 속 시원한 판결이네,0
akosijuan4034,이번엔 똑소리나는 판사가 일했나보네... 더욱 강화되기를...,0
Teak8181,좋은 판결이네요,0
user-ph6sb5mv3r,아우~저것들 참수형이 딱인데 2심에서 형량 감형되면 징역 20년 살고 사회로 나와서 돌아 다니겠구만ㅠㅠ,7
user-qd7du5wd5w,와 나이 30살에 무기징역이면 진짜 괴롭겠다 ㅋㅋ,12
