작성자,내용,추천수
user-qs8lo4cq2n,판사님 피해자만 유가족만 생각해주세요 피해자도 유가족도 국민입니다 만약 재판부가 이은혜와 조현수에 인권을 생각한다면 이는 피해자와 유가족에 대한 2번에 살인 입니다 그들은 그져 나라법 지키면서 그져 그렇게 평범하게 살다가 피해를 당한겁니다대다수에 선량한 시민을 사법부에서 외면하지 말아주세요 외면한다면 이역시 공정성에 위배되는 내용입니다,21
user-xt1fj9nk8u,교도소에서 먹여주고재워주고 그럴필요가 없다 판사님들 그냥 혈세 로 교도소에 있게하지말고 그냥 없애요 사형이답입니다 판결나는적시 1개월내 보내세요! 교도소에 사형수로 두지말고,11
user-qw9qe3iy4g,판사님 고인과 유가족의 고통을조금이라마 아시다면 사형에서 무기징역을꼭 내려주세영 제발영,12
user-uu2kt7uk1w,판사 본인이 갑자기 살해되서 죽었는데 그 살인자가 18~20년 구형 길어야 무기징역 받으면 무슨 기분일까?,11
user-lc5on8uj3r,단체로 공모인데 본보기로 강력한 처벌 해야합니다 사이코패스 검사도 높고요,6
user-jp6kv5mq5l,이은혜 조현수 저 쓰레기들 최고의 형으로 줘야 합니다 판사님들 가족이 당했다 입장바꿔 판결 내리시길요,2
user-tk6hv9tq4j,사형주고~~영원한 무기징역이 답이다 사회에 나오면 또 똑같은짓 한다 영원히 못나오도록 해주세요 피해자에 대한 마음도 생각해 주세요 제발 부탁드려요,0
son5018,판사처럼 평생 저런 사건들만 보면 별 감정도 없고 판단도 흐려질거같음. 음 별거 아니네 이번거 이런식. 진짜 주의해야 한다 사람인지라,0
user-px4nj7ft7f,검사도 사형 판사도 사형 땅땅땅,5
user-pw5yh8od7b,반드시 정직한 판사 만나서 사형시켜야된다 개보다 못한ㅇ 자질도업는 판사 검사가 넘처나니 걱정된다 가석방업는 무기징역 나와야된다,1
momoj-gn3vi,대한민국에 정의가 어딨어 뭐 길어봐야 20년 아님 무기 살인은 사형이 답. 사형집행 없는 사형은 사형이 아니지. 가석방 절대 없는 무기징역!!! 나왔으면 좋겠네,0
rlatjswls882,변호사님 무기징역 하고 사형 왜 차이가 없어. 나중에 가석방되면 어떻게하려고 사형 구형해라 .,0
user-lj9et3js4y,판사님들 무기징역이라고하더니 왠무죄다들어난는데 너무들하시네요변호사가돈을 엄청받았군요,0
user-sx4sc5wf8k,역시 최단비 변호사님 딱부러지게 말도잘함 무기징역 나올듯....그알에서 무기수는 15년살면 가석방으로 나온다고 인터뷰 한사람이 그러던데.... 승준 세월도 많이 흘렀는데....이젠봐주지 한국와도 연예인 못할듯... 사회봉사2년 하게하는 조건으로 한국오게 하면 안되나 ㅎㅎ,0
KPOPKeeper,징역 20년 구형할 듯 우리나라는 가해자에게 너그러워서,0
ingry.h5078,구형 20년이나 무기징역 --->10에서 15년 선고 예상한다,0
junekim3973,법으로 사형은 존재하지만 전 대통령 김대중 이후로 사형이 중단된 상태 입니다.. 그냥 무기징역로 처벌해주세요 ...,0
fivefinger987,아동성폭행범들한테는 집행유예주는 조선 판사들따위가 뭘한다고 ㅋ,0
