작성자,내용,추천수
priselop4878,가석방 없는 무기징역으로 갑시다. 제발 판사님들 부탁드립니다.,392
Riyoo_Komorebi,검사님들 피해자분을 위해 마지막까지 꼭 힘내주세요!,361
user-of3ys1wg6s,"필히, 가석방 없는 무기징역이 꼭 되기를 바랍니다.",507
SMKim-kx7ir,우리나라도 단순한 무기징역이 아니라 종신형을 추가해야한다. 실제 사형이 없는지라 사회와 영원히 격리할 필요가 있는 범죄자는 석방없이 죽을 때까지 격리해야한다.,26
bongbong2845,검찰에서 무기징역 나오면 최종은 거의 무기징역 안나올 확률이 큰데 .... 우리나라 중대한 범죄 저질러도 무기징역 안나오니 참 좋은 나라네 정말 자랑스러워서 쪽팔릴정도다 ... 국민이 보고 있다 최종판결 똑바로 내라 법이 얼마나 무서운지 보여주라 말이다,59
storyaki,판사님 부디 저 둘은 세상의 빛을 더이상 보여주지 마시길 바랍니다.,12
kissong2950,"판새 선고가 아닌 판사님 선고가 꼭 이루어지길,,,,,",1
user-nq8jb1mm1s,무기징역 이들은 사형을 집행이 마땅하다,204
sweet_bear712,부디 피의자에게 공감성 부족한 판사가 판결해서 다시는 세상으로 못나오게 했으면...,3
user-xz7qj8re3q,수사기관이 유능해야 한다. 경찰이 수사를 잘해서 증거를 잘 채집하고 검사가 법정가서 화려한 언변과 전문적 법학지식으로 판사의 판결을 이끌어내는 아주 중요한 자리지,21
user-fy1mf5eg2u,판사님들 억울하게 죽음을 맞이한 고인의 마음을 알아주셨으면 합니다~ 마지막까지 힘내시기 바랍니다,1
user-dk5bg4xk3o,검사님들 감사합니다,24
user-bl7if6ir3c,"검찰이 구형 해도 법원이 판결을 제대로 내려야 하나, 법원이 과연…",195
BlueRabbit87,사형을 시켜버려야지 사형제도 부활시켜라 진짜 무기징역 동안 입는 옷 쓰는 물 먹는 밥 값 노역으로 스스로 벌게해라 중노동을 시켜야한다,9
user-hn7zc7gn7s,판사가 누군지 몰라도 가해자의 인격존중 따위는 절대 생각하지마세요.이 변호사들은 이 발언을 후회하게 될꺼야.,1
nia2353,악마같은 놈들… 무기징역 제발 받아라,4
kimcream0927,판사님 존경합니다!!!,1
user-si5he7st8w,형량줄이지말고 쭉 가자,295
Awesome-im1sf,사형이 좋을텐데 영원히 격리되도 세금이 아깝네 무징이라도 끝까지 판결해라,68
user-yh8vf6gm9b,판사가 또 풀어주겠지...끝까지 지켜본다!!!,2
user-qb1br4so4x,판새님은 가해자의 인권이 중요하다고 낮은형량 판결할듯하다. AI판사의 도입이 시급하다.,2
nice67231,최종판결 아니고 실제 형량은 검찰구형보다 1/3 1/2 정도 나옵니다. 즉15~ 20년정도로 나올듯,31
chemefevr,변호인이 피고인의 사죄와 반성을 강조하면서 형량줄이기를 하는게 아니라 아예 죄를 부인하고 있네 어쩌면 저 두명한테는 변호인이 엑스맨이 될수도 있겠음,15
lionqueen4906,점점 형량이 줄어들겠지... 사형이어야지~!!! 이런것들을 사람이라고?!!!,18
user-fq2dv9ke5d,"형량절대 줄이면 안되요ㆍ 저딴것들이 출소하게되면 바뀌지도 않겠지만, 더큰 피해를 볼사람이 생겨날껍니다 무기징역 끝까지 가자",5
user-oj7re1cq5l,조주빈과 똑같은 형량 부탁드립니다,7
user-tk5fu1pb8e,웬 무기징역. 사형제도 부활하라,112
user-bn5uz2ud4v,구형:검사가 바라는 형 이제 게임이 시작되는거임 판사의 선고가 끝임. 항소는 별개고.,0
user-xm6et1nr1y,사형감이지만 무기징역도다행이다싶다;;하도 범죄자를 보호하는법이라 증거불충분이나 몇년밖에 안나올까바 걱정했는데;;이게이상한꼬라지지!!에휴,22
user-px3yw2uv7w,피고인들은 범행을 안했다고 하는데 무기징역 이라니 ? 확실한 증거재판이 필요하다,0
user-vi2ek4uz6r,저런 인간 같지도 않은 것들을 변호해야 하는 변호사도 참 불쌍하다... 무기징역이 나와야지 그래야 고인의 억울한 한이라도 풀어지겠지 어휴..,0
Ryan-np4di,어떤 판결이 나올지 끝까지 지켜봅시다.,1
user-zn8dd5wt1g,무기징역은 나올수있다 사형해야 못나온다 사형해야함,75
user-gz7sv2hp6x,진짜로 이 사악한 세상에 자식을 낳는것은 어리석다 인과응보라 눈에는 눈 귀에는 귀지 웬 무기징역이고 법은 똑 같이 보복해도 부모 형제의 마음의 상처는 어찌할까? 법이 이리도 자상하시니 악범이 계속되고 있다.법의 목적인 정의를 실현하라.!,1
sik8161,판결이 나야지.. 판사가 피해자 친척이나 지인이면 좋겠다.,3
slime-kh2zm,이게 정의지 앞으로도 이정도 형량 부탁드립니다,7
Ju-bo1nn,무기징역은 기간이 정해지지않은 징역을 말하는거다 곧 살아서 출소한다는 말이다 영구감금을 하려면 사형을 구형해야 맞는거다 제발 사형제도 부활시켜라,4
user-yb2tk3oe2n,판사님 이은혜 조현수 악독한 두사람 검사의 구형되로 무기징형 선고 해주십시요,56
user-eq7ng8mp1f,무기징역? 왜 우리세금으로 저런 쓰레기들을 먹여주고 재워주고 씻겨줘야 하는건데? 누구 맘대로!!!!!! 사형집행 부활시켜라 사형집행부활시켜라,1
user-cp7iw9fx3l,구형한만큼 제발 판결도 났으면 좋겟네,3
user-wj6kl4ue1d,사형을 하지 무기징역은 안되지 아예 사회에 못나오게해야지,2
user-jp2eu8rk4j,사형이 되는게 백번맞지만 무기징역으로 살면서 죽을때까지 자유를 갈망하며 괴로워하는게 더 가혹하지 악마같은것들,0
user-qw9qe3iy4g,유가족과고인이 조금이나마 위로가되셨으면하네영 사형을 간절히바랬지만 무기징역이라도 위로가되네영 유가족분들 힘내세영,1
mooomin2011,구형입니다 판결아닙니다.. 증거 빼박인데 대체 뭘 조사를하고 미루는건지???? 평생 감옥에서 썩도록 해야될거같은데 제발 사회에서 볼일없길바랍니다,0
maestroan5485,사형부활 시킬수 없다면 삼청교육대 부활시키자!!! 무기징역이라면 저것들 쳐넣어서 평생동안 인간이하 취급이나 받게해서 병신으로 만들어 버려야 한다!!!,1
yjn9072,최종판결이 어떻게나올지 진짜궁굼삽니다.. 용서할수없는 죄입니다,0
user-qk2nl2ox4r,판사야 온 국민이 이사건 결과 지켜보고있다 제대로 꼭 판결해라,0
