작성자,내용,추천수
user-vc3sy1hi8h,유죄 판결은 아주 당연합니다. 영원히 바깥 세상으로 못 나오게 해 주세요.,53
fcpark954,저런 악마를 그냥 무기징역? 적당히 10-20년 감방에 살다가 풀어주려고?? 이런 개같은 법이 어딨나? 그냥 당장 사형에 처하라..,41
emilychoi934,무기징역 확정되길 정말 기대합니다. 다행히 두사람이 똑똑하질 못해서 변명도 참 앞뒤가 안맞게 잘하네요. 제발 계속 저렇게 말도안되는 변명 계속하길 바랍니다 그래야 감형안되겠지 스스로 무덤파서 잘 들어가 사세요,8
user-of4ne6fn6g,사형 집행 안 하더라도 선고 돼야 절대 못나올텐데.. 무기징역은 좀 아쉽네.. 판사가 잘 해야겠네 ㅠㅠ,5
luansen0,모든 증거가 가리키고 있는데 아니긴 뭐가 아냐? 진짜 억울하면 십원한푼까지 유가족들에게 다 주고 머리깍고 산으로 들어가 보시던가 지금 안잡혔으면 해외도피 했거나 계속 피해자가 나왔겠지 법원이 느낌으로 판결을 했겠냐? 범죄의 증거가 입증되었으니까 처벌을 받는거다 아니라는 증거라도 보여줘야 억울하겠구나라고 하지 아몰랑 억울해 하면 잘도 속아주겠다,6
ej8002,악질적인 인간들에게 맞는 판결 입니다..,5
user-gv9dm5is6y,유가족 말대로 라면 하나 겨우 사먹으며 견뎠는데 무기징역이 아니라 사형을 내려야함 무기징역이면 공짜로 끼니 때우게되기때문에 평생을 공짜로 누리게 되는 꼴임,8
user-hz3kv3in2o,아주 좋은 구형이다. 감형 없는 무기징역이 확정 되었으면 좋깄다.,7
user-nu7kb2nt7b,석방없는 무기징역도 아니고 선고떄 낮아질꺼고 몇년살다 나오겠네 뭣같은 시대다 정말,3
gu_gu_99,무기징역자들은 독방에서만 살게 했음 좋겠다. 다른 사람들이랑 섞이면서 왕처럼 군림하는꼴 보는게 너무 싫었는데 이들은 왕처럼 군림할까 두렵다.,5
user-zz7so7ql8r,무기징역 폐지하고 유기징역을 무한대로 구형 가능하게 법을 바꿔라 항소에 대법가고 나중에 모범수 감형 받아도 늙어 죽어서 나오게끔 해야한다,1
biohajad2,좀 판결에 있어서 형평성 있게 살인은 전부다 무기 때리던지 하지 얘는 무기고 얘는 몇년이고 장난치나 그냥 살인은 다 무기 때려라,3
UragilWorld,구형이라 아무 의미 없음. 판사가 ㅈ같은 판결내리면 끝임,6
user-pe1yz2es9w,감방 무기징역 말고 독방 무기징역으로 넣어 주세요,1
sunchan.k8325,웃기네 저 무기징역이 특사 사면 불가 조항을 받아야하는데 그런 내용 있나??,7
user-zj4gw8rd5f,검사가 무기 때리면 뭐하나 최종 판결은 판사가 하는데 요즘 무기 때리는 판사 드물어서 어찌 될지?...,2
user-ft9pm1ck9w,어떤 판결이 나오든 항소하고 또 항소하겠지?..,2
yangjoseph3524,사건을 봤을땐 그리 큰죄를 지은건 아닌거 같은데 판사가 사진보다 실물보고 빡쳐서 무기징역 준듯 ...,0
laemt325,은해야 걱정하지마 검사측은 무기징역을 구형했지만 너그러우신 판새님이 징역20년이하로 때려주실거야.,0
jsbae1386,50년 징역이다 본보기로 삼아라,0
user-ht4ls7hd6r,구형이 무기면 판결은 이십년 나오겠내,0
greenangel4665,젊은나이에 무기징역이라.. 참 인생 지대로 죠졌내.. ㅉㅉ,0
user-nw9fu3ne8x,구형이 무기징역이면 15 20년받겄네,0
user-go7kx9ox7j,문제는 판사구만...웬만하면 구형되로 때려,0
