작성자,내용,추천수
ckghgo2051,"근데 1심이 만족했을지언정 가해자들이 항소하는 한 2심과 대법원 판결이 남아있습니다. 부디 2심과 대법원 판결도 무기징역, 징역30년 형이 계속 유지되거나 그 이상의 형벌로 판결받길 기도하며 더 이상 피해자와 유가족들의 눈물과 원통함으로 점칠된 대한민국이 되지 않기를 바라며 법치주의와 권선징악의 판결이 많이 나오길 바랍니다. 🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷",72
user-kc2ff1vk1r,최고의 판결이십니다 ᆢ 맞아요 죽을때까지 시도했을게 분명합니다,11
Citrus_Juice,법원에서 정말 공정한 판결이다.,5
brunello7,사형제 부활시켜라 살인마들은 징역도 아깝다,5
SGolds-qh1ch,자유민주주의 국가에서도 이런 어이없는 판결을 하는 후진성을 지닌 국가가 존재한다고는 상상도 하지 못할 일이라고 생각합니다.,4
user-fu3dd4uy8o,인간이기를 포기한자 무기징역도 가벼운 형량이다,44
user-lc5on8uj3r,정확합니다 죽을때까지 살인시도했을것이 팩트죠 그래도 법이 가벼운 한국판결 치곤 이번 판결결과는 매우 만족할 결과입니다 조금이나마 고인과 유가족에 고통과 슬픔이 치유되길 빕니다,6
user-cc8fy7wx1v,"악랄한 짓을 또한, 살인까지 하고도 반성도 없는 이은해와 조현수 감헝없는 무기징역에 처해지길 바랍니다",6
spawncanada1,역시 힘없는 사람에게는 공정한 판결이 나오는 구나,24
user-pc9vh9ls8x,검찰출신 윤석열 하나 잘 뽑아서 이리 좋은 판결이 나온겁니다. 윤석열 대통령에게 항상 감사하는 마음을 가지십시오. 이래서 대통령을 잘 뽑아야한다는 걸 새삼 느끼게 된 판결이었습니다.,11
user-sp7zd8zr2u,할배 대서 나오겠너... 한명은 할매 돼도 못나오겠다. 유족의 그 아픔 심정을...재판부가 확실히 해줬네..유족의 아픔이 조금 이라도 덜수 있는..판결에 만족합니다.,28
user-ek7ds2fz1i,다른 살인은 10년도 안받던데. 나머지 판사들 반성 좀 하고 피해자 가족들에게 공감 좀 하고 살아요,7
user-uh8yu2go3s,징역 끝나도 제2의 피해자가없게 전자발찌 차게 해야됩니다,8
freedomeye369,판결 쫌 이상하다고 느껴지네 ... 뭔가이상해~ 그리고 가족이란 판결 만족한다고 ( 너무소름돕네 ) ... 최종 판결이라고 치고 사형판결나와도 만족할일은 아니지...,0
woochullee2498,대한민국 판사들 정신 차렷네,11
user-qn5pi2fk1u,"무기징역은 죄수한텐 너무 꿀같은일인데ㄷㄷ죄짓고 교텔에서 숙식해결ㄷㄷ어중간하게 ""82세 석방"" 요런 벌을 줘야ㅋㅋ출소해서도 할일없이 죽어갈터인디 쯧..",11
user-gf7ue1lg5r,무기징역... 병걸려서 저승으로 갈때쯤 내보내는게... 약값도 밥값도 아깝다,2
user-cv9nf3ms1c,항소해서 형량 낮추면 그만이야 마인드겠지 범죄자에게 관대하고 피해자에게 가혹한 나라 대한민국,4
hohoon0528,무기는 잘 때렸지만 판결내용이 영 시원치가 않네요 간접? 직접적이었음 사형구형 했을려나?,2
paulkim7595,"무기징역은 ""가석방 없는"" 이란 조건이 붙을 때 의미가 있다. 이은해가 얌전하고 성실하게 간수 항문 핥으면서 수감생활 하다가 혹시라도 가석방 조건을 충족해서 다시 기어 나오면 안된다.",3
sideplanet4723,3년 4개월만의 판결... 너무 오래 걸려요..,4
gargant6183,이은해 무기징역이면 더이상 해외여행 못가고 감방에평생,2
user-xe9qv6ut4m,이은해 부자집 딸 태어나면 돈문제로 살인 할까 유전무죄 돈 많은 사람은 죄를 지어도 돈으로 벌금내면 되니까 형량이 낮고 돈이 없는 사람은 죄를 지으면 벌금낼 돈이 없어서 형량이 높습니다 서글픈 현실입니다 수,0
minkookdaehan1385,비리 검사들의 치적을 만드는 도구군.,1
user-vz2sr9fy2s,======================보험금 살해는 무기징역이 옳다,6
saywhat7572,둘다 무기징역을 쳐해야지 조현수는 왜 30년뒤에 풀어주나 그떄 나와서도 먼짓할지 어떻게 알어,0
user-xg1rx2tf4j,오랜만에 판사판결이 시원.공범도 똑같이 나쁜N인데 30년은 짧음,0
jgf-tm2xg,죽여야 속시원한데....암튼 무기징역......평생썩어,0
sijdo6327,아내랑 자식2명 죽인남자는 무기징역 안주겠지?,6
user-gf5ms9cn9b,모처럼 시원하다 2심 대법도 둘다공범으로 사형 무기로 형량을 가중 해주길 바란다,2
user-nc7jp4yn2,이은혜 사형 조현수 무기징역 이 맞는듯,1
user-rj4eg2xn8f,저거 근데 항소로 형량 깍일것같긴함..,0
user-ml8ze5cu9c,이은해씨 빨리 항소하세요 무죄받기 어렵다면 반성문이라도 써서 감형하세요,1
ok3884,판사님!!! 가석방없는 무기징역 해주세요 부탁드립니다 제발 부탁드립니다,1
narabreeze9388,만족? 고법 대법가면 감형될걸? 핸국 법관들은 돈이면 환장,1
lllIlIIllIIIII1244,무기징역 30년 달달하네 ㅋㅋㅋㅋ 남자도 할배되서 나오겠노 ㅆㅆㅆㅆㅆ조아얀><,0
