작성자,내용,추천수
RK-db9bj,친척 오빠의 말이 맞습니다. 재판하는곳에서 악마라고 말하는것은 잘못된 것입니다. 그러니 이제 그분이 밖에 언급되는 일이 없도록 교도소 안쪽 깜깜한곳에 무기징역으로 넣어두는게 좋을듯 합니다.,36
user-uk3ix5xc4n,악마를 악마라고 하지ㅋㅋ 검사님 잘하셨습니다,139
user-xz3mf8go5m,사람을 죽여놓고 도망다니다가 잡혔는데 검사나 피해자가족이 그런말도 못한다고? 내가족이 죽었다면 입을 찢어놔버렸다... 지금도 자기는 잘못없다고하는데 저런것들이 날뛰는걸보니 아직도 세상이 미쳐돌아가는것같네,5
louluol87,검사님..담부터는 팩트에 기반해서 살인마라고 해주십쇼,401
user-fc3xm4yr9n,친척오빠가 악마네 악마가 악마? 일 잘하시는 검사님 굿,227
user-lu7rg8pm6d,판사나 변호사가 악마라고 한것도 아닌데 친척 오빠의 저녀가 저런 여자나 남자를 만난다면????? 뭔 욕을 해도 달게 받아야지… 검사는 더한것도 알고 있을텐데 증거가 없어서 말 못하는게 한두개겠냐??? 정말 악마를 본거지,3
user-mf7qm1yo3r,가족 위하는 마음이 찐이네 덕분에 우리도 재판내용일부와 검사의 사이다발언을 알게 되었으니,70
user-of3dx3wr8m,악마보다 더한 표현이라도 할말없다~ 뉘신지는 모르것지만 한짓을 생각해보길 바라며 개인적인 생각에는 사형판결이 맞을듯!,3
flowerwind6213,"검사가 피고인에게 그냥 <악마>라고만 했다면 항의할 수 있지만, <피해자에겐 악마>라고 했기 때문에 항의할 명분이 없네요..",0
user-mv4hk9uh9s,평생 감옥에서 썩게 만들어야 되는데 저런걸 사회에 나오게 한다고???판사새기들도 똑같이 당하게 해주고 저런판결 내리는지 보자,2
user-qg7jq7qe3r,이나라 최고의 검사님! 피해자의 슬품을 읽는.. 국민 영웅 검사님으로 칭하고 싶는 마음 있니다,0
pyo1838,악마한테 사과하라는 의미 악마도 저것들보다는 착하니까 검사는 악마한테사과 해야한다는...,1
user-is9sv8fy7e,솔직히 악마 정도로 표현 했으면 검사가 나름 선은 안넘은거지. 내연남이랑 남편을 죽인 여자를 욕하려면 얼마든지 더 심한 욕도 가능함.,343
mintchoko47,이게 맞지 형이 확정되기 전까지는 무죄추정이 원칙이다. 법을 판결하는 사람이 그걸 무시하는건 말도 안된다 ㅉㅉ,0
dyk1468,그 친척 오빠란 인간은 양심이 있는거야 ? 사람죽여놓고 함무라비 법전에 (눈에는눈 이에는이) 처럼 가족들한테똑같이 죽이라고 하면 속이 시원할텐데 법이있어 그렇게 못하고 검사가 악마라고 표현한걸 사람 두번죽이는 말이라고 항의를 했다고 하니 참 기가막힐 노릇이네 하긴 니들이 친척이라고 하니 더러운 그피가 어디 가것냐 천벌받을것들,15
ms-uk7gk,쟤네들을 국민세금으로 먹여주고 재워주고 아직 살려둔 판사도 악마지 쓸데없는 쓰레기들은 빨리빨리 소각장으로 보내버려라,5
user-ht1wp4lq3m,그들의 행동과 언어들이 악마이고 무기징역이다,47
user-nq7yc3wp9o,친오빠도 아니고 친척오빠가....?징역3년밖에안되는것도 충격적인데,0
glen2616,하여간 어떻게봐도 교화불가능인데 징역형을 왜 주는거야?,36
user-gk6kn3zy2z,사람죽이고 겨우 징역3년?~~30년이 아니라?~~미치겠네,0
kissme9903,마귀가 씌였네 친척들도 다 검사해봐야한다 검사들 뭐하냐 압수수색 안하고? 빠져가지고 에혀~,0
Platonic_wave,검사가 잘못 말했다. '새끼'라고 했어야지...,183
user-ud6cr5yk7l,징역3년 구형한 검사나 항의하는 오빠나 죄다 미쳤구나.,0
moveson-tp2et,검사 입장에서 피고인한테 악마라는 표현을 쓰는 건 조심했어야 하는 건 맞음. 하지만 사람 여러 명 죽인 이은해한텐 악마라는 표현도 아까움.,0
katyajeon880,첫번째는 한국이 문제고 두번째는 법이 문제다.... 저런 것들을 가려주고 배려해서 표현도 순화해야한다는게....쯧쯧 관련된 년놈들은 죄다 신상공개에 죄질에 따라서 형량을 무겁게 때려야지....,0
user-gb2hn9jk7f,고작3년? 죽은사람은 뭐가 돼냐 3년살다나오면 면죄가 되는거냐 사람죽여도. 형벌도 뭐같네 아니 판사가 뭐같네,1
user-hp2of4hi9b,악마입니다 정답입니다 최종 판결 에서.사형을 선고해주십시요,0
user-fr1du2dt9u,나 같으면 쪽팔려서 재판장 안갔다 ㅉㅉ,0
user-xu9xf1iu7s,징역3년 ㅠㅠ 이ㅇ들 나오면 또 많은 희생이나 올텐데.,2
user-wv7kq6mt1t,악마라고 부른거 취소하시고 징역30년 때려주세요 판사님,0
user-lr4qh5dh9p,우리법이 악마를 감싸네.ㅎ. 악마에겐 악마법을 가지고 악마판결을 내리시길. 염라대왕 판사님.,0
timekiller9187,두번죽이는 거라고? 그냥 딱한번 사형 판결해라 한번만 죽이게,0
user-fe3xr3ud8d,사람죽여놓고 징역3년받는것도 얼척없는데 악마도 아깝다,5
futbong,징역 3년 구형이라는게 놀랍다....,6
user-wq7vh2hp1m,맞는 말이다 검사 놈들은 왜 이리 오지랖을 떠나 할일만 하면 되지 검사 자신이 제사장이나 된것 처럼 행동한다 짝눈 윤 석열도 마찬가지,0
EthanAKIRA,"악마 아니고 사탄이지.... 그냥 시원하게 싸이코 패스라고 직설적으로 해버리지 법정이라고 비유법을 쓰셨네, 친척오빠인지 증명이 됐나 모르겠다. 사회적으로 일반인들은 쌍욕쓰고 있는데 검사라서 비유법 쓴것이네 , 친척 이 몇촌 사인지 도 모르겠는데 그정도로 격분할거면 애가 어릴때 가출하고 성매매 하고 직업 범죄자의 길을 갈때는 뭐했냐...... 그때도 격려했냐... 정상적인 인간이면 결혼을 몇번하고 유흐업소 접대부로 나가는건 참을수 있더냐? ㅡ 진짜 친척인지도 의심된다 이은해하고 사적관계있는 제3의 인물은 아닌지",0
user-bx7jj7yg9z,친척오빠? 그럼 니가 대리징역 살아라~,0
mkh20400,친척오빤데 어쩌라고 지가 판검사도 아니고,1
user-fw2sc1hf6w,뭐 공영방송에서 기사 내보내면서 악마라는 표현을 한거면 자극적 보도라고 해볼수있지만 판결내리다 언급된건데 따질건아닌듯 ㅋㅋ,0
user-fb4de9qc4s,검사가 맞는말 했네 그럼 천사라고 할까?,0
owen_7331,???: 검사들은 표적수사를 하고 있다!!,0
youngkwon9765,악마가화나 정말 우리나라좋은나라 판사한데 대들어 그럼무슨죄가추가,0
sun6818,사형 안가 징역3년 잘한다잘해,1
user-xj6ph1hc1d,유유상종이지..판사가모처럼 맞는말했는데 항의를해..,0
user-dv4xq3lx1d,요새 아무리 대한민국 공권력을 ㄱㅈ으로 본다지만 검사한테 ㅋㅋ 찡찡대네;;,0
user-yz6hy5yj5e,내 귀가 잘못됐나~??????? 징역 3년~??????????????? 아나운서가 발음 실수했나~?,0
haepoklee7067,무기진혁 무기징역 받고 3년 더 추가 했다는 거죠?,0
user-ub4tv3on2m,검사님 악마라는 표현 싫다네요 마귀나 사탄으로 써주세요 아님 에이즈.암 요런거,0
