작성자,내용,추천수
user-yu8kd6sl8r,무기징역이라도 감형없는 무기징역을 줘야되지않나 지금도 잘못을 인정안하고 부인하는 악마들 영원히 사회에빛을 보게해선 안된다,81
geunii5418,사형집행을 다시 시작만해도 사형선고 많이내릴텐데 집행을 안하니깐 판사들도 어쩔수없이 무기주는거같아 씁쓸합니다.,17
user-hk2ht7np1w,감형없는 무기징역이여야 합니다,14
rlatjswls882,무기징역 아니라 사형을 구형해야지.,19
Mia-re3oe,"판사님 사형, 무기, 맞습니다. 이런인간들 영원히 사회에서분리해 더이상 피해자가 나오지않게",4
NSLee-oi5hr,사형시켜야지 살아야할 이유가 없다 무기징역이지만 모범수되면 나올걸,18
myongkim76,저것들 택시타고돈쓰고 먹잇감 물어 여행가고 꽃뱀노릇못하는게 마음속으로미칠것임니다 거짓말로끝까지가자는주장임니다 보통인간이아님니다 감형도없다,5
redzerow,판결까지 가야 진짜다,14
user-qz5yo1ih8f,사형줘서 사실상 감형없는 무기징역으로 줘야지요...,6
rca2097,"무기징역 이라도 반성문 쓰고 하면, 결국 감형되서 일찍 나오지 싶은데...",7
user-oc5ml6he7g,검사구형이 무기징역 이라면 형기와 형량이 줄어들 확률이 높은데.........모범수에 초범등등 하면 감량될 확률이 높은데...쩝..가스라이팅 당한 호구남편만 억울하게 됬구먼...,22
user-yu8wn3yo9t,감형없는 무기징역으로 해야죠,3
user-gd5lh8bh6m,이 재판 열받지만 무죄나올겁니다. 직접증거없으면 유죄판결못합니다. 어쩔수없어요.,0
user-rp8vf8xk4r,감형 없는 이라는 전제가 없네요.,1
michellebaik8337,어차피 사형집행도 못 하는데 사형선고 내리지 또 감형 받고 나 오겠네... 우리나라 좋은 나라..,1
user-dz6go5kg4q,요망한 것들 이제서야 법 무서운줄 알겠냐 !! 최후 까지도 무기징역 이다.,3
user-rc6yu6fy5n,"이은해 무기징역 확정하고 부가 서비스로 밑에 성기 질 땜방시켜서 두번다시 이런 짓못하게 해야함 .조현수는 그냥 무기 징역 ,",4
user-hr1fs5ne4z,검찰이 무기 하면 뭐하나 자비로운 판사님깨서 감형해 주실건데,2
gtr2904,무기는 감형 받으면 20년 살고 나올수도 있는데 30년 받은 사람은 법정에서 깽빤치고 무기 받는게 났겠네 ㅋㅋ,0
user-cx8rv6fx1e,"교수형 시켜야지. 무기징역 이면, 세금만 낭비하는건데... ?",0
user-tc9st9vx7n,검찰은 일 제대로 하네 판사가 어떻게 나올지 궁금하군 검사는 둘다 무기징역 구형 ㅅㅅㅅ 잘한거지,1
js-wm2wj,무기징역 가즈아~~~~낫짝은 왜 처 가리냐 부끄럽긴 한거냐,0
user-zo2sk6kn2e,@...@@@...@@.....(((@@조주빈이가 무기징역 구형 받아서 최종 징역 42년 선고 받았지요.... 유기징역의 상한선이 징역 50년이 딱 만땅인데......,0
user-rx7hx2vi6v,판사를못믿겠다 미친나라,0
doge7_7,나만 느끼는건가 매스컴 타면 왜 형량이 높아지는거같냐 ㅋㅋ 이은혜 진짜 싫치만 법이 이래도 돼냐 ㅋ,0
