작성자,내용,추천수
yellowgogo8006,무기징역으로 감옥가면 한 50년은 국민세금으로 먹여주고 재워줘야 하기때문에 그냥 시신으로 발견 됬으면 한다.,2.5천
user-rz7mn4gx2c,"여러명의 남자 목숨 집안까지 풍비박산내고 연쇄살인마랑 다름없습니다 엄청난 악질인데 100년 무기징역,사형 해야합니다.",190
joonhopark2018,근데 복어독으로 왜안죽냐고 이런문자가 나왔는데 현장구속은 왜안하신거죠 그똑똑하신 검사님들이,67
user-ht4ls7hd6r,구속이 아니라 무기징역....평생 사회와 격리 되야 됨..... 사형시커야 되는데....,354
user-pi6fn6pu4g,잡히더라도 인간같지 않은것들이 교도소가서 밥잘먹고 다리뻗고 자는거 이게 말이되나요 사람을 죽이고 정작 살인자는 무기징역 산다해도 편하게 지낼거 생각하니 기가막히네요 사형ㆍㆍ필요합니다,8
kinamkwon6613,무기징역 부탁 드립니다,0
aphsn4462,저런건 인과응보식으로 똑같이 다이빙으로 처벌좀 내렸으면 좋겠다. 예전에 미국에 인과응보식 처벌을 내리는 판사가 있었는데 우리나라에도 그런 사이다같은 처벌이 있으면 범죄가 줄텐데 말이죠... 법을 너무 우습게 알잖어...,0
griffithj1253,"전 남자친구 사망 건들 살해가 팩트면 사형 판결, 집행하는게 맞는거다",164
user-ie7dm5xg8v,무기징역이 아니라 사형감이다~~넌 다계획이 있구나?? 미친 소름이다~~조력자도 깜방으로 보내라~~,0
ryumomo322,"- 이은혜의 지난과거 20년 - 좋은가정환경이란, 물질이 아닌 정신적인 측면으로 아이가 도덕적이나 심리적으로 안정되고 완성된 교육을 부모로부터 올바르게 받을 수 있는 가정환경. 아무리 돈많고 부유한 가정이거나, 하루하루 먹고사는 가난한 가정이라도 자식을 사랑을 포함하여 올바른 방법으로 이끌어주지못하면, 그 아이는 잘못되고 그릇된 사회나 친구부터 물들어서 엊나갈 확률이 매우높다. 이은해는 부모가 장애가 있어 그들이 제대로 캐어해주지못하였고, 유년기를 지나 청소년기에 친구를 잘못만나 방황하기에 더하여 작은범죄를 시작으로 그 수법이 대담하게 커져 지금에 이르렀을 가능성이큼. 장애를 가진 부모가 제대로 캐어해주지못하였고, 학교에서 또는 사회에서 사랑으로 캐어해주지 못하니.. 그 누구하나 브레이크를 걸어주는 사람이 없었고, 결국 작은 범죄를 시작으로 돈맛을 보니까.. 시간이 지나 수법은 더 대담해졌고 20년 후 지금에 이르러서야 아무 죄책감없이 사람을 죽이는 사이코패스로 진화할 수 있게된것. (아이들의 범죄를 줄이는 방법은, 법을 개정하여 형량만을 늘릴게 아니라.. 그런 아이들을 즉각 케어해줄수 있는 사회시스템을 구축하고, 아이들이 변질될 수 있는 모든 잘못된 사회문화를 바로잡아야한다. 이은혜 괴물들을 만든건 바로, 지금도 사회공동체 속에서 영향력을 끼치며 생활하는 우리 자신들이다. - 소년심판 - )",3
user-yb7fz8mh7t,하루빨리 자수하는것이 형량 줄이는 방법이고 죽은망자께 조금이나마 속죄하는 방법 아닐까?여러사람 고생시키지 말고 언능 기나와라~~으잉?,4
user-hz2cu1wj7l,구속이아니라 무기징역이여 넌평생 햇빛도못보고살거여 ㅋ,1
seungkookang9896,구속될것 같다가 아니라 무기징역이야 햇빛보기 힘들어…… 무기 안받으려면 자수해서 감면받아라,0
user-yp6ow9nf6i,남편 목숨값으로 호의호식할 줄 알았니? 사법부는 법치국가로서 법의 엄중함을 보여줘라 또 솜방망이 판결로 국민들 혈압 오르게 만들지 말고. 무기징역이나 사형 이외에는 절대 다른 선택지가 없다. 남편을 내연남과 함께 물에 빠뜨려 죽게 만든 극형에 처해도 모자랄 희대의 흉악범이라는 사실을 잊지 마라!,0
user-zh9uk2yi1k,구속이 아니라 최소 무기징역은 때려주라 제발,0
TV-jp4xm,옷다벋긴다음 사람많은데서 공개처형 해주세요.판사님~,0
user-xt2nj4cx8n,무기징역 이다하늘이고있고지켜본다,0
user-ow6iu6er6r,무기징역도 아깝다,0
user-rb4tt2ul4p,구속될것같아가아니라 구속이지 것두 무기징역으로,0
myd5753,조력자면 암묵적공범들이 도와주는걸텐데 다 같이 잡히게되니까 꽁꽁 잘 숨겨주고있을듯.. 요즘은 공소시효가없기땜시 그냥 빨리 자수해서 상황마무리짓고 죗값치루는게 나을듯. 유야무야 관심사그라들때까지 있어봤자 형만들고 본인도 사는게사는게 아닐듯. 한살이라도 어릴때 그냥 징역 살아라 그게 나을듯.,1
No-we2ml,사형집행은 어차피 안될테니 무기징역 가자...넌 그냥 인생끝이야 이제,0
user-nt3jy9rr4w,구속+무기징역이지!,0
user-uv6gc1bg2e,잡혀봤자 20~25년구형에 10~15년선고 나오겠네 한국 사법부를 물로보시네 다들 반성문에 질질짜기 스킬 그리고 아픈가정환경으로 인한 정신적 스트레스 등등 우리 자애로우신 판사님들께서 그런것도 다 감안해주실테니까 ㅋㅋ 피해자랑 유가족만 또 힘들어지겠지 피해자들한테는 세상에서 제일 엄격한게 또 대한민국 사법부 ㅋㅋㅋ,0
