작성자,내용,추천수
user-lt3tu1no2w,"항소 했다는데, 가석방없는 무기징역 2심에도 판결나길 간절히 바랍니다. 이 인간들은 반성도 없는 인귄도 없는 악질입니다.",64
minsookpark1676,판사님. 감사드립니다. 이런범죄는 정말사형에처해야된다고 생각했는데. 그래도. 돌아신분에. 한을. 판사님이. 풀어주신것같네요. 돌아가신분이. 감사드릴거라생각되네요 앞으로 또 이런범죄는. 다시는. 일나지않았으면. 좋겠네요. 법을 좀 강하게 만들주었음하네요.,52
user-fe3sc9zq3w,검사님 판사님 존경합니다 저 악마들은 선처가 1도 필요없고 남편이 지를만나 지옥을경험하고 죽음까지 가게한것에 비해 .본인이 지옥을 경험한다는 말자체가 이기적인것입니다. 항소하고 2심도 원심과 똑같길 바랍니다 대한민국 법이 무서워야 같은 범죄가 안일어납니다,59
user-pd3dg3wj6u,와. 법이살아있다는 걸 보여주는것같아서 속이훈련합니다 판사님검사님 감사합니다 정인이 건도 기대합니다.,53
user-ov8fe9mn4e,와 진짜 갑만에 사이다 형량 나왔네,71
jzl7613,이 판사님은 좀 괜찮은 분이시네요,9
user-li3if7dt4k,무기징역 아라도 죽은사람의 억울함이 풀랄까 악마,35
user-ku5yd5oi6x,지혜로운 판사님에 형에 박수보냅니다,2
wonsk6560,판사님 사실의 요체를 정확하게 파악하시고 정의가 승리 한다는거 진실은 감추려 해도 감춰지지 않는 다는거 보여주셔서 국민으로서 감사드립니다,0
user-ze1fm5nn4u,검사님 판사님 ..정의로운 판결 부탁드립니다 죄질 안좋은 반성없는 뻔뻔한 악마악녀 강력처벌 해주세요.. 본보기로 더더욱 강력처벌 보여 주셔야합니다 절대 선처 해주시면 안됩니다 부디 다시는 이런 사건들이 일어나지 않도록 부탁 드리겠습니다,6
user-hd8ku5ik3z,끝까지재대로된판결보여주시길바랍니다 지금봐도화나네요,1
challo9427,판사가 구형 낮추면.. 평생먹을 욕 한꺼번에 먹을거다.,22
gjo1542,"무기징역 구형이 아니라, 사형을 구형해서 사형 성고되면, 사형을 실행해야...",15
psasa1004,제발 이은혜 몇년후 무기징역에서 나중에 형량 줄어주지 말길...,11
SGolds-qh1ch,이은해님이 무척이나 억울하리라 생각을 해야 자유민주주의 국가에서 살고 계신 분들이라고 생각합니다. 저 판사는 중공에서 모셔오신 분입니까?,6
jung-yj1co,당연한 판결입니다 악마는 악마법으로 ~,4
user-zh2vy5ee7b,"아직 확판된거 아닙니다.1심이니까 2심에서는 형량이 줄겠군요. 직접살인이 아니다, 살인 방조다, 심신미약 등등으로 감형될듯 ㅡㅡ 나라밥 오래오래 먹게 해주세요. 제발....",6
user-rw4kd1zf2r,저 얼굴두꺼운 살인자들 진짜 극혐이다 근데 1심이네 2심도 꼭 무기징역 되길바람,10
user-eg3pd6vo3t,전자발찌도 풀지 못하게 몸에다가 심어야된다 ㅡㅡ이번제판은 그나마 맘에드네요 판사님 화이팅 입니다^^,3
user-uc2dm1uy8p,사형제도 부활하여 사형으로 판결이 되었으면 좋겠어요. 감면없는 무기형으로.,2
user-sh5nx5oq1h,그알에서 언급 안하고 유명해진 사건이 아니었다면 선고는 13년이 적절했었다 재판부는 언론의 집중도를 벗어난 판결을 해야되는데 그게 아닌거지... 이 사건보다 더 악마스러운 사건번호도 엄청 많다는게 개탄스럽다.,0
mark-xm7qs,왜 무기징역이죠? 사형때려야죠 공범 모두다,3
navi-uk7fj,2심에서 감형될까 걱정입니다 2심에서도 감형없는 무기징역 바래봅니다 피해자분이 너무 불쌍합니다 ㅠ,3
user-og3zy6wl8z,이 형량에서 절대 더 내리지 마라! 이 ㄴㄴ은 무기징역도 아깝다!,1
user-bi3ix8ph1k,지가 지옥이 뭔지는 아나? 어텋게 저런게 인간일수있을까 무기징역이 아니라 감옥에서 고통이 어떤가를 뼈저리게 당해봐라 죽은사람이 너무불쌍해,1
Lee-ii4qy,전낭친 사망사건이나 전남편한테 했던 악마같은 짓거리들은 사형이 당연한데 무기징역은 ᆢ 가석방없는 ᆢ사회에 나오면 절때 안되는 인간이며 재산도 모두 압수해야 함ᆢ,1
user-rg4mx4ij7s,검사님 감사합니다,1
yukwae,법원에선 아무리 범죄자라도 사회를 돌아가게 하는 일원으로 보고 갱생 후 돌려보낼 의도까지 고려해 형량을 주는데 쟤들은 진짜 재활용이 안 될 인간쓰레기로 판단했나보다..;,0
user-mj5qy1kf2o,이은해 쌤통이다 너는 진짜 무기징역 처음부터 받았어야 했을 인간인데 말이다 그리고 이은해 가 시킨다고 가담한 조현수랑 공범도 진짜 형벌 을 쎄게 갔어야 했는데 조현수를 30년 주는거 는 좀 아니였다 ㅡㅡ,2
user-zd6sk2uk8i,너무큰 잘못을했기에 무기징역 사형이답,2
user-su5gl8pw4p,감형은 제발 해주지 마세요,1
user-cf3ov9vt3b,아니 ㅁㅊ 왜 사형을 판결하고 집행을 안하는거야????? 진짜,0
openmind3208,30년? 감형이나 모범수 특사 그런거 절대 만들지마,4
comngood,"흉악한 인간들.. ~ 현실적 최고형 선고는 당연, 역시 사형을 부활해야한다. 하지만 살인 커플의 변호인이 '잘못된 판결'이라고 말하는 것은 정당해. 판, 검사가 이런 놈들에게는 정황증거만으로 정의를 행하는 척 하지만 . .ㅋ 권력 앞에서도 정의로웠다면 인정됐겠지. 실은 공정한 제판이었다면 가벼운 형량에 우리는 분노하고 있었어야 맞지.",2
cyclebu82,판사를 존경할게 아니라 무조건 사형감이지 이건 내가 유가족이면 더 억울할거 같은데? 사형이 아니라서,3
plus109380,조현수는 늙어서 나오네 같이 무기징역 이 정답인데요. 판사님 멋지십니다 절대로 그 여자분은 못나오게 면회도 없게 해주시길,1
jeanaj4763,우리나라도 가석방없는 무기징역 가능했으면….,1
user-kr7xn6qv6b,사형 안 한게 다행인줄알어 두 쓰레기 인간들 30 년 무기징역 속이 시원하다. 죽을때 까지 거기서 사죄하고 속죄하고 살아라.,0
user-yf7bz2xh8i,둘다 무기징역 줘야 합니다 똑 같은놈들입니다,0
user-qf7gd5ct5n,무기징역감인데 30년은 무슨 평생 못나고게 해야됨,1
user-bo5zd8vy1g,판사 이제 제데로 한번 일 한것 같다~,2
user-zq8qw3pt4o,무기징역수는 20년 모범수면 세상에 나올수있습니다. 차리 30년이 나을지도 몰라요~ 2심 대법원가면 보통 형이 깎여서 최종 10년 20년형 정도 되겠네요~ 법은 죽었어요~ 사형수 아니면 세상에 나올수있어요,1
user-py3989,조현수도 무기징역때려야 정의구현법인데 아쉽다,1
sty6198,둘다 공범 인데 같은 사형이나 감형 없는 무기 징역 해라.,0
user-ut7gn9zu7t,사람을 죽였는데.. 무기징역이라고? 10년정도 살다가 모범수로 나오면? 이런 세상에 .. 만약에 살다가 위험하면 먼저 죽이는게 유리하겠단 얘기인가..,1
zxcv1042,이은해가 2심가서 감형 되는거 아니냐 걱정하는 애들이 있던데 아마 힘들거임. 이은해 조현수가 유죄인정 된 상황에서 그 동안 재판부 조롱 엄청 해대서 (특히 담당검사에게 찐따같다고 조롱함) 대법최종 판결까지 무기징역 원심 그대로 유지할 확률이 높음ㅋㅋ,2
user-ew2yo2lh9z,사실 촉법소년법 논란 빼면 중형 범죄자들한테 무기징역 꾸준히 때리고 있음 아주 잘하고 계시네요.,1
kyeongjoonhan2677,"사형하고 무기징역이 맞지않니, 검찰아....",0
choeyoung1782,무기징역 보다 사형선고 정당하다 대한 민국 쓰레기 법부터 뜯어 고처야한다,0
user-nj2sx4py1q,잘됐네 무기징역좋아 진행해!,5
