작성자,내용,추천수
YS-yy6sx,악마에게 무기로 판사님 사형으로 바꿔서 악마 죄,3
dongdongjoo,저사람들은 자기들이 보석금내면 감형이 될거라생각하는거같은데 전혀 그렇지않을거란걸 인식시켜줘야할것같아요. 보험금 운운하는거보니,27
user-zd3dd8sc9s,왜 무기징역 사형시키지 내가낸 세금으로 저딴것들 밥쳐먹여야되냐 가족분들 너무 억울하고 힘들겠지만 힘내세요,9
beckyoh9381,이런 법제자에게 보험금 말이 않된다.사람을 죽인 당사자가 형량까지 내려 졌는데 보험금를 주면 않되는것은 상식이 아닌가.이것도 말도 않되는 결과가 나오질 않길 국민들이 다시 힘을 합쳤으면 합니다,1
user-km1pm5gr9h,판사들극혐 왜 피해자가 맘졸여야돼 도대체가 평소 형량이 얼마나 공감되지않으면 어휴,3
John_NZ,한결같은 모습을 보여주어 한편 다행인거 같기도 하네요 무기징역 받아서 평생 감옥에서 보낼텐데 8억을 받으면 뭐하려고... 사식이라도 배터지게 먹고 싶어서 그러는걸까요?,1
jaceykim,반성문쓰고 감형받을까봐서 판새 못 믿겠다. 반성 안하고 최고형 받아서 다행.,1
user-wh2oi4oi4e,재판장에서 즙 좀 짜면 형량 작게 나올테고 그러면 빨리 나가서 돈 쓸 생각에 신나겠지.,0
satinlover...,빽없고 국민이 관심많이 가지면 높은형량 빽 많고 사회지위있으면 솜방맹이 그뤠잇,8
user-xs3js5wv6t,그치 교도소에서도 돈이 필요 하니까 ...무기징역이면 몇년못가서 법자가 될수도 있으니...,0
user-bg9wg2gg2t,무기징역이면 영치금이 많이 필요할거야...마지막 발악이자 헛된 바램일뿐....,1
user-sw6gn7rr9h,아니 무기 징역인데 보험금 받아서 언제 쓸건지.....,1
user-px9ww6wh1g,왜 사형이 아니라 무기징역입니까,1
user-ot6lq2fl2k,정신 못차린게 저들뿐이겠는가!서면돌려차기사건의 그놈.판사가12년만때린정신나간판사놈!표예림가해자4인방!나라팔아먹은매국노 부부!참 속디비지는세상이네,0
volka6437,무기징역이 8억 가져서 모할라꼬?,2
user-ox8cz8jy7k,무기징역 확정인가요?,0
user-pu7hj2is9y,무기징역인데 8억 받아서 뭐하려고ㅋㅋ,0
user-dq5lo9uk6o,왜 조현수는 징역30년 ? 조현수도 사회와 완전격리시켜야지,1
jongwoochoi8010,죄는 거기에 맞게 처분하고 보험금은 기준에 지급하는게 맞다. 전두환에 비하면 무기징역은 너무 무겁다.,0
