작성자,내용,추천수
wyeuibfhjg3649,판사아들이 돌싱이면 조금 희망이 보인다...,1
hgil8180,진짜 가석방없는 무기징역 판결 부탁드립니다.사회악은 사회로 나오면 안됩니다.평생 격리~,8
user-dl5qb8tv1z,검사님 감사합니다 판사님 무기징역 선고 부탁드립니다 구형이라 끝난게 아니라 이제 시작일 수 있지만 ..난 이 사건 뉴스만 보면 남편 신발 한 켤레 사돌라는 그 카톡이 생각나서 가슴이 저림 짐승보다 못한것들,2
ilikemissy,잊지말자 피해자가 판사였다면 사형이다,2
sky2799,강제노역포함 무기징역으로 해야지,27
user-yy2rv7jb7t,악어의눈물은 안 흘리네 반성없는모습 보여줘서 무기징역 인듯,4
DogBarkingAtMoon,사형 구형해서 빨간명찰 달아줘야지… 무기징역 구형하면 나중에 가석방 가능하잖아… 시민들이 정의봉으로 처리해주라는 검찰의 빅픽쳐야?,6
myongkim76,원래범죄자는 딱잡아땐다 민주당에도 그런사람있지만 본전이니까 안했다고 울먹이다 여러가지 증거가있잖슴니까 보험 4시가전엔 일을처리해야 보험금타야하니까....악랄한 두것들을 검사님 무기징역 감형엄는 무기로라도 처벌해주세요,0
user-yf1ib1wn8k,은혜로운 판사님 얼마나 줄라나 한3년? 얼척없지만 그게 현실아닌가,2
jhshin9413,강압수사당했다면서 정작 면상은 밝은 표정이니까 판사도 안 속겠다,0
xxgg2325,칼로 잔인하게 몇십번을 찔러 죽인 김성수? 도 20몇년 받은걸로 아는데.. 판사들은 완전 그냥 지 멋대로네.,1
user-jm2zl1ut7x,근데 무기징역받아도 20년 지나면 가석방 될 수도 있담서? 차라리 가석방없는 무기징역이나 30년 때리지!! 사형 안할꺼면 늙어서 나오게 해야 한다!!!,0
user-nf7lz3tx5e,무기징역살것같으면 나같으면 숨안쉬겠다밥은더안먹을꺼다 죽일생각없었다 그게 말이냐 그냥 입다물어 얼굴 가리는거안해도 이미다알아,2
user-xo2uf6xb6t,그런다고 형량이 줄어들지 않아요.,0
user-cc9jl6ji8u,일반 무기징역말고 가석방없는 무기징역해라,0
bb-nj3ki,이번 사건은 검찰 측에ㅐ서 감정이입을 많이해 형량이 무겁게 될지도,0
user-xk3dt4fn5t,거짓말하니까 무기징역을 구형받지,1
user-dk2dt3be3t,ㅋㅋ 저것보다 더한놈들도 몇년 살고 나오는놈들 수두룩한데 무기징역이 선고 되겠냐 내생각엔 15년 받으면 진짜 많이 받은거다 ㅋㅋ,0
user-hh7bd7iy4v,무기징역이라...모범수로 10년도 안살다나올듯,0
