작성자,내용,추천수
letsgooska,가석방없는 무기징역 현명한 판결해주세요,34
user-rz5jb4et2x,검찰이 무기징역을 구형했다고하더라도 판사가 무기징역을 선고하는게 아닙니다. 대부분 30~40년 나옵니다 매우 안타깝지만 현실적으로 말씀드렸습니다,6
user-gb2qh2fz2b,나이스....판사 이번엔 일 제대로햇네,5
grooveheart,무기징역은 그냥 감빵에서 사는 거 잖아 혈세로 밥먹여가며...잘하면 나갈수도 있는 희망도 있고...사형이라도 때려라. 형집행은 없지만 적어도 사형 구형해라 진짜..희망없는 나날이라도 살게..,17
user-bu9rh7zs9x,최소 가석방 없는 무기징역 나와야 할텐데,13
user-wh3fg9jd4j,우와 사람을 죽여도 겨우 무기징역이구나... 재판부에서는 과연.... 집유 선고하지 않겠지?,19
user-yg7dn1bo8k,무기징역 구형이니 뻘짓 안하고 반성하면 징역형 정도나 받을텐데 그냥 계속 부정하다 괘씸죄로 무기징역 받길 바래봅니다,3
bosuck689,사형을 시켜야지 먼 무기징역!,3
iuzzang798,사형 구형해야지 무기징역이 뭐냐,4
user-nn9jp4zg7s,검찰이 구형해봤자 판사가 조지면 답없지뭐...,0
user-ld2mv2hr6r,사형 판결하고... 윤씨는 결제해라!!!,1
user-yn9gq1ux5j,무기징역이 더 ㅈ같을거같은데 사형보다,0
user-px1ch5di4s,하루하루가 지옥같은소리 하고있네 네가 죽인 그사람은 너보다 더긴시간 하루하루가 지옥이었을 것이다 사형이 답인데 무기징역이라니,0
user-bz1pp7eb9t,무기징역인데.무슨 전자팔지고 .모범수로 내보네주게 ㅋ,0
