작성자,내용,추천수
user-hd6cn7tf8s,한국 판사들은 엽기적이라서 저 것들을 풀어줄수도 있다,43
towins2,"무기징역은 가석방 제도가 있기 때문에, 가석방 없는 무기징역이 되어야 합니다.",190
user-sr4ek6mo7q,사형이지왜무기징역이야 저런것들은없애버려야되는거아냐,57
silver_Sunshine,이은해 돈쓰는거좋아하고 노는거좋아하는데 감방에서 무기징역.. 니먹이구재울 세금이 아깝지만 젊은청춘 감빵에서 죗값받으며 평생 죄인으로 살아라,5
user-yj4bq2vn7e,저렇게 구형해도 법은 결코 평등하지도 않고 형평성도 않거니와 판사들의 권력제도이기 때문에 어떻게 판결이 날지 모릅니다. 판사들의 역량과 성격에따라 법이 바뀌는게 대한민국 썩은 정치판이자 법치국가니까요.,5
user-ft1gv6rv5p,형량이 너무 싸네요 억울하게 죽어간 고인은 다시는 돌아올수 없는데 형평성에 어늣납니다 똑같이 죽어야죠 다시한번 삼가 고인의 명복을 빕니다,1
Solicitor_KR,이럴 땐 진짜 사형제도 좀 부활했으면 좋겠다 사형집행관들이나 범죄 입증을 해야하는 검사나 구형을 해야 하는 판사나 실로 여러 사람 피곤하긴 하겠지만서도…,1
user-dd4ue7pn8s,사형답이지 무기징역도 아깝다,3
user-bp6nl5lw8h,무기징역이 제일 좋은겁니다. 사형이 없는 우리나라에서 사형수는 미결수라 노동을 안하는데 무기징역은 죽을때까지 매일 노동해야되서 저 년놈들한테는 그나마 최고의 형벌입니다.,18
kks6955,"검사가 ,무기징멱 구형해도 판사가 적게 선고할수도 있음ᆞ",15
user-hb6cw4lx3b,선고 확정까지 봐야지... 검찰이 구형해봤자 가해자지킴이 판사들이 뭔 짓을 할 지 모른다.,1
user-yu8kd6sl8r,구형이 무기면 실형은 얼마나 나올까?실형받고 살다가 감형받고 몇년살고 나오는거 아닌지 사형을 받아야 되는거 아닌가?죄질이 너무 악독하것만 너무약하게 형을 내렸네,1
user-jm2ji8ro1v,남의 인생. 망치고. 간접살이 해놓고. 사형시키야지 왜. 무기징역이라니. 남의 돈까지. 빼았고. 살인까지 해놓고. 사형시키라,0
changmin6577,"사형이 판결되길 기대했는데.... 직접 살인은 아니니깐, 무기징역을 구형한듯. 검찰에서 현명하게 판단한듯 하네요. 대신 가석방 없는 무기징역이길.....",1
twinklemashiro5925,"무기징역이 엄벌인가? 언제 풀려날지도 모르는일인데,종신형도 아니고 무기징역? 법이 이리 물러 터졌으니 강력범죄를 저질러도 두려움이 없는거지.여러분 누구 죽이고 싶은 사람 있으면 그냥 죽여버리세요.법이 알아서 선처를 해줄것이오~ ~~젠장!!!!!!!!",0
user-wajaqhqu,여자 잔인하게 살인한 남자는 무기징역 안주면서 여자가 남자 죽였다고 무기징역 주냐? 판사 미팃나,4
Eum-Eng,"세금이 아까워서 사형이 좋을 것 같기는 한데 이전에 살인자들, 성폭행범들도 무기징역이나 살인 다시 내려주기를",0
user-tc7ri7tk7b,판결이 아니라 구형이네 판결은 어찌 날라나,0
theghst5147,판사 가족이 당했으면 즉결처형,0
user-lu2to4fe2v,과연 재판부는 어떻게 선고 할까요. 혹시 이런적 있나요. 검찰이 무기징역 구형했는데 재판부에서는 더 높게 사형을 선고하거나. 이런사례는 없나요?,0
user-df2qs9ty9z,감형은 진심으로 반성할때 가능하다.~지금처럼 끝까지 우기면 무기징역이지~!!!,0
freedomeye369,사이코패스 검사결과 굼굼하네... 판결에 대해관심없어.. 어짜피 뻔한팔결이니까.. 그냥무줘로 풀어줘도 놀랄일은아니지 .. 대한민국판사 그럴만도하니까..,0
