작성자,내용,추천수
user-pb5eb6rd2w,사람도 아닌걸 살려두는 대한민국 법원 및 판사,287
neins3447,"이미 범죄가 입증되어 1,2심에서 무기징역까지 받았는데도 받을 수 없는 보험금 8억에 저렇게 집착하는거 보면 아직 잡히지 않은 일당이 밖에 있는거 아닌지 경찰이 더 꼼꼼히 수사해 봐야 한다.",231
warak76,미국처럼 징역 100년이상 때려버려라,147
user-pi6to8tm3r,저런여자가 아직도 뉘우침없이 보험금소송을하다니 참 어이가없다 대한민국에 사형제도가없어니 무기징역 50년 때려라,2
user-nw2ll9ve6h,어떤 감성팔이를 하더라도 대법원 판결은 끝까지 무기징역이길 바랍니다. 보다시피 교화 가능성도 뉘우침도 전혀없습니다,12
user-oh4kl4uh6k,딱 썩은곳에 기생하는 구더기수준. 존재 할 가치가 없다. 사형때리고 제발 집행 좀 해. 멀쩡한 장기라도 떼서 아픈사람들한테 이식해주면 제대로 살사람 살리는게 그나마 합리적인 방법아니냐? 스스로 인간이길 포기한것들 재활용조차 안되는 저런거 밥먹이고 재우라고 세금 축내는게 무슨 의미가 있는데? 인권? 적용하려면 남을 해치지는 말아야지. 막말로 무기징역이든 사형이든 그게 처벌이냐?,9
user-fm7pf1it2r,징역 300년 내려라 저런 것도 사람이라고 나랏밥 주냐,5
user-hg2mo1wl9k,사형이 없어지긴 했지만 이런일 접할때 마다 국민들 사형이다 사형이다 외처도 법앞에선 우리네 국민은 속수무책 일수밖 에 없군요 무기징역보다 사형을 내려주셍요 무기징역은 수년살다보면 모범수니 어쩌니 하고 나올수있지만 죽일수없는 사형을 내려주시면 가석방없는 감옥에서 죽을수 있게끔 ᆢ국민의 세금으로 삼시세끼 처드시겠지만요,5
user-mw1uq5vg2k,무죄주장을 가중처벌해서 무기징역 나와야하는데... 저것들이 사회다시나온다고 제대로 살겠어? 또 선량한사람인생에 칼을꽂고 빨대를 꽂을텐데..,2
user-op8bf7qs7x,무기징역 해야합니다 저런게 아오면 또다른 사람이 당할수 있다,1
user-pi7um6fc4p,보험금? 징역 8년 더 늘려야 한다고 본다,18
user-bl9hp4vh6f,절대 징역형을 끝까지 살게 해야 한다 인간이 아니다,0
apple_tree,돈도 못 받게 해야하고 무기징역도 확정돼야 하고 인생에 절망이란 절망은 다 줘야됨,0
immaculate86,사면 특사나 감형없는 무기징역을 대법원에서 내려주면 좋겠다,0
stern121,그나마 언론에 알려져서 전 국민의 공범을 샀기에 감형이 없는거지... 언론에 알려지지 않았더라면 2~3년형?....어쩌면 집행유예까지도 가능했을거다. 판사들이 누가 보지 않으면 무조건 감형한다. 그래야 자신들이 나중 변호사가 되었을때 감형하는 관행으로 부자가 되는걸 방해 받지 않기 때문이다.,1
newyawl,반성문 찢어 버리고 형량을 더 올려야 하는거 아니냐 ?,10
sergey-dp9ue,와~~~~절대 사면없는 무기징역에 쳐해야하는것 아닌가요? 해도해도 너무하네요 인면수심!,1
ilikemissy,만약 판사나 판사 아들이 피해자였다면 검찰 무기 구형하고 법원이 무기로 판결할 수있을까,5
awesomecar7234,얘는 진짜 역대급이네 ㅋㅋㅋ 무기징역받고 평생못나올텐데 그안에서도 돈돈 거리고있네 ㅋㅋㅋㅋㅋ 진짜 레알 ㅋㅋㅋㅋ,4
user-zw7mg1qz4n,"어이없내,, 연쇄살인범도 구치소에서 잘살고있는데,, 1명살해한거가지고 무기징역은 과하다,,",2
user-qs5nf6wk3m,아이고 저와중에 또무슨 보험금이야ㅠ 무기징역인판국에ㅠ 우리같음 돈이생각이날정신이나있을련지ㅠ세상은 요지경 요지경속이다아,1
user-tr5uy4sm3c,근데 이딴건 무기징역과 30년인데 왜 그냥 우발적 살인이든 그냥 살인이든 저것보다 형랴이 낮은걸까 무족건 사람을. 죽이면 저따위로 형량 먹여야 되는거 아닌가?,1
