작성자,내용,추천수
user-lu6ue3xy6m,이미 예전부터 소송중이었고 옥중에서도 이어진거겠지 옥중에서도 이렇게 내보내면 오해의 요지가 있다. 그리고 사실상 소송중이지만 지네 판결을 저렇게 받았으면 소송을 빨리 접었어야지. 뭐한다고 붙잡고 있나... 이미 판결이 난거나 마찬가지지,4
user-it1tb4mg1o,믜기징역인데 굳이 남편 사망보험금 8억을 받겠다고 악을 써네.보험사?만만하게 봤다간~절대 안준다.무기징역인데 8억 받아서 뭐하냐?애인 조현수는 30년이란다.,5
user-yj8fi8qr8u,사형시켜야지 무기징역이 뭐냐?,5
kth4333,이래서 흉악범은 무기징역도 가석방 없는 무기징역을 때려야 한다.,1
kor1739,앞으로 30년은 이상은 징역을 살아야 하는데 영치금이 필요한거지..누가 영치금 넣어줄 사람도 없으니 그거라도 있어야 병신 취급 안하지ㅋㅋ,0
user-ln1ov1pi6v,감옥에서 돈을? 달라고?... 인생 무기징역 쫑!났는데 돈을 달라고? 그돈! 감옥에서 어디다 쓰게요... 화장지 대용?...,0
user-ty2mc2gm6h,은해소리만드러도 내가아는곳이라면쇠망치로한방죽여가족생각하면 판사님가족라생각해사형 사형보다더뭇ㅓ운것있어요바로나 만날수만있다면 가족에한풀이내가새줄건뎌,0
kdm7501,무기징역인데 돈쓸일이 있겠냐?,1
user-ty2mc2gm6h,나쁜것 죽여 남편.하지마 남편이라생각하면 배배로족여 그래야내가분풀려조그아도살것같이법만아니며래가죽여 내분노가미쳐버릴것그냥죽여 무슨법 죽여그냥국이라고 은해흥 죽여법이건아니야 판검사안할겨 죽여,0
user-we7cw2jr7q,무기징역인대 얼굴왜가려? 살인죄는 돈으로도 모범수로도 석방이 불가능한대?,0
user-zw9ws5gj5j,무기징역인데 8억을 달라는게 ㅋㅋㅋㅋㅋ 물론 말만 무기징역이지만 한 10년안에 출소하긴함,0
akaikuni,"무죄 판결을 받아낼 자신이 있는 것인가?! 8억에 대한 집착, 대단하다~ 평생 감옥 안에 있으면 돈이 무슨 소용~ 최종 무기징역 확정 받아야 현타 좀 올려나~ 빌라왕, 건축왕 이런 애들도 무기징역 판결 좀 내리지~ 8년 때리고 장난하냐???",0
ok3884,보험금 수령해서 좋은변호사 사서 감형하려고 최악의 발악하는거다 어차피 안되겠지만 평생 교도소에서 살다가 60대후반쯤 할머니되서 나오는건 기정사실임,0
