작성자,내용,추천수
user-lt6bw6nu9d,재판장님 부디 현명한 판단해주시어 무기징역 받을 수 있도록 다시는 절대 절대로 사회에 발 딛을 수 없도록 해주시기를 바랍니다. 몸도 마음도 억울하고 고통스럽게 죽어갔을 피해자를 가여이 여기시어 꼭 선처없는 판결 부탁드립니다.,317
user-lu2to4fe2v,검찰이 무기징역 구형했으면 이번에는 재판부에서 형량 낮추지말고 오히려 높혀서 사형선고 해주세요. 재판부 믿습니다. 꼭 사형선고 부탁드립니다. 한사람을 저렇게 오랜시간 처참하게 괴롭히다. 죽여 놓은 인간에게는 이 사회에 있을 권리도 없습니다.,200
user-iw5le3gq6z,왜 우리 세금으로? 무기징역? 우리들이 내는 세금으로 왜 저것들 먹이고 재워야하나요? 우리나라 사형 제도 다시 부활해서 사형 시켰으면 좋겠습니다. 피해자분 삼가고인의 명복을 빕니다. 피해자 유족분들 힘내세요.,99
user-dg2mi2ru8u,잘못을 했으면 솔직하게 말하고 용서를 구해라 재판장님 엄벌 반드시 내려주세요,32
TomoBijin,"1심에 사형 나와도 무기가 되거나 가벼워지는데 1심부터 무기라면 또 터무니없는 형량 나오겠군요, 늘 뒤통수치는 아주 훌륭하신 판사들이 너무 많으셔서 . 여론땜에 할 수없이 무기, 잠잠해지면 가석방? 어느샌가 우리랑 또 섞여 살겠죠. 한 두번였어야죠. 미안하지만 신뢰감 제로네요..",40
user-xm9zl9yp9u,살인자는 가석방 없는 무기징역 바랍니다,44
user-zc9vx4qw6p,진짜 엄벌에 쳐해주세요. 검찰이 무기징역때려도 판사가 가볍게 때리면 아무소용 없는데. . . 요즘 판사들이 워낙 관대해서. . . . 걱정입니다.,82
user-nq8jb1mm1s,저런 악마들이 무기징역이라니. 사형미 답인데,75
user-zm8jn5bs2p,재판장님!!!!!!!!!!!!!!!!!!!!!!!!! 현명한 판단 반드시 부탁 드립니다. 손이 떨리고 입이 떨리고 몸이 부르르 떨립니다.,2
myongkim76,나오면 머릿속에서 나쁜짓만 할것임니다 항상불평 .끝까지 반성안하는것으인성이나쁜인간. 검사님 듣지마시고 . 연기도잘하고 아주둘이짝.... 사형아니면 무기 로 회개하도록 감사함니다.,12
ehs3863,사람 목숨을 끊어야 사망한건가. 목숨이 살아있었어도 죽음보다 더한 저 여자랑 살아있던 고통을 준건 살아있음보다 더한 고통인걸. 끝까지 뻔뻔한것들. 무기징역하고 나중에 풀어주지마라.,78
nuzdok,꼭 사형선고 났으면 좋겠네요. 무기징역은 감빵에서 생활잘하면 모범수로 나올수 있지만 사형수는 모범수로 감형되도 무기라서 감빵에서 나올수가 없음 꼭 사형선고 받아서 사회로 못나오게 만들었으면 좋겠네요,14
user-fr8wy9ie9o,악질같은 인간들 무기징역이 뭐야~~사형으로 없애야해,22
peice4637,무기징역이믄 저런 악마한테 세금으로 평생 먹여주고 재워주고 하는게 화나네 변호사는 저런걸 맡아서 저런황당한 말을 하다니 미친다,14
user-yb7fz8mh7t,"집행도 없는 사형이나 무기징역이나 그게 그거지만 그래도 압박감을 더 줄수 있어 통쾌 했을텐데 조금 아쉽네요!변호사 역활에 당연 한거겠지만 저것들을 사람이라고 변호한것도 합리적 앞뒤 맞지도 않는 괴변 늘어놓는것도 꼴보기 싫다!은해년 끝까지 변명 늘어 놓는거 보니 넌 사람될 가능성 1,도 없네~천벌을 받을것이다",7
namicaell,무기징역이면 평생을 세금으로 처 먹여야하자나요~ 저런 것들 세금으로 처먹이는거 열받아요~ 걍 사형으로 보내버렸으면 좋겠습니다.,21
user-lo5yr3pc2q,너무나 선량한 사람을 착취한 것도 모자라 죽이기까지 한 이 쓰레기만도 못한 인간들은 사회악이기 때문에 무조건 사형시켜야 한다. 무기징역도 너무 가벼운 벌이다.,7
user-bs3nu7wm4u,무기징역해야마땅...사형시켜야마땅,56
user-hv4gn2ct4n,정말로 잘한 것 같아요 판사님들이 정말로 판사를 잘하신 것 같아요 그렇게 나쁜 사람들은 감옥에 오래 죽을 때까지 나오면 안 됩니다 풀어주지 마세요 조두 선도 풀어주셨는데 그 사람도 위험한데 아이는 안 지켜주고 조두 선을 지켜주더라고요 그거 보고 너무 속이 상했습니다 우리 대한민국에서 나쁜 사람들은 제발 감옥에서 빼 주지 않았으면 좋있습니다 한글날이나 총 1위 나 무슨 일이 생길 때마다 자꾸 나라에서 사람들을 죽이라는 것 밖에 더 안 되는 것 같아요 제발 풀어주지 마세요 위험한 사람들은 풀어주면 서민들이 다 칩니다 그러면 다시 그 사람은 감옥에 가겠죠 그러면 또 풀어주실 건가요 참말 궁금합니다 저는 이 세상의 지옥이 따로 없다고 생각합니다 제가 비판을 하는 게 아니라 우리 대한민국이 정말 안전하고 좋은 나라라고 인식이 됐으면 좋겠습니다 지금 한창 뉴스에서 윤석열 대통령님이 오르락내리락하더라구요 정말 위험한 것 같아요 정치에서 탄 안에서 탄핵이라는 말이나 맞습니다 정말 이러다가는 국민들이 전부 다 일어날 판인 것 같아요 제가 봐도 너무 심한 것 같아요 나쁜 사람들을 정말로 많이 풀어줬거든요 제발 약속을 시켜주세요 정말 위험한 사람들입니다 제가 글씨가 들리더라도 조금 이해해주세요 현재 몸이 많이 아파 상태로 문자를 하는 거라 신뢰가 된다면 죄송합니다 악플을 다닌 게 아닙니다 우리 대한민국을 위해서 이렇게 하는 거에요,6
heawonschweikert1487,재판에서 가볍게 판결이면 재판관들은 현명한 사람. 무겁게 판결나면 현명하지못하다 ? 인가 ? 앞으로 또 다른 선량한 사람들의 피해를 막으려면 ?,21
user-rp8vf8xk4r,그래요. 사형은 너무 간단하죠. 피해자를 괴롭힌 만큼 당해야죠. 감형 없는 무기징역이라고 해 주셨으면 더 좋겠는데..,7
