작성자,내용,추천수
user-fb7ev6po9o,100세시대에 50이면 세상을 또 시작할 수도있다. 앞으로 무기징역은 단 1년도 감형없는 평생징역으로 절대적으로 바뀌어야 한다. 이것들도 절대 다시는 세상에 나오지 않도록 해야한다.,36
CarBooom,"존경하는 재판장님 정말 제대로 된 무기징역이 나왔네요, 감사합니다.",60
user-bh9cr3jn6f,면죄부없는 무기징역이 되길...,69
user-jm3id7ml7d,이사건이 무죄되면 판사는 법대로 판결한거고 검사가 입증을 못한거다(입증하기 힘든건 알지만 꼭 입증해서 이런 범죄가 또 일어나지 않도록 본보기가 됐으면 좋겠네요..),0
heback9,무기징역보단 능지처참을 부활하면 좋겠네.,50
user-yb8ho6ui6q,무기징역은 25년정도 지나면 출소될수 있다는데 사형을 판결 못할바엔 차라리 형량이 제일 높은 40년형으로 판결나길 바랍니다,1
user-po4fn8yo2x,가스라이딩을 판사가 인정하게 된다면.. 치열한 삶의 경쟁은 서서히 길을 잃고.. 부족한 헌법의삭으로 검사생활을 하는 전체주의 나라가 될수 있을 뿐이다.,16
user-fn1fb2gc6c,저런것도 사람이냐? 무기징역? 그냥 사형이 답이야 왜 국민세금으로 편안한 감옥에서 밥을 먹여줘?,3
KPOPKeeper,감형 안되길 간절히 기원합니다.,6
whitebag3454,무죄 주장?? 무기징역 구형인데 사형선고 내려주길...,11
user-lk9em5tz8c,최소한 감형 없는 무기징역에 처해야~,8
user-sb5wl5wo8o,천하의 나쁜 ㄴ. 얼굴 뒤집어 까고 본전 생각나서 남자들 후리고 다녔냐? 본전은 회수하고 남았디? 존경하는 재판장님! 이세상에 저런 물건 존재치 않도록 사형을 선고해 주시기 바랍니다.,7
user-lx7bo1ho3b,즉시 사형해라 뭔 무기징역 ㅇㅈㄹ 사형제도 부활이 시급해보인다,8
user-uv4up8dh7o,이건 구형이니 선고는 좀 깎이겠죠? 그런데 검찰 구형과 판사 판결 구분 못 하는 이들이 있네요.,2
user-si4do6jh1o,선고공판에서 제발 무기징역!!!!,1
CarBooom,옛날 럽하우스 프로그램에 나왔을때 그 선해보이는 모습에 정말 감동이었는데.. 본인 부모님 얼굴에 칠하고.. 뉴스채널에서 무기징역 받은 것을 보니 정말 사람 일 모르네요.. 반성이나 하고있을지 모르겠네요..,4
user-il3cq5pm2o,무기징역이 모범수로 나올수도 있으니.. 사형으로 못나오게 해야함,0
user-makchang,계획된 살인에 무기징역 구형이라... 죽은사람만 억울한 세상이군.,1
chulgappa,고조선 8조법으로 다스리는게 맞다는 생각 조차 든다. 요즘 판사들은 너무 솜방망이 처벌하니...이렇게 되었으니 감형 없는 무기징역 꼭 가길,1
user-zj4gw8rd5f,범죄자들을 겁나게 보호해 주는 대한민국 그래서 예상 하는데 길어야 20~30년 떨어지면 다행... 검사가 무기징역 때려 봤자 최종 판결은 판사가 하는데 어떤 판사가 어떤 판결을 내릴지???........,0
you...85,무기징역하되 특사나 그런거말고 안풀려나는걸로 그리고 끝까지반성안하는 둘이 더 가증스러움,0
qqfpp7,근데 무기징역인데 석방되는 사례가 많이 있나요? 세상에 두번다시 나오면 안될거같은데,1
youngjabyun7056,감형은 하면 안된다ㅡ가스라이팅해서 보험들고 돈 착취하고 돈을 뺄 궁리만하고 외도를 하며 농락한 것이다ㅡ,0
user-ui4mx8hd7i,잘하셨어요~~판사님 만세 무기징역 대한민국 살아있다~~♡,0
user-sd5yu5ud5g,검사구형 뭔소용있노 판사가 소시오패스 성향이면 답이 없다 상고까지도 할인간들 인데. 무기확정까진 안심못함,0
chs316,그냥 풀어줘라 검사들은 접대받아도 처벌도 안받는데 쟤들만 처벌하냐?,1
user-hq8xb1dh4u,무기징역은 너무해요 죽기전 하루 영하 55도 노출로 출소해주시길 ㅎ,0
user-uo6wc4hn8e,죄 인정하는 순간 나락가니까 발버둥치는거봐라 그냥 살아라 무기징역이라해도 10년살다 나올 생각하고 반성해라 법이라도있으니까 보호받는거야 세금도 아깝다,0
sunghunchol9523,판사 살인미수 혐의로 5년에서10년사이 꽝꽝 한다,0
user-ks9gl2gx4n,글쎄 판사는 징역 5년정도 선고할텐데.,0
user-rh7xn4jp6l,안녕하세여 ㅋㅋ십년전 이은해로부터 지갑을 탈취당한 피해자입니다 ㅋㅋ징역 1년에 처해주삼,0
user-qq6zd3eu6h,얼굴반반한데 하루에10명씩 흑자지만 상대하게 해주고 외화벌다가 손님떨어지면 장기팔자 무기징역은 너무 관대하다,0
dccvvyuou272,무기징역은 당치도않다 사형을 구형해야한다,0
TV-un4jx,3심에 무기징역 확정인가요? 누가 대답점,0
jujaeyoun,#무기징역 #정상판결 #의도적 #복어독 #대화녹음,0
Sculy001,제목에 검찰이라고 왜 안씀?판사가 구형한것같잖아요..,0
user-bv3dn2fb6c,판사님 제발요 깎지 마요,5
