작성자,내용,추천수
ysson9611,"대한민국 건국이래 처음 강등 같은데 대단한 윤석열 정부, 똑부러진다. 존경스럽다",54
Lois-nh9eh,강등도 아깝다~~~ 저런 인간이 아직도 군인이라니,30
user-jg1yv2lt5o,잘못했으면 더한것도 감수해야지 좋은게 좋은거다라고 넘어가니까 요즘 공직 기강이 그모양들인거야,25
sanglee8338,법치국가다..화이팅,7
feseqw,와..진짜 쪽팔리겠다,6
user-ld9iy6dc3u,윤석열 생각보다 일잘하네 ㅋㅋㅋ,15
user-vp4ex2oo1f,왜 이런자를 강등? 당장 형사처벌하고 군복을벗겨라!,7
user-es8vp2ij3m,대령이 이등병으로 강등된 인간도 있다. 이등병으로 강등시키고 구속시켜야 한다. 연금도 박탈 시키고,3
user-sr6df6yl8u,이등병 광등시겨제대하길연금못따먹계하라,8
atcnara17,이등병 제대가 정딥입니다. 일도 안 하는 것 들은.,14
user-tq9md3oy4k,저건 잘했다 대의로 강등해라,3
user-ev7ut9dz3i,강등 잘했음!! 본보기로 !!완젼 잘함,25
ldhldh1929,윤석열 정부 진짜 잘하셨습니다 응원합니다,2
user-vz3uf9ol5t,유족의 요청이 강등이라잔아 / 근데 군대에서 별에게 대령으로 강등은 사형이야,10
user-cl8sq3eq8s,전역급 불명예같다 ㅋㅋㄱ,3
user-vq6rp8uw9q,이등병도 아깝다,1
user-es8vp2ij3m,웃기고 자빠졌네 저거 안되겠네 구속이 답이다.,0
user-yn9vo6zx2t,잘했다,6
user-gp2pg8en6x,대령도높다..!,0
user-ir6su2rz1j,뜨거운 맛을 보았구먼,2
user-do4xv8qw2q,"장군 강등이면 이등병이 올바른 것이지. 무죄한 피해자 보호하지 않고, 부실 수사한자를 겨우 대령으로 강등한다니 국민의 신성한 세금이 저런자의 월급으로 쓰이는것 합당하냐 ? 부실하게 수사한 조직은 왜 처벌하지 않느냐 ? 이거 꼬리자르기 ?",0
su-lf4xz,병사로 보내야지 꼴랑?,1
user-bg2vo4vb7t,똥별이 떨어지는구나 쪽팔려서 어떻게 사나,0
user-ug5nv1nd1p,똥별들이 ㆍ넘쳐나는구나?..,0
user-yn2sy6jp5c,공무원 공겹 견찰등등~기강 똑바로 잡아야지,8
user-cu7ve3lk6e,ㅋ 잘 했다 ㅋ 똥별들에게 교훈이 되길!,13
kyjung6399,어차피 전역할때 장군달아줄텐데 연금달달하겠다,0
bklove4499,이등병으로 해야지,0
burn_in,줄줄히 강제 전역ㄱㄱ,7
marcchoi5420,그래서 녹취 위조한 군인그ㅓㄴ센터는 어케되는데?,0
user-ki9en5dq2h,쪽팔리게 ㅋㅋㅋ 옷 벗어라 ㅋ,1
user-we9cn1vx5t,준장이 269,1
user-ty9in8fp8v,근데 윤석열이 잘못한거는 왜 책임않지죠...??,2
user-pz8ht8oy7s,이등병으로 강등. 군복 벗어야되지,1
user-zf4ls7ys5d,잘했고 그러타면 이상민 한덕수도 모가지를,0
henrykim6365,잘했다,1
