작성자,내용,추천수
Freedom_Republic_Of_Korea,"병이 아닌, 특히, 간부들 위주로는, 간부답지 못했을 때, 1계급 강등 뿐만 아니라, 계급 강등을 원칙으로 해야 함. 필요하다면, 병으로까지, 강등 처분 날 수 있도록 해서, 군 간부 기강 확실히 잡아야 한다.",46
hyung-seonham5828,"소중한 사람이 세상을 떠났다는 걸 감안할시에 1계급 강등이라는 징계는 다소 약한 느낌이다. 사실상 면직이나 퇴출을 바라지만 기득권으로 인해서 힘들테니 3계급 강등이라면, 납득될 것 같다.",15
asdf12q1,.. 계급 강등이 아니라 파면해야지..,43
user-jk2je9yw8o,똑같이 더 강한 강등이 되어야 되는거 아닌가,22
arm-9684,대위로 강등시켜도 시원치 않을 판에 1계급 강등이라고? 파면시켜야지. 화가 납니다.,6
akoreanman,범죄 소행으로 보면 이등병 강등이 맞다.. 대령 강등은 솜방망이 물같은 처벌이다!,6
jeongwon0060,공군이면 별달기도 어려웠을텐데ㅋㅋㅋ,14
katelee7897,강등이 다냐? 살인죄로 감옥에 처넣어라. 연금은 꼭 박탈하고!!!,7
user-mq7ow2mj2v,이예람 중사를 죽게 만든 가해자들 중 한명이나 마찬가지였는데 카메라 보고 뻔뻔하게 구는 거 보니 진심 소시오패스구나. 그알이 보면 이 세기가 얼마나 이중사를 피 말려 죽였는지 알수 있음. 나쁜 세기. 불명예제대 같은 게 마땅한데 아주 처벌이 가볍네.,22
MrBrill99,"겨우 1계급? 이러니까 국방부가 엉망이라는 거다. 성추행사건의 피해자가 억울해서 죽음을 선택했는데, 여론으로 특검을 한다고? 이게 할 말이냐? 이런 인간이 공군 법무실장을 했는데, 피해자들의 억울함이 얼마나 밝혀졌겠냐.",5
bluejay769,한 집안의 소중한 자식이 세상을 떠났는데 사건조사 무마시키려고 하고 녹취록도 변호사와 조작하고!!!! 하늘 무서운줄 모르고 인간으로서 하면 안되는 부끄러움도 모르는 자. 이제 고 이예람 중사 이젠 조금이나마 편히 잠드시길 바랍니다.,3
jungws1910,"강등말고 파면해서 군연금도 못받게 해야하는거 아닌가요??? 이런거에는 너무도 관대하네,,",7
eun4749,아예 파면시키고 감옥 들어가야죠?,8
fivefinger987,아니 형사처벌받고 감방가야 정상아님. 미친헬조선,7
jayjayjang8725,진짜 요즘세상이 어떤 세상인데 갑질을 하고 성추행을 하냐? 사람들 휴대폰. 스마트 워치. 태블랫 노트북. 모바일기기만 2-3개씩 항상 몸에 지니고 다님. 갑질. 범죄가 대중에 공개 안되고 잘넘어갈 것 같냐?,10
user-bl3ch8my1d,고작? 대령이 아닌 병사로 강등시켜라,8
uji4510,대령이 아니라 파면 구속,4
tkeating1533,저런 넘은 총살형에 처해야 마땅하다! 이적행위자나!,1
capachun4588,"이런 인간이 공군준장으로 완장차고 있으니 공군법무실이,썩지",2
provi3606,이병으로 해야지 그게 뭐냐,8
user-pb1mq1yf4p,나쁜 놈의 최후가 그리 통쾌하진 않네요. 약한 처벌 수준이라..,20
roadfightermr.878,공직은 전재산 몰수해야 진짜 처벌이지~~~ㅋㅋ 무슨 계급 하나줄이는게...솜방망이 쇼잉처벌이다~~,20
user-xf1ov3ul4z,"강등이 아니라 파면시키고 감옥을 보내야지 뭐하는 짓인지.ㅎ 처벌이 저따위니 반성이 없지. 저런 쓰레기들은 재수없게 걸렸다고 짜증내지, 반성과 사과따위는 안합니다. 한심하다.",13
user-mi7vi1ke6k,저런건 군인연금도 못받게 해야 저런게 장성이였다니,0
user-dd6ng2nn8r,충격이다.? 장군에서 영관급 징계면 충격이 클듯.. 잘못하면 강등 징계는 모든 장교에게 적용되어야 할듯..,5
user-rw7ki9vh2l,겨우 대령? 일반병으로 강등시켜야지.,3
jsh7029,징계는 해야겠고 또 과하면 선례를 만드는거 같아 찝찝하고 그런거 아니겠습니까,0
user-td7jy4wi1x,애 그것이알고싶다에서 피해자 성추행때문에 안죽었다고 더 조사해야한다던데 끝까지 반성을 모르고 가해자들 다 이렇게 위선 떨며 사는구나 생각듦,0
parable-sh4hl,연금 70%삭감해야.,11
user-ze6jw9po9q,뭐야 이런애한테 세금으로 월급 계속나가??? 이게 나라냐!!!,1
jmLim_,그러길래 공정하게 윗선눈치보지말고 자기 책무를 제대로 했다면 .. 자업자득이다,0
fhgezgu9754,공군 지휘부도 징계해야한다,0
user-ty9sq8yu6f,"이병으로강등되야지 하나회,알자회도 쯧쯧",3
taegyukim8244,그래도 부족하다,8
yh-xs4ue,강등이 아니라 파면해라,1
user-zh9ob7qy8q,우째 대통령이 저지경이면 9급으로 가는건가?,3
user-eg1gt7ey1w,"계급하나 깎는게 합당한 징계냠마.. 내년이고 내후년이고 여론 잠잠해 졌을때, 진급하면 도로 준장인데??",7
user-kw6kl2jm4b,굉장히 뻔뻔한 인간이네.전실장 파면하고 연금도 주면안됨.,0
elykim2934,저딴게 군장성이었다는게 군이 썪었단 증거지,0
