작성자,내용,추천수
user-do1vi5oj1o,고인의 명복을 빕니다~,22
user-hu9qb8xm9o,고인님의 명복을빕니다 안타깝습니다,19
ilinja,대한민국 정부로써 아주 부끄러운 순직 처리다. 가해자의 재산을 몰수하고 죽을 때까지 유가족의 마음의 치유에 평생을 받치게 해야한다.,5
cruisek7321,제발좀 법좀 개정해라 이젠 개개인의 윤리도덕 양심만으로는 안되다 법이무서워서 범죄를 못저지르도록 규제해야만한다,26
user-xw9yv2th1o,천벌받아라 니들은 사람아니다,19
user-tl5nz7pz2q,순직 인정 했으니 가해자 처벌 해야지.,9
raruna,삼가고인의 명복을 빕니다.,1
wogns,그곳에서라도 편히 쉬시기를...,3
user-pu6hc7mo3k,그나마 다행이다 부디 편히쉬시길.,3
user-zc9mz6kn1y,너무 당연한 것이 참 오래도 걸렸네요.,3
wz4372,"20개월 걸리는 한국군대 수준 정말 아득합니다. 이러니 어지간하면 그냥 묻히고 넘어가는 사건들이 얼마나 많을지 사람이 죽어도 20개월이니 그 이하로는 없는걸로 넘어가겠죠. 저는 군대 복무중에도 휴가나오면 일반인들 보기에 챙피했어요. 군인신분인게요. 왜그랬는지 모르게 위축되고 사고에 휘말리면 안되니 조용히 지내야 된다는 강박관념도 있고요. 지금도 생각해보면 남자들 사이에서 무시안당하려고 다녀온 군대지 다녀와서 자부심도 없고 좋은기억도 없습니다. 군필이라고 대우받은 기억도 없고요. 딱히 군대다녀와서 잘했다는 생각이 드는일도 없고, 정말 안다녀오는게 최선인거 같네요. 군대를 마치 전과기록 없는 교도소 다녀온 경험수준으로 만드는 사회가 문제인거 같습니다. 대한민국에 태어난 죄로요.",2
user-ck2ih6pw8b,40이상 늙은것들은 거울좀보고 제발 업무외에 건드리지마라 너네도 70대할머니가 들이대면 싫잖아?,14
user-fs6gc1we9z,당신들에 딸이 저 같이 당했어도 이따위로 대우 할거냐? 아무리 군이라는 특정 집단이라고 하지만 이게 나라냐? 나라 지키라고 보넸더만 죽어서 돌아 왔다면 어느 부모가 참겠냐? 분명히 중죄이며 강력한 처벌이 따라야 저런 일이 다시 안생긴다. 나 같으면 같은 하늘아래 못산다.,10
user-ml1of2tm5d,공군에서 이번에 병사를 이지매시켜서 자살하게 만들었더만 간부까지 포함되어있더만 ... 공군은 자살양성소냐??,2
user-ln9fj6yk4l,가해자 신상 공개,3
intaeju5637,Friendly Fire랑 뭐가 달라 이게.....중징계해야함,0
fafagod1,이게 나라임?,3
user-fw3eh7ps5u,극우파 이분 욕하더만 ㅋㅋ 조.중.동과 더불어 말이야,1
prestetuu2611,북한 무인기가 휘젓고 다녀도 아무것도 못하는 군대 인력관리도 개판,1
user-ll5tj5ll4q,늦었습니다...,2
Viktor-uf2so,그럼 업무 스트레스로 자살한 것도 순직이냐? 군대에서 구타 당해서 자살한 것도 순직이고 경찰관 소방관이 성적 수치심 때문에 자살한 것도 다 순직이겠다? 사전상 순직 의미도 업무 도중 목숨을 잃는 것이라고 나오는데 자살도 순직처리가 되는구나...,1
user-bi3zl6ic9u,근데 왜 순직임? 이럴꺼면 한해에도 순직자 한트럭으로 나올듯,1
user-cd9sy8eg8e,이해는 한다만 이게 어떻게 순직이지??? 얼탱이없네 순직기준이 머임??,2
user-ng3nm8do2k,하사관 무식한 애들 뽑지 마라...과거 이런애들 많이 뽑아서 군대에 또라이 하사관들 많다.....지덕체가 있는 하사관을 뽑아라. 하사관은 전투력의 근간이다. 이런 부류가 많아지면 전시에 누가 싸우냐?,0
user-jk4jb4ml7l,이예람중사 아버지도 처벌받아야하는거 아닌가요 법정에서 물건들고 위협적인 행동했잔아요 특수협박은 친고죄가 아니지않나?,0
kunmoo-yi7ky,누가 부사관하라고 칼들고 협박함?,2
kahava1,자살은 죄인데 왜 순직입니까 근무서면서 피해를 받은건 신고하고 법으로 다스려야지 자살로 보복하는건 미련한 짓입니다,3
ryu2151,이예람 중사 의 도움을 거부한 하태경과 신원식은?,3
