작성자,내용,추천수
user-qi6od2br5e,듣는것만으로도 구역질나고 피가 거꾸로 솟는데 피해자분께서는 얼마나 고통스러우셨을까요 용기내주신 피해자분께 박수드립니다.,3.1천
user-mb6bo9ss2n,12살 빠른 초경으로 인해 내 몸은 성숙했고 사촌오빠는 저를 성폭행했습니다 아무도 없는 사촌오빠 집이었고 어느방인지 어떤 구도였는지 한번가본 제가 지금도 기억납니다. 법으로 할 수 있는 기간도 지났고 당시엔 가족 전체가 숨기기 급급했습니다 외할머니 장례식에서도 낄낄대던 그새끼 처벌 못한게 한입니다 27이 된 지금까지도 가족들을 원망하고 미워합니다 그 쓰레기가 새 가정을 꾸리기 전에 아내될분에게 말할겁니다 또 지금 공기업 다니는걸로 아는데 제일 행복할때에 회사 게시판에 올릴겁니다 다들 그렇게 해요 우리 그럴 자격 있어요,216
user-rt1qj9ws8c,인간이기를 포기한 자들이 우리 곁에서 같이 숨 쉰다는것이 한탄스러울 뿐입니다. 친족성폭행 피해자분들의 쾌유를 빌며 강력한 법안이 만들어지길 바라겠습니다.,994
park88891,"현직 8급 교도관입니다.먼저 피해자분께 대한민국의 교도관을 대표하여 위로의 말씀 전합니다.현장경험자로서 대한민국 징역의 졸속성과 인권의 그늘아래서 벌어지는 부실징역의 실체 그리고현장근무자들이 격는 어려움을 피해자 분들께 알리고 싶어 이렇게 나마 유튜브에 댓글 남기게 되었습니다. 범죄자 징역 사는거 다 부질없는 짓거리입니다. 선량한 준법시민 여러분들이 생각하고 기대하시는 그런 징역은 대한민국 어디에도 없습니다. 징역 형기가 중요한 게 아님. 이미 인권의 그늘 아래서 대한민국 징역의 위화력은 사라지고 꿀징역만 난무하는 게 오늘의 현실 일례로 난동 부리는 수용자 진압하다가 손톱 반만한 상처나면 독직폭행으로 처벌받고 합의금 물어주는 일이 다반사 성폭력 전과자,조직폭력 전과자가 교도관이 자기 고충처리 늦게 했다 상담 늦게 했다고 무고성 고소하면 사실여부와는 무관하게 무조건 담당 근무자 중징계 때리는 교정본부 클라스 새벽에 수용자 변소에서 자살하면 다음날 밤샘근무한 직원 소환해서 열시간 강압조사하고 징계먹이고 직원은 자괴감만 들게 만드는 병신 법무부 교정본부 제가 느낀 현대 행정의 교도관의 역할 그냥 약간의 월급 받고 범죄자의 잘못을 대신 벌받아 주는 사람 딱 그정도 이런 상황에서 강력범죄 누범들에게 대한민국 징역은 범죄자의 쉬어가는 코스 더 궁금하신 분들 댓글로 질문 달아주세요 꿀징역의 실체를 알려드릴게요 아울러 추가적으로 내가 생각하는 교정본부:자신들의 영전을 위해 일선직원 희생시켜 수용자의 인권을 챙겨주고 피해자의 가슴에 두번 대못을 박는 세금 낭비의 대표적인 부서",579
user-wj9kd2pt4v,가슴이 답답합니다.. ㅠㅜ 어떻게 이런일이 .. 이런일이 더이상 생겨나지 않도록 안전망이 구축 되었으면 합니다..남보다 더 못한 가족이란 이름으로 상처받은 모든이가 치유될수있길 간절히 기도합니다..,1.7천
user-vx6dw6do3y,전 친족은 아니지만 외부인한테 두번이나 성폭행 당했었는데 부모님은 외면하시고 제가 어떻게 꼬셨겠지 그런말을 하시더라구요 7살이었는데.. 커서도 트라우마로 힘들어하는 저한테 되려 정신이상자라며 정신병원 입원까지 시키셨었습니다.. 많은 피해자분들 진짜 힘내서 살아나갔음 좋겠어요,184
r.o.k_navy3051,진짜 미친..... 남동생이랑 자기 친엄마하고 그짓을..... 그리고 입막음용으로 남동생이 누나를..... 아 진짜 이러면 안되는거 아니냐? 짐승보다 못한 인간들아,2.9천
user-cx1tc5bi4v,저도 초등학생때 친족 성폭력을 당한적이 있어요 지금이 시간도 별로 지나지않은 6학년이지만 부모님에게도 말하고 싶어도 힘드실까봐 이야기를 못드렸어요 이영상을 몇만명의 사람이 볼지모르고 몇십만명의 사람이 볼지 모르는데 용기를 내시고 말을 꺼내시는것 자체가 많이 대단하신것 같아요 이런 피해자분들이 더 생기지 않았으면 좋겠어요,1.2천
silviajm759,진짜 영화 보다 더한 일이 현실에서 일어나고 있었네요. 가슴이 미어집니다..,1천
togilove534,친족간 성추행 정말 많다. 특히 사촌오빠들 정말 주의해라. 친척오빠들이 집에 오면 어머니들은 자기 딸 눈안에 넣고 잘 감시하고 보살펴야 한다.,574
smoltis8887,하루하루 뚜벅뚜벅 살아주세요ㅜ 얼마나 고통이 크실지 상상도 안되지만 응원하고 목소리 내시는 피해자분들의 용기에 진정한 박수를 보냅니다,406
user-sf8ny3qi8u,너무 슬프네요. 이 분들의 고통이 사라지길 바랍니다. 우리 사회도 더 적극적으로 이들을 보호했으면 좋겠어요.,49
user-pc4zi6ch7t,"와..엄마가 아들이랑? 와 미친년 이네.,.진짜.. 저런 엄마가 다 있냐.. 자기 치부 감추려고 딸을 강간하라고 아들을 보내? 와..피해자분 진짜 그동안 어찌 사셨데.. 버티신게 대단하네요..힘내세요",2.1천
user-wx8tq4im5d,"이 영상과 책이 널리알려져 많은 관심을 받게되어 법이 바뀌고, 아직 용기내지 못한 피해자분들께 용기가 되길 진심으로 바랍니다.",261
hihee3879,어떤 범죄든 공소시효는 없어져야 된다! 힘내세요!,325
subinlee621,피해자가 더 가슴아파야하는 현실..ㅠㅠ 가슴이 메어집니다. 친족 성폭행 공소시효 폐지를 지지합니다!!,45
onioni8240,"용기 내어 주셔서 감사합니다. 저도 친 남동생에게 자는 동안 성추행을 당했었고, 이를 모친에게 알리자 모친은 회피하고 오히려 제게 큰 소리로 화를 내서 난감했던 적이 있습니다. 수년이 지나도 잊혀지지 않아서 저희 아버지께 그날의 정황을 생생하게 알렸고, 아버지는 그나마 제 편이 되어주었습니다. 하지만 아무래도 부모로서는 집안의 수치로 여겨지는 것 같더라구요.. 나중에 다시 저를 외면했던 모친에게 그날의 기억을 상기시켰으나 기억 안 나는 척 하더라구요. 여차 저차 하여 결국 남동생으로 부터 사과를 받아냈습니다. 사과 아닌 사과였지만 면상 까고 그날의 기억을 정확하게 말을 했더니 못이기는 척 사과를 하더라구요.. 이와 같은 상황을 방치하는 부모는 부모로서의 자격이 없습니다. 다시 한번 말씀드리지만 용기내 주셔서 정말 감사합니다..!!",885
parkilyeop0,내가 앞부분1분을 보는데 뭘본건지 모르겠다 숨이 막히고 손이 덜덜 떨린다 그모든 고통을 오롯히 지고온 피해자에게 큰 위로와 지지를 주고싶다...당신이 겪어온 모든 고통을 한번에 뛰어넘거나 없앨수 없지만 당신의 삶에 평화가 오길바랍니다,146
liillliilllilll,민지님처럼 저도 성폭력이 뭔지도 몰랐던 어린 나이에 두번이나 성추행을 심하게 당했어요.. 근데 모르는 사람이고 옛날이라 증거도 없고 해서 혼자 상처만 남겨두고 있는데 가해자들과 혈연으로 얽혀있다니 너무 끔찍하네요 정말 ....,595
user-qn1hc9gc1i,듣기만 해도 역하고 비위가 안좋아지는데 저걸 겪으신 분은 대체 어떻게 버티시는건가요,1.5천
decenber7252,힘내세요.. 당신들 잘못이 아니에요..앞으로 행복하시길 진심으로 바랍니다,161
user-if4sm4ff4c,얼마나 힘들었을까.. 그마음 다 이해하지 못하지만 너무 고생했고 이제라도 행복하게 잘 살아주셨으면해요,28
K-Bella,와 1분도 안되서 어질어질하고 울렁거리는 내용이네요....당사자들 얼마나 힘들고 평생의 고통일까...,477
haewooyang5349,화나고 눈물이 납니다. 피해자 분들 정말 잘 견디셨고 용기 내신것 감사드립니다. 친족 모든 성폭력 근절을 위해 함께할 수 있는게 무엇인지 고민하게 되네요.,26
user-kg6cz7ep8z,역겨움 그 자체 피해자분들 정말 수고 많으셨어요,60
ahn1205,존재 자체로 존귀한 당신들 살아주셔서 감사합니다.,223
heatstroke5625,"어떻게 가족이라는 이름으로 이러나. 피해자들이 마음 놓고 편하게 살 수 있는 세상, 그전에 성범죄가 없는 세상이 오길 바란다. 힘내시길 바라요 응원합니다.",96
ltl7825,특히 아이들에관한 사건은 공소시효 자체가 없어져야한다고 생각합니다.. 마음이 아픕니다 ㅠㅠ,32
user-su8ym3fs4v,용기내주셔서 감사합니다. 앞으로 행복한 일만 가득하시길 기도합니다.,23
user-wd2li2ge2d,딸 둘을 둔 아버지입니다. 피해자분들...뭐라 위로할수 있을까요~ 가족이 저러는건....힘내십시요~ 가족을 떠나 새롭게 행복하게 사셨으면 좋겠습니다.,124
user-sh5xp7js7f,엄마랑 아들이 성관계 말이 안나온다…. 피해자분들 힘내세요 ㅠㅠ,218
solitude_0722,정말 경악을 금치못했습니다.. 얼마나 고통스럽고 힘드셨을지 가늠이 안갑니다..,147
user-rd7hn7bk2h,피해자 분들 착하고 좋은 분들인데 이런 분들이 행복하게 사는 날이 왔으면 좋겠습니다.,3
tomatooh167,힘내시고... 본인들 잘못이 아님을 아셨으니.. 자책말고 잊고 즐거운 일만 있으시길,3
user-vl6mu1dk1k,Castle가해자는 사회가 나서서 까부시고 손 좀 봐줘야합니다. 생존자 여러분의 숭고한 증언을 기억하고 격렬히 지지합니다. 이것은 생존자 여러분의 잘못이 아닙니다. 우리와 사회의 잘못입니다.,5
user-js7od6le7d,친족이 그런다는건 더나쁜건데 공소시효는 왜있는건지 이해가안가네. 인간 말종같은 쓰레기들 욕도 아깝다. 피해자분들이 조금이라도 고통에서 벗어나길 바랍니다,151
user-tr5mq5wf7y,"나도 여자고, 내 아이도 여자아이인데... 너무 가슴이 아프다.. 내 아이가 성폭행 당하면 난 아이 말을 전적으로 믿고 가해자를 어떤 식으로든 벌할꺼다.",466
JU-wg3er,범죄피해자들에게 정신과 치료를 꼭 장기적으로 해주셨으면 좋겠습니다.,62
user-ht7dx7tb6l,정말 얘기로 들어도 충격적인데 피해자 분들의 고통은 더 이루 말할 수 없겠죠. 성범죄자들이 공소시효 관계없이 마땅한 처벌을 죗값을 치르길 바랍니다.,76
user-ow3oc8ug8g,ㅠㅠ 너의 잘못이 아니야 모두 용서해주자 지금 여기서 행복을 찾아가자,3
user-iw8qj4zh6w,상상조차 하기 힘든 너무나 끔찍한 일들을 겪으셨네요. 그냥 뉴스를 보는 저도 이렇게나 답답하고 화가나는데 피해자분들은 얼마나 힘드실지 짐작이 가질 않네요.,70
user-dx6wj6wn3v,함영술 함영환 함영국 이남자 형제는 어린 여조카들을 몇년간 성폭행해온 파렴치한 들입니다 꼭 천벌을 받기를 바랍니다,6
user-ub7ok2fl8k,한 순간의 욕정을 이겨내지 못 해서 제 핏줄을 평생 벼랑 끝에 매달려 살게 하다니 그런 충동이 들거든 스스로 명을 달리해라 가치 없는 삶이다 피해자분들께는 감히 어떤 말도 못 하겠다,239
user-fv1xz6bg8u,용기를 내서 이야기를 해주셔서 감사합니다. 평생 갖고 살아야 하는 그아픔을 보기만 해두 숨이 막힙니다. 앞으론 좋은 사람들과 만나서 좋은 일만 가득했으면 좋겠습니다. 가족들하고 인연을 끊어내세요 ~ 저런 가족들하고 관계를 갖고 살 필요없습니다.,8
woongwoong,10년이 지나도 아직 청소년일 수도 있는데 현실적으로 너무 맞지않는 법이 꼭 고쳐지길 바랍니다.,0
user-fx4le7io2r,이 세상 삶이 끝이 아닙니다. 반드시 죽음뒤에 하나님의 심판이 있습니다. 이런 짐승만도 못한 죄 짓지마세요. 지옥을 우습게 보지마시길. 피해자분들 부디 아픈기억에 자신을 내어주지말고 지금부터라도 본인의 삶을 사시길 응원하고 기도합니다.,53
user-uw3ix8bn5x,"충격이네요. 당사자는 얼마나 고통이었을지ㅜㅜ 힘 내세요. 그리고, 끊어 내시고, 아이들은 행복해야죠.",10
user-cy7dm9uk5q,뭐라 할말이없네요 피해자님들 잘못이 절대 아닙니다 힘내시구요 열심히 사시기를 바랍니다,8
user-nl2dy5dv6g,저런 일이 생각보다 많습니다. 예전에 부천에서 청소년 상담하시던분이 생각보다 아빠가 성폭행 하는게 많다고 했습니다. 그게 25년전 이야기... 그후 얼마나 더 많은 일이 일어났을지.... 아빠 사촌 이웃 아저씨..등등... 조심해야 할 대상입니다. 인생을 살아오면서 한번도 경험 없는 여자분도 있지만... 중간 중간 더러운 얘기들을 여러 여자들한테 들어봐서리... 버스안에서 지하철에서 회사 남자 상사들 회식한답시고 노래방에서 더나아가 길거리에서... 수도 없이 노출 되어 있습니다. 부디 여자분들 조심하시길...,226
user-ck1lo7kj8d,영상에서 공감 많이 하고 갑니다... 초등학생 때 부터 가정폭력 당하고 중2땐 왕따당했는데 말할사람도 없고 고등학교 올라와서 온갖 범죄 다 겪고 방황하다가 20살인 지금 경찰 준비하고 있는 나 응원한다,36
user-ov2if2xn2j,"피가 섞인게 저주스럽겠지만... 힘내세요. 글로도 표현하기 싫을 정도로 역겨운데, 세상에 알려줘서 고맙습니다..힘내세요",47
sumjul9417,피해자 분들이 너무 끔찍한 일을 겪으셨어요...ㅠㅠ 너무 마음이 아프네요...ㅠㅠ 가해자 일에 눈을 감은 부모나 가해자인 부모가 어떻게 뻔뻔하게 했을지 알 거 같아요...,1
vt7286,절대 니 잘못이 아니야. 그리고 난 항상 니편이야. 이겨내줘서 고맙고 살아있어줘서 고맙다.,29
user-nl6co3vn3r,정삭적인사람이라면 저럴수가없습니다 진짜 동물 만도 못한 놈들이네;;;피해자분들 얼마나 고통속에서 살아가야하느지 참 마음이 아픕니다,10
illlliililili9228,엄마가 아들이랑은 진짜 충격인데....?거기다가 자기 아들을 자기 딸 강간하라고 부추긴다니...너무충격인데..?,867
user-ld6yq5ns6c,희망님 성함처럼 과거의 아픔을 딪고 새 희망을 찾아 남은 인생 행복하게 사시길 비랄게요.. 나머지 피해자분들도 마찬가지구요. 일반 성범죄와는 또다른 친족성폭력만의 고충이 있다는걸 이 영상을 통해 깨달았습니다. 친족간에 일어난 범죄이니 더욱 쉬쉬하고 피해자가 비난받기 쉽겠네요... 하... 안타깝습니다. 세상에 그런 인간같지도 않은 것들이 인두겁을 쓰고 인간인척 멀쩡히 살아가는게...,1
user-qy6ty8ee5o,현실에 기사를 낼수 없는 끔찍한일들이 생각보다 많이 있어서 모든게 기사화 될수는 없다고 말했던 사회부 기자분말이.... 진짜였던건가.. 너무 충격적이네요,35
user-zr4nr8im8f,의외로 성폭력이 많은 것 같아요. 거의 대부분 아는 사이에서 일어나는 것 같고 정말 속상하고 화가나고 답답하네요. 이런 일들이 주변에서 일어나니까 간접적으로 제 3자들의 영혼도 같이 죽는 느낌이 들정도로 정신적으로 힘드네요ㅜㅜ 공감이 지나치면 뭐라 하던데 세상은 알면 알 수록 참 답답한 ... 아름답기만 할 줄 알았던 시절이 있었는데 아니었다는 걸 알게되니 인생이 너무 씁니다.,13
Ellen3595,안타깝고 가슴이 아프다..회복되시길 바라요,6
