작성자,내용,추천수
user-zv9vb9bq6h,군대와 국가를 믿지 마세요. 그들은 국민을 헌신짝처럼 버립니다. 자기들의 이익을 위해서. 고인들의 명복을 빕니다.,115
user-ll3wz9ii3m,사회 곳곳에 아품을 찾아 주시는 뉴스타파 고맙습니다 언제 언론이 바로 설까요,106
user-ok3mk2kb9y,군과검찰 사법부 언론은 믿을수가 없죠,77
user-zl3rv2qp3k,폐쇄된 군은 절대 개혁될수 없다 군대의 민주화를 기원합니다,67
user-ex5hd3zm3g,진실보도 늘 응원합니다,95
user-yh1ib5pw4t,하루빨리 책임자처벌이 이루어지고 가족들이 일상으로 돌아갈수있기를 기원합니다,31
user-jf3lm1qo1x,세심함까지 갖춘 뉴스타파 사랑하지 않을수 없다. 고 이예랑중사님 하늘에서 편안하세요.,38
user-jh7vo6cn6r,군대도 정치색을 많이띱니다 군인들의 정치적 중립의무를 위반한거죠 보수라는 국힘당이 그렇게 만들어 가는겁니다,51
user-ro3zl7zx4t,고 이예람중사의 영원한 안식을 빕니다,54
zang9841,사실 적시 명예훼손을 폐지 해야 합니다. 인간들이 부끄러운 줄 모르고. 사실과 진실의 힘을 믿지 않습니다. 법이 사실과 진실을 존중하지 않기 때문입니다. 국가가 진실에 안중이 없습니다.,26
user-ll3wz9ii3m,너무 충격적 입니다 군들도 다 기득권 인가요 어찌 이리 억울한 일들이 눈물이 납니다,50
amberlee8163,고 이예람중사 사건은 가끔 떠올리면 너무 마음아프고 대한민국 어두운 면의 포본이자 집약체를 보는 것 같습니다ㅠ 부모님도 너무 현명하시고 말씀도 조리있게 잘 하시네요.. 부디 잘 극복해내시길요ㅠㅠ,38
user-fs3st2ig4y,뉴스타파 진실보도 늘 감사합니다,63
growtree1,이가족이 마주하는 절벽이 우리가 잘 아는 적국이 아니라 동료였던 군대라는 사실이 고인이 된 딸과 살아있는 부모님을 깊은 고통의 구렁텅이에 내몰고 있어 개탄스럽습니다. 삼가 고인의 명복을 빕니다.,14
yoonok-wc6cd,"저런법조인들 자격박탈하는 법도 만들라! 그리고 군, 관, 법조인은 특별법으로 공소시효도 없애라! 엄중처벌해서 다시는 법 근처에 얼씬도 못하게하라!",25
nseaw13579,참 저런 훌륭한 부모님 밑에서 자란 귀한 딸 그리고 국가의 큰 일꾼을 잃게 되어 가슴 아프다 사망한 딸의 고통도 크겠지만 그 일로 인해 이렇게 몇개월 몇년을 싸워야 하는 그 과정이 또한 무진장 힘들겠다. 아무나 하는게 아니 것 같다. 그러기에 훌륭하시고 존경스럽다.,21
user-gc7vp6wh9s,어머님 아버님 힘내세요.건강챙기시고 끝까지 이겨승리 하시길 바랍니다.,21
