작성자,내용,추천수
user-su6iy8so2e,"여자를 동료로 안보고 여자로 보는게 가장 문제다. 같은 사람인데 동료로 대우해주기는 커녕 야간근무 중인 사람을 불러서 여성동료를 노리개, 회식 분위기를 거들어주는 그런 존재로 취급하는 사회 풍조부터 고쳐야한다. 피해자 분의 억울함이 풀리게 가해자, 은폐자 모두가 합당한 처벌 받기를",5.9천
KangnangK,명백한 증거까지 제출했는데도 그 사실 자체를 아예 못본 척 당했을 때 피해자분이 느낀 절망감 막막함 무력함이 얼마나 컸을지.. 피해자분이 끝내 안타까운 선택을 하셨지만 사실상 스스로 선택한게 아니라 죽음에 내몰린 것과 다를바가 없네요,3.9천
user-ml1eh4kg9f,"아 소름이 돋는다, 이렇게 명백한 증거를 가지고도.. 결국 아무것도 달라지지 않는다고 생각했을 피해자 분 심정을 생각하면 미치도록 답답하고 억울했을 것 같다..",1.5천
user-vk8cs5to6h,내가 눈물이 다난다 사람한명도 제대로 못지키면서 나라 지키는 군인이라고 할 생각 하지마라 진짜..,967
station21c,은폐되는 일 없도록 관련자 모두 엄벌에 처하도록 해주십시오.,2.9천
user-cz6gj3cn4j,자기 욕구 하나도 제어 못하는게 어떻게 나라를 지키냐. 코미디네 군인 이전에 인간이 먼저 되어야지 인간도 아닌게 인간을 어떻게 지켜,1.9천
user-xw5cf9eb3w,이중사가 처음 신고 했을때 적극적으로 나서서 장중사 처벌 했다면 이중사는 살아있었을거다.. 사건 무마하려고 했던 모든사람들 전부 살인죄로 처벌해라 단 한명도 빠짐없이,3.4천
greenleaf5995,"저렇게 피해자가 목숨을 끊어야 사건을 해결하려고 하는게 문제지, 그마저도 해결이 안되는 경우도 존재하기에.. 안타깝습니다. 고인의 명복을 빕니다.",880
Kimisops,억울하셨던 부분은 풀리고 가해자는 꼭 처벌 받았으면 좋겠네요. 삼가고인의명복을 빕니다.,417
user-qz2kb1ex1l,아들 저딴식으로 키워놓고 무슨 선처를 바라세요?부모는 자식의 거울이라더니 정말 딱 맞네요…두분 다 정말 역겹고 더러워요;죄 달게 받으세요 정말로,913
user-zc2pf9et9z,피해자분이 얼마나 억울하고 가슴이 찢어졌을지 감히 조금이나마 느껴져서 눈물이 났습니다....피해자 분은 이 세상에 없고 아직도 가해자는 보호 되는 현실이 개탄스럽습니다,445
user-gf9yi7ke2t,가해자 포토라인 세워라 이런거는 얼굴 공개해야지 이나라는 피해자는 공개하고 가해자는 비공개 해주는 이상한나라야,2.3천
gyyareung,군 이미지 때문에 묵인하는거라면 차라리 가해자 처벌 쎄게 하는게 더 도움될 듯...,5.6천
