작성자,내용,추천수
skgim7051,군 수사는 믿어선 안되고 진실을 밝힐수도 없고 수사도 못한다 군법원의 한계다 일반수사기관이 수사하도록 조치해야한다 ~,6
user-he2is5vy9o,마음이아픕니다!,3
ComeHere919,이중사 아버지께서 말씀하시길 당일 노준위 이 새람은 보석심사에서 뒷목 잡고 지 뒤진다고 제발 살려달라했답니다,4
jj3031,아들셋 딸하나 아빠인데요 눈물이 사무친다,1
user-co2ym3vi8z,진짜..부모님 힘내세요..맘이 어떠실지.. 성추행범놈은 자결해라 니들같은 놈은 살아도 민폐다,0
user-cn4fy5mt3e,성추행 가해자 처벌 보다도 회유와 은폐를 지시한 위선을 밝히는게 목적인가 보네.,1
theskye2056,죽기전에 다시 한번 생각하자 내 직업이 평생 직업인가 사람 생명보다 소중한것은 없다.,3
user-nc8fz2td6d,자식들 사랑하는 부모마음은 충부히이해가 줄기 몸통까지 뿌리뽑아야,1
user-vx2db2lb3f,특검이 되겠습니까? 안 될듯~,1
jj-hk2826,"일반인들이 제일 모르는 것..'특검' 하면 뭐 무소불위로 수사하는줄 아는....'특검'은 여야가 수사내용, 범위 등에 대해서 합의하고 수사관도 합의해서 뽑고 합의된 법에서 수사한다....그냥 정치적으로 수사한다는거지...'특검'하면 다 수사할거라는 생각은 아무것두 모르는 사람들이 주장하지.",3
user-mz6vs3cp7j,후ㅡㅡ,0
user-dg8iu3kl4g,무조건 다 잡아넣기는 좀 그러지 않나요.. 안타깝지만...특검이 아니라 직접 민간경찰이 수사하는것이,1
