작성자,내용,추천수
user-kh5pf9rx5d,장례도 못치렀다니 너무 마음이 아픕니다.. 어서 진상이 규명되길 바랍니다.,50
user-qk7oj7ib5s,벌써 1년이구나...유족들은 얼마나 답답할까? 힘내세요~,73
jdh3237,진짜 마음 아프다..얼마나 피눈물 날까...삼가 고인의 명복을 빕니다,32
user-lw1ss7yg4q,군대라는 특수성과 이를 빌미로 쌓아온 기득권 카르텔을 특검을 통해 적나라라게 밝히고 피해자와 유가족의 깊은 상처의 무게도 그나마 덜어질 수 있길 간절히 바랍니다 ㅠㅠ 부디 힘내시길 바랍니다!,53
user-vz6em9,같은딸을둔입장에서 너무가슴아프고 화도나도 국방부는 숨기지말고 철저히수사하고 가해자들과 가담자들을 엄히처벌하기바란다,42
luckyme149,아버님 피눈물 겨우겨우 삼킨 것이 느껴져 더욱더 가슴이 미어집니다.. 삼가 고인의 명복을 빕니다,5
user-sr5to5qy3f,삼가고인의명복을빕니다 천국은 절대 그런일 없을것이오 망자님,46
user-yy2lc7kk4h,가슴아픕니다 명명백백 가해자 책임자 처벌받고 제2피해자 안나오게 해야합니다,19
Chris-jl8oe,진심으로 고인의 명복을 기원하며 모든것이 명명백백히 밝혀져 고인에게 죽음보다 더한 고통을 앉겼던 모든 죄인들이 반드시 응당한 처벌을 받게되길 바랍니다!,3
user-qh8jo2pf9w,절대 다시는 이런일이 없도록 하라!,38
user-yc4oj5gg5c,눈물납니다 끝까지 힘내세요 응원합니다,12
jeailbae2411,꼭 고 이예람 중사님의 한이 풀렸으면 합니다,2
user-ij5si2nv5b,악인에게 응당 죄에 맞는 벌이 내려지길..,21
user-ol9rn5zu8u,깨끚한 곳에서.편히 영면하시고 유가족분들 힘네십시요,5
Mia-tj5ot,벌써 1년이라니ㅠ 참ㅠ 꼭 진실이 밝혀지길 기도합니다~,3
user-du8yz5un4r,법이란 억울한 사람 만들지 않는게 죄인 처벌보다 더 중요하다고 생각합니다,1
user-fd5ju6sk2o,'잘못한게 없으니까-'.. '정직하니까' 범죄가 해결이 안되면 이 부분에서 정지되었을것같아요. 인정 공감 소통 상호 이해 침묵 ... 착하니까;,5
