작성자,내용,추천수
user-gu7kn3np4y,딸을 잃은 유족들에게 2번의 상처와 절망을 안겨주시다니...,127
user-tm3cy3wl8i,"""사망에 대한 모든 책임을 가해자에게만 다 돌릴수없다"" 라는 이유라면, 다른 가해자들, 방관자들을 더 처벌 해야하는것이 정상아닌가",77
Hokimo,군 재판 맡은 판사야. 너는 나중에라도 네가 무슨 짓을 저질렀는지 꼭 알길 바란다,98
user-pf6fi7et6f,부모님이 무너지실까봐 걱정되는 장면이다.,44
user-og1xp9ty1p,얼굴은 왜 가리냐?... 도대체 뭐냐?...저것들에게 인권이 필요하냐?... 이러니 대한민국에서 어떤 부모님이 내 자식 군대 보내고싶겠냐....무슨일이 있어도 가해자 우선이니....하...,27
user-ty5go5px9m,이 따위 결과라..군사법원의 어처구니없는 판결이라..대단하십니다.,14
user-sw7kt5ef5l,상식이 없는 판결입니다 윤석열 대통령님은 하루라도 빨리 덜 고통받게 유가족의 탄원에 귀 기울여주시기 바랍니다,8
user-jt3ik7pf1z,진짜 역겹다 역겨워ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 피해자 분이랑 유족들은 대체 무슨 죄야 억울해서 살겠냐고 이 망할 것들아,12
user-hi6ku9kp3t,대법원 판사들 국민이 뽑아야 한다,39
user-pk8vn6tr8f,어쨌든 범죄자의 죄를 감형해주는 우리나라 법 진짜 답이 없다 이러니 성범죄자가 점점 많아지는것 아니야,70
young0319,군사법원 수준을 보여주는,9
Jerry-uu6ld,판사도 AI 로봇으로 대체하자,27
Kira-ys3zc,유가족들은 가해자가 20년넘게 징역 받아도 만족못할텐데 오히려 2년을 감형해주다니 진짜 저러다가 유가족분들 못버티고 극단적 선택하면 어떻게 할려고 저런 판결을 내리다니,17
user-ty9in8fp8v,15->7 거의 반토막이네 ......,9
scarlet8536,이젠 더 이상 이 나라에서 살아갈 자신이 없다.. 법이 이런데 규칙 잘 지키고 질서 있게 올바르게 사는 일반 시민들만 바보 멍청이지.. 진짜 그알에서 피해자 분 어머니께서 딸 영정사진 보시면서 떨리는 목소리로 우리 딸 한 꼭 풀어 주시겠다며 오열하시는데 내가 다 마음이 찢어지더라.. 하..,5
user-om1yy8lt4v,내가판사라면 더올려버린다 무슨법이 이런식이야 뭐잘했다고 항소를 하는건지 죄지은놈이 더당당한나라 기가찬다 에휴 답이없다,50
twmstrap,저런 판결을한 판사는 존재 의미를 모르겠습니다... 어휴,21
Rose_day,대한민국 법은 썩어문드러졌다 가해자를 위한법밖에 없다,28
Kim-wf2lh,도대체 이나라 판사들 정신감정이 필요함.,6
user-lu4wi1lf9h,형량이 15년에서 7년까지 줄어 버리네. 10심 재판이면 형량 사라지겠다.,29
user-lo4sz7jq9t,부디 똑같은 일이 일어나길 빌겠습니다~,5
lws00539,아 ~ 판사야~ 너희 아든딸이 꼭 같은사건 으로 ~ 너같은 판사 만나서 7년받기를 빈다 내가~!! 제발~!!,11
user-js1kv8er7g,7년까지 내릴거면 방관자들과 관련자들도 다 똑같이 7년해라 15년에서 7년이 말이 되냐 판사야 진짜 판사 맞냐,4
heyhanma1864,법이 무섭다고 가해자가 안생기지 않는다 그래서 더욱 법을 무섭게 만들어야한다 그래야 후회라는 거라도 할테니,7
dogs_Watch,이 나라는 사적제재가 답이다 어차피 술 먹고 욱해서 찔러죽이고 모범수로 나오면 10년 안사는데 평생 저런 같지도 않은 재판결과에 고통 받느니 나같으면 죽여버린다,9
user-zk7hm3ey4d,뭔가 잘못되었다… 이건 말이 안된다… 제발 죄 지은 사람은 무섭게 벌을 받고 피해자는 혹은 남겨진자들이 고통받게되는 일은 제발 그만,0
youngsoonjang7767,우리나라 판사들 피해자 생각은 하나도 안한다,12
user-ty1od7nz5l,가족은 어떻게 살라고. 죄값이라도 제대로 받게 했어야지.,8
user-fc5wm7wb9d,"아버님 그냥 저지르십시오, 탄원은 온 국민이 해줄겁니다.",2
user-hy8qv9fw3t,진짜 열받는다,3
Ryankim1231,"사형을 시켜도 모자랄 판에,,,어휴. 감형 판결낸 군판사놈은 지 딸이 저런 일 당해도 감형운운할 수 있을까? 이게 나라냐?",2
user-np2jp5lo2g,판사야 너와 네가족이 대대손손 이 죄를 다 받길 바란다,2
user-ro7gb6ks1w,대부분 국민의 마음이 같을거라 봅니다 법이 ㄱㅐ판,15
Tuna6964,판사 딸이 있다면 반드시 똑같이 당하길 빈다.,1
user-nq9nn7gf6q,가해자 책임만이 아니라면 피해자도 책임있다는 얘기네..가해자를 알아서 없애버려야 했다는 건가? ㅉ,6
happy3905,공직자로서 처분도 받아야하지않나요?... 가해자는 아무일 없듯이 계속 자기자리 지케겠죠?.. 법이 개떡같아도 현행법이그렇다면.. 성범죄자 신상공개는 해주세요.,4
estebanhan9439,법정에서 피해자를 지켜해주시는 커녕 가해자편에 서서 어차피 형량도 얼마 안돼는거 내 가족이 저런일 당하면 가해자를 똑같이 죽이고 나도 감옥에 몇년 다녀오는게 차라리 답인거 같다. 우발적으로 저질렀다는 핑계 대면서. 이 나라는 그거밖에 답이없다,0
