작성자,내용,추천수
serfhh1004,아빠도 조심스러운게 느껴지고..딸도 아빠한테 애써서 예쁘게 말하는데.. 너무 안타깝고 가슴이 아프다ㅠㅠ,31
user-iw6eo2qj9s,중사님이 공군에게 당했던 이야기는 하나 하나 너무 아파서 끝까지 보기가 힘이 드네요 아버님 어머님은 지금 무슨 심정으로 살고 계실지 중사님 말고도 얼마나 많은 분들이 부당한 대우를 받고 견디셨을지,77
user-sh4tq8jk1m,성을 유린 하는것도 모자라 인격마저 찢어 버리고 한 생명을 앗아간 가해자들에게 그에 상응하는 엄벌이 내려지길....,114
user-ts4tr3ce5t,얼마나 힘이들었을까요 얼마나 고통을 받았을 까요 얼마나 아팠을까요 얼마나 무서웠을까요 참기 힘든고통 견디지못해 이중사님 억울함 어찌 해야 하나요 정말 대한민국 국방부진심으로 사죄드리고 반성하십시요 삼가고인의 명복을빕니다,2
AT-ru4im,이건 집단 폭행이다. 관련자들이 수십 수백명이든 모두 엄벌해야 한다.,72
user-cy4qw1zk6u,고위를 막론하고 대엄벌 처리 해야 한다. 군에 기강를 반드시 세워야 할거시다. 국민들이 지켜보고 있다.,32
user-yq4rr4iu3o,목소리 듣는데 가슴이 넘 아프다..ㅠㅠ,6
user-yf2sq3hy2x,피해자 지친목소리가 느껴지네요 머라 할말이없다 이 나라는 어디부터 고장난걸까진짜,17
user-op1wl6zh7j,아진짜 너무 마음아프다 목소리 들으니까 더,6
wildhotjini111,군복입은 쓰레기들은... 폐기처분 해야한다 확실하게 폐기하자 그리고 군대의 폐쇠적인 관습을 척결하지 못한다면 이런 문제는 또다시 재발한다 의문사가 넘치는... 군대의 이면이다,54
user-hz9zw3kh3p,하 조금만 용기를 가지고 싸웠다면 너무 안타까워요 삼가 고인의 명복을 빕니다.,1
WANDOOHOUSE.C0M,아 눈물 난다 ㅠ ㅠㅠㅠ,2
