작성자,내용,추천수
user-qv5ps1uh7h,어떻게 이나라 법은 예상을 안빗나가냐...기대도안했다. 죽은이만 불쌍하지..가해자와 판결에 가담한 모든이들의 가족에게도 똑같은 일이 일어나길 빈다...,14
kswvox,우리나라 법조계 검사 군 전부 파괴적인 개혁이 필요하다.이렇게 가다가는 나라가 망할것이다.,5
swadsl1008,가해자들 이땅에서 천벌 안받으면 죽어서도 지옥천벌 받을것이다..,1
user-dj7yz7ns2j,법에 맡기면 답이 없어요 ~직접 복수하세요 사람을 고용하세요 돈이면 한국인들 귀신도 죽여요 이런 놈은 살려주면 또 다른피해자 생겨요,1
hy-zx3sz,극단적 선택한 이예람 중사만 무의미한 죽음이 돼버렸네,4
baehyongwon112,저런 가해자는 짐승보다 더 못합니다. 그렇지 않습니까?,1
user-qf8hi3sg2v,무죄 만드는 수사해서 잘 짜맞춘 판결. 피해자만 억울하게 만드는 권력 카르텔. 그냥 뒤통수를 망치로 까는수 밖에 복수힐 길이 없다. 복수 대행이 필요하다.,2
oldboy7611,군의 사법권 자체 경찰력을 회수 해야 합니다. 자정능력을 상실한 집단...... 군지휘권도 실전경험과 연륜이 증명된 미군과 외국군 장성으로 임명해야 됩니다! 대한민국은 외국무기도입에 아주 뛰어난 능력을 발휘해 왔습니다... 외국군 장성 또한 잘 초빙할수 있을 겁니다.,2
user-gm4lj4ff7p,권력있으면 처벌하기 힘듬 걍 사적 복수하세요 제일 깔끔함,4
user-rz1vh7go6x,저런 애들이 변호사되서 해쳐먹고 다니는 거여,4
KKKKKKK-le6ou,군대가 이정도로 썩어있는데 이걸 그냥 놔두다니 군검사 군재판을 없애고 똑같이 일반인들하고 똑같이 재판해라 한국인들은 폐쇠조직이나 처벌이 안되는곳은 무자비하게 썩어있다 대수술 안할거냐 다 이민가고나서 그때서야 반성하고 돌아오라고 할거냐 그때가서 후회해봣자 늦을꺼다,1
semikim6442,부끄러운것들~~~,4
heb1727,뭐야 그럼 군인염금 꼬박꼬박 받겠네 별까지 달았으니 어마어마하겠구먼,3
evanever3509,니가 죽은거야 가족들에게 이런걸 남기고,0
gracelee1774,짜여진 각본...,0
user-jf7uc7dw7o,고향을 봐라. 고향을.,0
user-td2yt3zv8m,답정법,0
user-jm1ws9ey6c,뻔한결과잖아 이 나라에 법이어딨냐.,2
